date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1026813.1394894404
2024-11-20,1052069.707114515
2024-11-21,1062406.3523097876
2024-11-22,1044386.782401294
2024-11-25,1061124.0729288794
2024-11-26,1025177.272229972
2024-11-27,1030023.8945735033
2024-11-28,1036205.4640799336
2024-11-29,1058541.2441272812
2024-12-02,1084878.2430810311
2024-12-03,1070292.1090950463
2024-12-04,1048117.36575174
2024-12-05,1047634.6060543932
2024-12-06,1049522.3900439802
2024-12-09,1044066.9877602751
2024-12-10,1057349.118627974
2024-12-11,1102761.5395004326
2024-12-12,1121874.6319517808
2024-12-13,1088817.3288618913
2024-12-16,1102214.0021357401
2024-12-17,1074396.6032461377
2024-12-18,1077484.472098771
2024-12-19,1062799.266459927
2024-12-20,1075838.2451377213
2024-12-23,1030083.2371789666
2024-12-24,1028223.0256386668
2024-12-25,994529.3549584193
2024-12-26,1007675.9769536887
2024-12-27,1020521.9511319445
2024-12-30,1008351.2048086586
2024-12-31,979018.1578124439
2025-01-02,970185.4069103696
2025-01-03,933517.3431161571
2025-01-06,924340.6848519814
2025-01-07,915857.9683951186
2025-01-08,910186.1321738858
2025-01-09,919154.3028775537
2025-01-10,889495.9141638952
2025-01-13,897347.4418614666
2025-01-14,940200.8535523583
2025-01-15,931999.8765932403
2025-01-16,950580.9488963314
2025-01-17,945933.3286299021
2025-01-20,948255.3644538462
2025-01-21,931858.9744498155
2025-01-22,917206.680612259
2025-01-23,904797.550915058
2025-01-24,903853.3954452953
2025-01-27,894758.3648919148
2025-02-05,911675.0536378276
2025-02-06,920635.0062958217
2025-02-07,927979.2734911364
2025-02-10,935154.8462904218
2025-02-11,929039.511571055
2025-02-12,934912.3309253657
2025-02-13,932383.0720854966
2025-02-14,928379.5974806182
2025-02-17,939972.1372049529
2025-02-18,933686.3904117023
2025-02-19,946389.4365938117
