,value
Start,2024-11-01 00:00:00
End,2026-04-23 00:00:00
Period,358 days 00:00:00
Start Value,1000000.0
End Value,494559.4805732751
Total Return [%],-50.54405194267248
Benchmark Return [%],31.085095644606152
Max Gross Exposure [%],100.0000000000024
Total Fees Paid,0.0
Max Drawdown [%],52.16357837960314
Max Drawdown Duration,328 days 00:00:00
Total Trades,3958
Total Closed Trades,3938
Total Open Trades,20
Open Trade PnL,-6847.0578588754
Win Rate [%],53.478923311325545
Best Trade [%],39.510489510489535
Worst Trade [%],-29.52985488651681
Avg Winning Trade [%],4.230319128276632
Avg Losing Trade [%],-3.6507938401563327
Avg Winning Trade Duration,3 days 00:19:08.717948717
Avg Losing Trade Duration,3 days 16:22:02.123893805
Profit Factor,0.6656968538545033
Expectancy,-131.63823074019933
Sharpe Ratio,-2.488556179376371
Calmar Ratio,-0.9819159699068364
Omega Ratio,0.6932383837829189
Sortino Ratio,-2.9758393133048338
