,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,-0.1348407530947075,-0.18328583098443235,-0.02920195902527096
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,-0.16246261900051903,-0.2413990465168572,-0.03943103020720211
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,0.05259935083792004,0.01636510296035582,0.013248435021182163
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,0.12108329263224236,0.15319813509285007,0.014394325927310462
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,-0.07996890575752665,-0.10586757757298366,-0.019459545013548633
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.03152529218515878,-0.06312309497825268,-0.0029880295014834135
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.019142504858735043,0.04021132062074037,-0.0033298887176904162
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.026840355583183807,-0.06873629867116579,-0.0045597536227082874
20241231,,,
20250102,,,
20250103,,,
20250106,0.007342157749214633,-0.03844738133705765,-0.002555295628156873
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.19476676360699824,-0.27546663262274823,-0.03005851044323507
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,0.045227375383258155,-0.00010019170232156315,0.009937378990051626
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.23394982550978496,-0.31756999345046216,-0.018215997945240883
20250205,0.39350225121782817,0.49172899374231777,0.04417815519841494
20250206,,,
20250207,,,
20250210,0.06713971006752686,0.07404309680379312,0.00931508894571801
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.008418533143743525,0.017397321657993205,-0.0019856928713424243
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,0.15023684917252983,0.19636934752786725,0.02234782770827709
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,-0.04399194928220747,-0.013332745788492027,-0.007983065493553602
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,0.07045657727180055,0.09192835498685017,0.006362856130577674
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,0.02204432917715231,-0.0009265813243958751,-0.0015638755611130928
20250318,,,
20250319,,,
20250320,,,
20250321,,,
