,value
Start,2024-11-01 00:00:00
End,2026-04-23 00:00:00
Period,358 days 00:00:00
Start Value,1000000.0
End Value,985127.7421557837
Total Return [%],-1.4872257844216286
Benchmark Return [%],31.085095644606152
Max Gross Exposure [%],100.00000000000074
Total Fees Paid,0.0
Max Drawdown [%],8.075020680126581
Max Drawdown Duration,108 days 00:00:00
Total Trades,1124
Total Closed Trades,1104
Total Open Trades,20
Open Trade PnL,-22006.52287995629
Win Rate [%],37.95289855072464
Best Trade [%],11.84601840651191
Worst Trade [%],-17.405971274758667
Avg Winning Trade [%],2.9034922720411647
Avg Losing Trade [%],-3.7609281368984684
Avg Winning Trade Duration,30 days 15:58:51.264916468
Avg Losing Trade Duration,46 days 18:44:12.631578947
Profit Factor,1.2153520527005728
Expectancy,6.418325841422394
Sharpe Ratio,-0.11419134618270022
Calmar Ratio,-0.18774986828196952
Omega Ratio,0.9697103010253344
Sortino Ratio,-0.1473604492374639
