,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,,,
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,,,
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,,,
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,,,
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.3030726535233682,-0.38001703161924694,-0.1114319624167517
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.17795637065472267,-0.33188743175471436,-0.0832984940134264
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.19152095162538277,-0.4404917418580365,-0.03761129559247456
20241231,,,
20250102,,,
20250103,,,
20250106,0.16262671527680453,0.27602597879509244,0.0708958709782189
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,0.151979679866626,0.31986783890075177,0.06744260697099061
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.31476856285339294,-0.4469917060924968,-0.09874320184271172
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,0.18159828716048235,0.39057936638191976,0.006431679327095074
20250205,0.28573648359218246,0.5291456266691549,0.0604799102959135
20250206,,,
20250207,,,
20250210,0.13497927009332183,0.15937376034912618,0.023634391797875482
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.061668657761399064,0.01661222016655677,0.003316622639069444
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.13799474624277608,-0.2569832363257398,0.01710203958647986
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.20559720394741182,0.2207981302935627,0.03005194988765925
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.1379737139149315,-0.27877520380928755,-0.040136292184804793
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.2519034741581908,-0.44702213312444966,-0.05842376637234169
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.23526292241168764,-0.3135240534603218,-0.07218417785623056
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,-0.22610966395537596,-0.3649217449527026,-0.06230501617189621
20250401,,,
20250402,,,
20250403,,,
20250407,-0.00934226054031676,-0.07742029821834953,0.014752143859155964
20250408,,,
20250409,,,
