date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1000000.0
2024-11-20,1000000.0
2024-11-21,1000000.0
2024-11-22,1000000.0
2024-11-25,1000000.0
2024-11-26,1000000.0
2024-11-27,1000000.0
2024-11-28,1000000.0
2024-11-29,1000000.0
2024-12-02,1000000.0
2024-12-03,1000000.0
2024-12-04,1000000.0
2024-12-05,1000000.0
2024-12-06,1000000.0
2024-12-09,1000000.0
2024-12-10,1000000.0
2024-12-11,1000000.0
2024-12-12,1000000.0
2024-12-13,1000000.0
2024-12-16,1000000.000000005
2024-12-17,950168.319317875
2024-12-18,951199.6359696737
2024-12-19,943689.0944157202
2024-12-20,951239.6816911441
2024-12-23,897755.1643860319
2024-12-24,899517.270290408
2024-12-25,871119.7408646746
2024-12-26,883433.8050330317
2024-12-27,891835.2333514183
2024-12-30,875829.2496447477
2024-12-31,854877.8807588158
2025-01-02,855618.086780846
2025-01-03,810539.7280096207
2025-01-06,792441.7615735895
2025-01-07,812586.3059130248
2025-01-08,821748.265369591
2025-01-09,827476.5784852396
2025-01-10,794571.7281842881
2025-01-13,790503.6248253622
2025-01-14,835430.286753872
2025-01-15,837592.6094227205
2025-01-16,849195.0782740983
2025-01-17,838664.4232964538
2025-01-20,847300.1613658202
2025-01-21,843981.3326637459
2025-01-22,828561.71112361
2025-01-23,822335.6057876291
2025-01-24,826861.1015913929
2025-01-27,808352.6296648219
2025-02-05,818261.3029045756
2025-02-06,840115.7307909505
2025-02-07,855985.6663472387
2025-02-10,877907.9819583585
2025-02-11,882838.8349598263
2025-02-12,896806.898115303
2025-02-13,893589.4164743485
2025-02-14,888265.330042069
2025-02-17,905899.0852129012
2025-02-18,876951.7413513259
2025-02-19,896985.1425576846
2025-02-20,906778.0097469487
2025-02-21,912679.1411081176
2025-02-24,916199.6149008203
2025-02-25,916511.6889649652
