date,equity
2024-11-01,1000000.000000005
2024-11-04,1018774.2291253037
2024-11-05,1039793.3127832421
2024-11-06,1040893.828900953
2024-11-07,1061512.324517487
2024-11-08,1061880.9940604614
2024-11-11,1078140.9339087547
2024-11-12,1074112.5391160622
2024-11-13,1070221.437109606
2024-11-14,1041824.4047852757
2024-11-15,1024209.4239522333
2024-11-18,1000502.55441236
2024-11-19,1022284.8324597245
2024-11-20,1041619.1197700188
2024-11-21,1043278.9040837167
2024-11-22,1006272.2067819125
2024-11-25,1015657.2018610574
2024-11-26,1002946.082927069
2024-11-27,1017931.9796901828
2024-11-28,1016616.6945882234
2024-11-29,1033950.6549220732
2024-12-02,1051047.2231448614
2024-12-03,1048153.5578328779
2024-12-04,1031257.7406174527
2024-12-05,1040288.7241995857
2024-12-06,1050565.2267203687
2024-12-09,1049077.2197212658
2024-12-10,1059793.7900283306
2024-12-11,1076164.9133652453
2024-12-12,1088413.3875922132
2024-12-13,1071004.247345507
2024-12-16,1060999.9816889658
2024-12-17,1028280.0804490683
2024-12-18,1032456.5421550061
2024-12-19,1028534.9978870252
2024-12-20,1038124.0348923297
2024-12-23,1002136.3803540793
2024-12-24,1017606.4883472443
2024-12-25,1002514.4850463956
2024-12-26,1009495.7570774631
2024-12-27,1014420.9278698774
2024-12-30,1007553.2487493543
2024-12-31,984518.9100859294
2025-01-02,966924.2753523714
2025-01-03,931303.7284036399
2025-01-06,925701.9010087803
2025-01-07,933940.0579347304
2025-01-08,933675.2063093063
2025-01-09,930987.2197831746
2025-01-10,906052.940346722
2025-01-13,902594.080701561
2025-01-14,941339.3582215387
2025-01-15,938501.787096749
2025-01-16,942831.5685969421
2025-01-17,944665.7543941572
2025-01-20,952688.5850566165
2025-01-21,951417.938727599
2025-01-22,940426.1396384684
2025-01-23,936908.2806102554
2025-01-24,946388.9779950423
2025-01-27,938842.3828980216
2025-02-05,940326.3628645063
2025-02-06,960328.5420123355
2025-02-07,970412.5395505354
2025-02-10,982338.0074359771
2025-02-11,982868.601562063
2025-02-12,992198.4807686935
2025-02-13,983684.2862734323
2025-02-14,990488.1468159778
2025-02-17,999722.799877492
2025-02-18,975468.3627795341
2025-02-19,994831.2794228279
2025-02-20,1003209.6214643472
2025-02-21,1009055.8535800178
2025-02-24,1009158.610719197
2025-02-25,1004267.9214144876
2025-02-26,1016676.0303020397
2025-02-27,1015334.829374657
2025-02-28,981649.5242050466
2025-03-03,982578.4986637005
2025-03-04,994559.4670406376
2025-03-05,998151.3522142384
2025-03-06,1014562.8938526302
2025-03-07,1010620.01231117
2025-03-10,1014976.3949890942
2025-03-11,1018037.0132683957
2025-03-12,1023439.4548031812
2025-03-13,1007601.705430565
2025-03-14,1023588.329286025
2025-03-17,1028229.098250136
2025-03-18,1035534.2664025205
2025-03-19,1034927.6418277954
2025-03-20,1031974.2406830963
2025-03-21,1008284.2644153167
2025-03-24,995360.8118033065
2025-03-25,986958.2372953264
2025-03-26,994960.1523995334
2025-03-27,989232.9924066658
2025-03-28,979841.2666541268
2025-03-31,970542.4812879211
2025-04-01,980382.810708031
2025-04-02,984045.4299929715
2025-04-03,975138.6255319845
2025-04-07,883072.7732758002
2025-04-08,873006.2286029956
2025-04-09,887550.2424727866
2025-04-10,910594.672171831
2025-04-11,913168.532783627
2025-04-14,930137.3784242973
2025-04-15,931618.6470861189
2025-04-16,919286.6719758294
2025-04-17,923199.0916230285
2025-04-18,917836.236099442
2025-04-21,934656.3635297206
2025-04-22,938224.1031435495
2025-04-23,938297.5724245507
2025-04-24,932886.798753937
2025-04-25,933893.8863576758
2025-04-28,916339.2075828917
2025-04-29,921008.1228248684
2025-04-30,924839.5555028091
2025-05-06,945767.6735412929
2025-05-07,951617.8800357978
2025-05-08,959594.5525260846
2025-05-09,947995.7140681635
2025-05-12,959910.8300455001
2025-05-13,960309.8101955837
2025-05-14,959874.1008811395
2025-05-15,949663.2519096839
