,value
Start,2024-11-01 00:00:00
End,2026-04-23 00:00:00
Period,358 days 00:00:00
Start Value,1000000.0
End Value,3512885.027480672
Total Return [%],251.28850274806723
Benchmark Return [%],31.085095644606152
Max Gross Exposure [%],100.00000000000098
Total Fees Paid,0.0
Max Drawdown [%],12.976906064514319
Max Drawdown Duration,58 days 00:00:00
Total Trades,2971
Total Closed Trades,2951
Total Open Trades,20
Open Trade PnL,-125321.34168408054
Win Rate [%],64.01219925449
Best Trade [%],106.81477974315159
Worst Trade [%],-22.907461593357823
Avg Winning Trade [%],10.999808970160059
Avg Losing Trade [%],-5.226339280989343
Avg Winning Trade Duration,77 days 22:35:23.028057173
Avg Losing Trade Duration,42 days 17:06:14.291115312
Profit Factor,19.348633847722525
Expectancy,893.819982813524
Sharpe Ratio,4.152116641703307
Calmar Ratio,20.03756252862246
Omega Ratio,1.801302477468953
Sortino Ratio,6.789944253711526
