,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,-0.07351104351344186,-0.10872748591551286,-0.010852276926491145
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.19588979587388497,-0.1309959641175488,-0.022330051102317446
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.1226474734992409,-0.11996438086769466,-0.01769218697246989
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,-0.09848931889750094,-0.14827184644705935,-0.02776613514733278
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.17385640633549815,-0.15197827965898325,-0.028898457877180594
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.049159700377021276,-0.022176100428866558,0.004868558727755522
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.03345565318958878,0.09096460164687256,0.011713516538822716
20241231,,,
20250102,,,
20250103,,,
20250106,-0.24807913423047526,-0.2601975525781264,-0.032966706687452545
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.12305084742778068,-0.045068879595561426,-0.003444520658530216
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.13991928212078852,-0.04574391803996261,-0.006080735791438231
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.09700117631613314,-0.16948906739853076,-0.009930551026277086
20250205,-0.03568447499840986,-0.16011831206293897,-0.00338173832418235
20250206,,,
20250207,,,
20250210,0.06685149222911053,0.07396186044784021,0.012865148825734573
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,-0.08981540617185717,-0.14233059846394816,-0.013011090082174976
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,0.006220612335080221,0.06950158641334035,0.009928592593304869
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,-0.15137143833957203,-0.23003106924141023,-0.028571735158321267
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.016619270428919385,-0.03652259530292811,-0.004710798964072185
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,0.09686596672451528,0.17700953915249942,0.02541323455404465
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.13962077487497265,-0.03404941141723758,-0.010336841523410148
20250325,,,
