,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1337920.4622565343
Total Return [%],33.79204622565342
Benchmark Return [%],29.99287741543315
Max Gross Exposure [%],100.00000000000138
Total Fees Paid,0.0
Max Drawdown [%],28.226872686069655
Max Drawdown Duration,145 days 00:00:00
Total Trades,3850
Total Closed Trades,3830
Total Open Trades,20
Open Trade PnL,-48470.11734039463
Win Rate [%],57.180156657963444
Best Trade [%],95.93936112615049
Worst Trade [%],-26.89496193017153
Avg Winning Trade [%],6.61511936248487
Avg Losing Trade [%],-3.797398193582185
Avg Winning Trade Duration,3 days 07:40:16.438356164
Avg Losing Trade Duration,3 days 22:34:04.444444444
Profit Factor,1.1588940575273414
Expectancy,21.628937734637702
Sharpe Ratio,1.1179500117911112
Calmar Ratio,1.2202765869622088
Omega Ratio,1.1704637483221996
Sortino Ratio,1.5095231323574418
