date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1012182.1533078072
2024-11-13,999084.2498536011
2024-11-14,973466.5284267018
2024-11-15,945911.4813067266
2024-11-18,941159.6299111589
2024-11-19,950473.1092830162
2024-11-20,989030.0617191168
2024-11-21,994166.1949665463
2024-11-22,998701.194337259
2024-11-25,1012574.9448048059
2024-11-26,1022214.6436722475
2024-11-27,1037178.5539492188
2024-11-28,1057850.9932519682
2024-11-29,1058364.499695956
2024-12-02,1094238.6536758735
2024-12-03,1148359.208842797
2024-12-04,1159215.0770560547
2024-12-05,1189394.9558468428
2024-12-06,1216765.6965649491
2024-12-09,1181306.506989645
2024-12-10,1199054.4607043061
2024-12-11,1198235.449866151
2024-12-12,1218630.9307845472
2024-12-13,1230037.4630262086
2024-12-16,1260882.0740911774
2024-12-17,1222012.05059551
2024-12-18,1222728.9042099519
2024-12-19,1203690.4261833453
2024-12-20,1191364.07473589
2024-12-23,1141197.7823706076
2024-12-24,1124813.8822536366
2024-12-25,1088890.1013801785
2024-12-26,1095117.0037918377
2024-12-27,1112470.302637077
2024-12-30,1086011.954788179
2024-12-31,1064322.9819676375
2025-01-02,1054491.3043155288
2025-01-03,1025111.2310171544
2025-01-06,1028807.8827459877
2025-01-07,1050025.7302955396
2025-01-08,1056100.2264517723
2025-01-09,1062907.9826723894
2025-01-10,1032213.8259305002
2025-01-13,1021560.1676502968
2025-01-14,1058985.6889286027
2025-01-15,1044499.7400639153
2025-01-16,1045908.146156726
2025-01-17,1041913.8106420673
2025-01-20,1051607.0790959774
2025-01-21,1050383.995366282
2025-01-22,1033584.6692109933
2025-01-23,1012583.1021514195
2025-01-24,1002850.225221816
2025-01-27,995753.092665016
2025-02-05,999724.3856594184
2025-02-06,1012570.9275936732
2025-02-07,1037229.0288782727
2025-02-10,1062164.414560795
2025-02-11,1086543.331485549
2025-02-12,1095749.5617351127
2025-02-13,1095447.8848739665
2025-02-14,1094023.0731172345
2025-02-17,1116480.245870825
