date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1019726.3766637112
2024-11-20,1036504.5617073987
2024-11-21,1043751.16148978
2024-11-22,1018933.456274751
2024-11-25,1034403.292309123
2024-11-26,1035601.9924346027
2024-11-27,1044475.8085173643
2024-11-28,1046411.8108960865
2024-11-29,1061990.6852130026
2024-12-02,1083814.815078065
2024-12-03,1106212.9926380985
2024-12-04,1107679.0542093755
2024-12-05,1131888.592795067
2024-12-06,1155556.8939107163
2024-12-09,1132774.9229403434
2024-12-10,1142636.0429741514
2024-12-11,1167465.622445473
2024-12-12,1188537.1763268218
2024-12-13,1168529.4568557357
2024-12-16,1175183.7971555372
2024-12-17,1131202.0372931925
2024-12-18,1132277.3550007856
2024-12-19,1135934.89083958
2024-12-20,1150374.2272969643
2024-12-23,1110068.9612493233
2024-12-24,1116797.5439128594
2024-12-25,1105811.4565874417
2024-12-26,1108230.6132087565
2024-12-27,1119322.2808446889
2024-12-30,1101201.4799807197
2024-12-31,1075518.336176951
2025-01-02,1058986.8020350763
2025-01-03,1015245.7086537307
2025-01-06,1019881.0901776322
2025-01-07,1048823.48057774
2025-01-08,1046964.3445574552
2025-01-09,1050247.981882024
2025-01-10,1016246.1009572332
2025-01-13,1008808.930444629
2025-01-14,1059690.2488711316
2025-01-15,1061204.7322212788
2025-01-16,1082172.4925444662
2025-01-17,1092167.9574632295
2025-01-20,1092851.095182823
2025-01-21,1104211.9020324734
2025-01-22,1089018.486227908
2025-01-23,1091089.9553824167
2025-01-24,1100919.070443573
2025-01-27,1089881.583674784
2025-02-05,1107469.401424252
2025-02-06,1123492.6240136558
2025-02-07,1143047.9399520294
2025-02-10,1162185.3681379051
2025-02-11,1174024.2522363632
2025-02-12,1184982.7673662775
2025-02-13,1166605.402362304
2025-02-14,1154675.626817002
2025-02-17,1184091.2539983876
