,value
Start,2024-11-01 00:00:00
End,2026-04-23 00:00:00
Period,358 days 00:00:00
Start Value,1000000.0
End Value,1494919.876274099
Total Return [%],49.4919876274099
Benchmark Return [%],31.085095644606152
Max Gross Exposure [%],100.00000000000142
Total Fees Paid,0.0
Max Drawdown [%],20.77626514612377
Max Drawdown Duration,67 days 00:00:00
Total Trades,3740
Total Closed Trades,3720
Total Open Trades,20
Open Trade PnL,-26938.11388037633
Win Rate [%],60.0
Best Trade [%],61.216730038022796
Worst Trade [%],-24.957924217943315
Avg Winning Trade [%],4.385259437458288
Avg Losing Trade [%],-2.8524937162289503
Avg Winning Trade Duration,3 days 05:10:58.064516129
Avg Losing Trade Duration,4 days 00:36:53.807829181
Profit Factor,1.329193182234856
Expectancy,115.10993611046257
Sharpe Ratio,1.6312587963023615
Calmar Ratio,2.4389315700897387
Omega Ratio,1.2708663294448874
Sortino Ratio,2.235174096379557
