,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,-0.04796306172150906,-0.09389638608725895,-0.07474814717799688
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.14579356912541241,-0.16617147277672256,-0.09851620241689525
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.05711527628826467,-0.08715811174588586,-0.02113409059595822
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,-0.028029617253548203,-0.011657652356624986,-0.020163983725170087
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.14546784157813117,-0.1780914675695122,-0.05745075613970457
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.10061668812919089,-0.13582716050065555,-0.016630054287863894
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.0485786146167809,-0.08832009650282215,-0.01664553485608089
20241231,,,
20250102,,,
20250103,,,
20250106,-0.05520760496168125,-0.1443082048062061,-0.03996880474934837
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.06647568105851145,-0.1264914748206571,-0.035399524673060845
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.07342052259913458,-0.17309290589932574,-0.08512008606831291
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.0232247013894973,0.0524313620298767,-0.009819804128138227
20250205,-0.007543338064049348,-0.0291609428943058,-0.009485949791085038
20250206,,,
20250207,,,
20250210,0.05533913420483801,-0.008582824385676095,0.024303312564509665
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,-0.027362647355234204,0.0043978160892514575,-0.014647173957582032
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.14465184536044387,-0.16624165524530815,-0.04345104316799402
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.0891970657779609,-0.010276695983717136,0.02996701326562174
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.019418447448493477,-0.09427373504561533,0.009462416467972409
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.058716135950215485,-0.07076222755898237,-0.03582604267369461
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.05522428618714423,-0.08445406146445214,-0.019688028007799806
