date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1000000.0
2024-11-20,1000000.0
2024-11-21,1000000.0
2024-11-22,1000000.0
2024-11-25,1000000.0
2024-11-26,1000000.0
2024-11-27,1000000.0
2024-11-28,1000000.0
2024-11-29,1000000.0
2024-12-02,1000000.0
2024-12-03,1000726.5555608601
2024-12-04,985242.7637411535
2024-12-05,994522.1238212668
2024-12-06,1005805.2354345424
2024-12-09,1007603.1816901991
2024-12-10,1014667.6288944613
2024-12-11,1035404.9507605392
2024-12-12,1045058.5068501469
2024-12-13,1036302.5365405683
2024-12-16,1037634.2796994196
2024-12-17,1002279.3350572453
2024-12-18,1009939.7187949497
2024-12-19,1001960.1676067483
2024-12-20,1011442.2329017626
2024-12-23,963806.6408221904
2024-12-24,971822.2925733527
2024-12-25,954584.8457433356
2024-12-26,962135.4701729288
2024-12-27,981622.8139165349
2024-12-30,976942.1304584552
2024-12-31,950737.1597108715
2025-01-02,937381.9824926069
2025-01-03,905057.2253920118
2025-01-06,903075.4952017384
2025-01-07,927418.1319965334
2025-01-08,933288.744438067
2025-01-09,928465.1193219145
2025-01-10,906605.0910406493
2025-01-13,901824.8789663429
2025-01-14,936929.7721746848
2025-01-15,937102.4929062368
2025-01-16,952456.1709049841
2025-01-17,957096.5534926184
2025-01-20,966022.7904681142
2025-01-21,958533.8321492373
2025-01-22,946910.1135306244
2025-01-23,947865.2742622367
2025-01-24,958282.7978931832
2025-01-27,961860.5625699783
2025-02-05,968436.2688147814
2025-02-06,978393.9756525472
2025-02-07,997366.2425405037
2025-02-10,1012674.407317663
2025-02-11,1013239.5073964389
2025-02-12,1016673.6248940892
2025-02-13,1012157.1654392447
2025-02-14,1005910.3555163703
2025-02-17,1020319.3819585806
2025-02-18,992963.590367931
2025-02-19,1002217.8272435865
2025-02-20,1016125.2286065379
