,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1014354.1103889664
Total Return [%],1.435411038896635
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000036
Total Fees Paid,0.0
Max Drawdown [%],21.449355974477754
Max Drawdown Duration,170 days 00:00:00
Total Trades,40938
Total Closed Trades,40678
Total Open Trades,260
Open Trade PnL,1186.3290217378963
Win Rate [%],56.839077634101976
Best Trade [%],188.63346210369102
Worst Trade [%],-39.9769485614633
Avg Winning Trade [%],8.893623878175596
Avg Losing Trade [%],-5.754294441735722
Avg Winning Trade Duration,11 days 22:30:52.549630206
Avg Losing Trade Duration,12 days 21:58:18.869475847
Profit Factor,1.0165924723914617
Expectancy,0.2758088460216648
Sharpe Ratio,0.18410588688043295
Calmar Ratio,0.0680475178745266
Omega Ratio,1.0281891698750798
Sortino Ratio,0.2341367592278975
