,IC,RankIC,RR
20241101,,,
20241104,-0.038720549111967525,-0.16427661845474778,-0.009812547089639467
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,-0.05860866476153844,-0.02108591426073141,-0.01804290047154669
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,-0.010575482817906484,-0.13493509286420477,-0.009742346089014257
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,-0.05063952954407131,-0.11109205462841545,-0.06893080455522135
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.053823668813892604,-0.16459085557936645,0.023311869089178566
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,0.03401008651829969,-0.03980636382812622,0.05304310772974775
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.15664541961991804,-0.34262566340555395,-0.05159450647450671
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.02260619401405201,-0.005443335204360108,-0.06462549698515034
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,0.054028524600850496,0.07834174167812913,0.028148220438917876
20241231,,,
20250102,,,
20250103,,,
20250106,-0.06990000321187928,-0.2001445619536064,-0.045242333577628135
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.08442672949261831,-0.12363164705268313,-0.06499420407095333
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.06638940598902023,-0.052133356202527584,-0.01609215845609165
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.012335432475942395,-0.12359482364212547,0.0024208865824340018
20250205,-0.041096242648926105,-0.12272362923802196,-0.020566382431534656
20250206,,,
20250207,,,
20250210,0.12939614609945907,0.14936667146322138,0.0563251048552446
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.02213075636346919,0.06387206180223211,0.008077820587114244
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.14206929611756922,-0.247274851428509,-0.06152035230297774
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,-0.0995131753785985,-0.21874125421612828,-0.025023846517665798
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.06682405595893472,-0.14571095958600758,-0.015516586543660832
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.009870580831441092,0.09578826551185078,0.010448548485781285
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.0018125050351216591,-0.0844573153105337,0.005238868696971141
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,0.04856248932986901,0.20868304102044297,0.04148092097638989
20250401,,,
20250402,,,
20250403,,,
20250407,0.08934517737693798,0.13936646688411725,-0.009259252594010989
20250408,,,
20250409,,,
20250410,,,
20250411,,,
20250414,0.027246889187819978,-0.08527350026383244,0.010409708846532532
20250415,,,
20250416,,,
20250417,,,
20250418,,,
20250421,-0.047695008761155365,-0.13720175081165137,-0.04554016552553877
20250422,,,
20250423,,,
20250424,,,
20250425,,,
20250428,-0.12390938075544149,-0.22698335696817426,-0.05886813708168073
20250429,,,
20250430,,,
20250506,-0.05074129217186409,-0.002974107943871324,-0.021232588816626003
20250507,,,
20250508,,,
20250509,,,
