,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,,,
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,,,
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.07710713050078866,-0.0394711051946434,-0.039849300925946685
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,0.02262368367760575,0.10105253211285646,-0.04911424825982394
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.44090561053568417,-0.5284383773631477,-0.16209046510306568
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.055229848106025,0.026166722732756092,-0.0783775463447746
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.021407184105087178,-0.012307473291350537,0.02064940839187579
20241231,,,
20250102,,,
20250103,,,
20250106,-0.3469074083804693,-0.48471931307122523,-0.15272848344423334
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.24655076138189252,-0.3309073010333654,-0.07779337354631628
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.15781912185086114,0.06342169349318957,-0.07801948138818103
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.17342207362944823,-0.1789123688960318,-0.02231139887336767
20250205,-0.09539816235151294,-0.11266734093188936,-0.04300696932341832
20250206,,,
20250207,,,
20250210,0.25078343308857903,0.1823926887246017,0.06972932436222086
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.08325423177301491,0.09197067408402027,0.02275266541829195
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.30034964798314395,-0.3620924193296176,-0.1273257641401001
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.12691279275016196,0.08464946267187096,0.04828394428890691
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.16326367190473626,-0.2979426930445498,-0.0057796485598956004
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.004367471942039376,-0.00041451258544074007,0.016009425408644633
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.21737799161864862,-0.09478675156113299,-0.08543577802223527
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,0.016472673397344116,0.08681955927794203,0.030551450364365587
20250401,,,
