date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1000000.0
2024-11-20,1000000.0
2024-11-21,1000000.0
2024-11-22,1000000.0
2024-11-25,1000000.0
2024-11-26,1000000.0
2024-11-27,1000000.0
2024-11-28,1000000.0
2024-11-29,1000000.0
2024-12-02,1000000.0
2024-12-03,1026829.6668491327
2024-12-04,1009384.191245576
2024-12-05,1020508.605269678
2024-12-06,1021122.5219505167
2024-12-09,1010192.575033919
2024-12-10,1018455.9350377384
2024-12-11,1040876.8819751953
2024-12-12,1047714.3806069794
2024-12-13,1031908.3591414929
2024-12-16,1024724.3281954536
2024-12-17,994653.4362856005
2024-12-18,1000128.6285830919
2024-12-19,999132.4402694124
2024-12-20,997997.9143839474
2024-12-23,967251.2028708993
2024-12-24,974121.7251858842
2024-12-25,948107.20729315
2024-12-26,958253.7509501663
2024-12-27,967334.395621984
2024-12-30,955876.7165254849
2024-12-31,949423.3327332488
2025-01-02,970440.2888051611
2025-01-03,918810.3876379754
2025-01-06,891191.850430763
2025-01-07,923348.6612442505
2025-01-08,952304.4617499928
2025-01-09,979624.2043287422
2025-01-10,959061.564180436
2025-01-13,947135.6462591046
2025-01-14,1014246.4162376457
2025-01-15,1045946.3368615332
2025-01-16,1067652.3048709356
2025-01-17,1044666.0776701787
2025-01-20,1048222.7341090421
2025-01-21,1040346.240430315
2025-01-22,1027967.0589186391
2025-01-23,1019163.3518945068
2025-01-24,1029546.1444430258
2025-01-27,1012735.9186449549
2025-02-05,1032796.9062563984
2025-02-06,1052250.4829441886
2025-02-07,1072574.3153395099
2025-02-10,1105057.588093339
2025-02-11,1102568.0866393996
2025-02-12,1114706.6125313353
2025-02-13,1112531.7657772535
2025-02-14,1096424.6075835743
2025-02-17,1123265.2061760908
2025-02-18,1088423.866554568
2025-02-19,1102321.9234304724
2025-02-20,1112387.1417358012
