,value
Start,2024-11-01 00:00:00
End,2026-04-23 00:00:00
Period,358 days 00:00:00
Start Value,1000000.0
End Value,1189785.9206716432
Total Return [%],18.97859206716431
Benchmark Return [%],30.99660833319733
Max Gross Exposure [%],100.00000000000158
Total Fees Paid,0.0
Max Drawdown [%],23.825012447813293
Max Drawdown Duration,157 days 00:00:00
Total Trades,3580
Total Closed Trades,3560
Total Open Trades,20
Open Trade PnL,-18818.92771763546
Win Rate [%],52.3876404494382
Best Trade [%],59.889516611228245
Worst Trade [%],-40.38150738641902
Avg Winning Trade [%],4.78532445038394
Avg Losing Trade [%],-4.195340278541998
Avg Winning Trade Duration,4 days 07:44:02.573726541
Avg Losing Trade Duration,6 days 05:35:05.011933174
Profit Factor,1.1490450759745146
Expectancy,54.13993197470626
Sharpe Ratio,0.7240631559078715
Calmar Ratio,0.8135796614532574
Omega Ratio,1.1101403620895038
Sortino Ratio,1.0259350695017468
