,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,,,
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,,,
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.06564734238358994,-0.04705807051042867,-0.005036310337077528
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,0.0759906349276446,0.10334351572746724,0.024924371165517472
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.38194768072225266,-0.48779413323483534,-0.07117960003957519
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.0445398942453333,-0.012816445847098836,-0.005340381311357147
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.07242366283185236,-0.11925304684822301,-0.014266633659389252
20241231,,,
20250102,,,
20250103,,,
20250106,-0.26560994485906014,-0.29533087147085396,-0.04347771863697114
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.03600618506173028,0.03979376225880172,0.00014721033185564197
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.20672635864704067,-0.1403472249840777,-0.020587974363798958
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.0575171295243834,-0.019686445378462807,-0.0018192852041718317
20250205,0.03746507523905042,0.07054097479767686,0.009949736679929051
20250206,,,
20250207,,,
20250210,0.1931423240969103,0.15894271553828854,0.027051947820208203
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.06402796048793451,0.059151810212417465,0.009203463455184866
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.25930391441088013,-0.32256925174331524,-0.03521429519829176
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.07621693072648386,0.04243841491062476,0.01214773831872766
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.1390916684250105,-0.2899534523811854,-0.021756016185118264
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,0.08598293000938217,0.08448094106566484,0.01438545385057452
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.1515782418010493,-0.08403899564775094,-0.017423049570847157
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,0.05815689025359583,0.08983936611200534,0.012707449260032769
20250401,,,
