,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1249434.7369423239
Total Return [%],24.943473694232388
Benchmark Return [%],29.99287741543315
Max Gross Exposure [%],100.0000000000004
Total Fees Paid,0.0
Max Drawdown [%],14.95711462958359
Max Drawdown Duration,58 days 00:00:00
Total Trades,1140
Total Closed Trades,1120
Total Open Trades,20
Open Trade PnL,3391.609254677649
Win Rate [%],54.01785714285714
Best Trade [%],26.76056338028168
Worst Trade [%],-27.93530415964442
Avg Winning Trade [%],3.6178526971778493
Avg Losing Trade [%],-3.4213395936628794
Avg Winning Trade Duration,5 days 15:13:59.008264462
Avg Losing Trade Duration,7 days 00:23:16.363636363
Profit Factor,1.2649760934290883
Expectancy,186.18394696636506
Sharpe Ratio,1.0857075710067303
Calmar Ratio,1.6988144291835838
Omega Ratio,1.1770504101519834
Sortino Ratio,1.4825902801898638
