factor,is_factor_higher_better,推断方向,IC均值通过,ICIR通过,RankIC均值通过,RankICIR通过,RR均值通过,RR胜率通过,单调性通过,初筛是否通过,备注
momentum_20,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
risk_adjusted_momentum_20,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.amount_mean_10_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.amount_mean_20_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha158.amount_mean_5_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha158.amplitude_10,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.amplitude_20,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.amplitude_30,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.amplitude_5,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.amplitude_60,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.downside_std_20,True,因子大→好(is_factor_higher_better=True),True,False,True,False,True,False,False,False,
alpha158.downside_std_60,True,因子大→好(is_factor_higher_better=True),True,False,True,False,True,False,False,False,
alpha158.gap_ratio,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha158.intraday_range_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.intraday_return,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.kbar_body_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.kbar_close_open_range_position,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha158.kbar_high_low_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.kbar_lower_shadow_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.kbar_open_close_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.kbar_upper_shadow_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.ma_10_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.ma_120_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.ma_20_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.ma_240_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.ma_30_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.ma_5_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.ma_60_ratio,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.price_range_position_10,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.price_range_position_120,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.price_range_position_20,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.price_range_position_30,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.price_range_position_5,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha158.price_range_position_60,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.price_volume_corr_10,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.price_volume_corr_20,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.price_volume_corr_30,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.price_volume_corr_5,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha158.price_volume_ratio,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha158.ret_1,True,因子大→好(is_factor_higher_better=True),True,True,True,True,True,True,False,False,
alpha158.ret_10,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.ret_120,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.ret_2,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.ret_20,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.ret_240,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.ret_3,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.ret_30,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha158.ret_4,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
alpha158.ret_5,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.ret_60,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,True,False,
alpha158.return_mean_10,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.return_mean_20,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.return_mean_30,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,False,False,False,
alpha158.return_mean_5,False,因子小→好(is_factor_higher_better=False),True,True,True,True,True,True,False,False,
