factor,IC均值,ICIR,RankIC均值,RankICIR,RR均值,RR胜率,单调性指标,G1平均收益,G5平均收益,is_factor_higher_better,阶段4方向
alpha158.roc_rank_60,0.029094696417286188,1.9211213911052634,0.020152751680099168,1.0842374502747232,0.01630138261009881,0.7301587301587301,1.0,0.006871417767387914,0.0017310952312087709,True,True
alpha101.alpha003,0.032495442205919864,4.704088681185217,0.05481892250452189,5.909671194822971,0.007331411555455631,0.6575342465753424,1.0,0.006587007223437337,0.0017157259606213433,True,True
alpha101.alpha006,0.030756124718252356,3.2547028023421736,0.05132668614250015,3.9840307143829348,0.008700710236757442,0.6301369863013698,1.0,0.0064480274796383,0.0014363859417516587,True,True
alpha101.alpha013,0.025202087030372106,3.2255164628160227,0.0654935250775804,6.90986510181716,0.011771674478485579,0.6351351351351351,1.0,0.005432365357568144,0.0007271074168105543,True,True
alpha101.alpha041,0.06286345835840641,5.237629270606316,0.05482001268918959,3.2123339353231355,0.028036364855154178,0.8552631578947368,1.0,0.008082743557234798,-0.0010779041476015239,True,True
alpha101.alpha044,0.026448635685896428,3.8893456821037167,0.06217825671359336,6.770803852280721,0.0075418763871600665,0.5945945945945946,1.0,0.006058427442921513,0.0013315735261706543,True,True
alpha101.alpha053,0.0524876634776382,4.371572750720346,0.06828136554359163,4.229276020218758,0.016889073313288386,0.7714285714285715,1.0,0.0059889432923465056,-0.0012559257336968181,True,True
alpha101.alpha054,0.044717021296123906,3.750180012660189,0.08110547802363322,4.890842594538344,0.012925612091706952,0.7887323943661971,1.0,0.005620929293901646,-0.0015343213965652465,True,True
alpha101.alpha058,0.051641870921205806,4.224701303196206,0.06745821828860692,4.0796572145494965,0.01760959365812289,0.7681159420289855,1.0,0.005997115166825559,-0.0016946476284945234,True,True
alpha101.alpha063,0.05167450426418448,4.697871472093164,0.06672908338473367,4.366970029137982,0.017546984731803925,0.8082191780821918,1.0,0.007588326002645218,-5.0113368078425316e-05,True,True
alpha101.alpha068,0.05388150997939846,4.586559554010334,0.06896652937595267,4.350429843542103,0.017774350002424645,0.7887323943661971,1.0,0.006123104438001399,-0.001336302199839118,True,True
alpha101.alpha073,0.05202572167762453,4.383213396284445,0.06765945948612488,4.217609875947804,0.016744955383969685,0.7714285714285715,1.0,0.005904405618407702,-0.001453015329597333,True,True
alpha101.alpha074,0.04381345783904181,3.673721032642212,0.08101568228300873,4.8842936576094536,0.013525829893917039,0.7323943661971831,1.0,0.005435372887611227,-0.0015707726580324892,True,True
alpha101.alpha078,0.050833225621927755,4.184096234894018,0.06623726351848952,4.0192660735835615,0.01744224304531927,0.7246376811594203,1.0,0.006031170986621253,-0.0017838626169523147,True,True
alpha101.alpha093,0.05137588668207258,4.377984075506845,0.06672939355907576,4.1831732178511025,0.01655560823232239,0.7428571428571429,1.0,0.005912180707685881,-0.0016431003943863387,True,True
alpha101.alpha098,0.04861748351432529,4.081247132716941,0.06382054373102279,3.9522968511537324,0.016880865381257434,0.7428571428571429,1.0,0.006302574383539146,-0.0009928533031306603,True,True
alpha191.alpha013,0.06286345835840641,5.237629270606316,0.05482001268918959,3.2123339353231355,0.028036364855154178,0.8552631578947368,1.0,0.008082743557234798,-0.0010779041476015239,True,True
alpha191.alpha083,0.026306917931410958,3.264795544674773,0.07001206551228108,7.173598797465543,0.010522380791670614,0.581081081081081,1.0,0.005612999438798668,0.0008256679870118929,True,True
alpha191.alpha090,0.023725072420316195,3.109497856087582,0.05632310114803703,5.7883759598984454,0.00670657262758568,0.6216216216216216,1.0,0.005158563433270516,0.0017852348414238918,True,True
alpha191.alpha099,0.025202087030372106,3.2255164628160227,0.0654935250775804,6.90986510181716,0.011771674478485579,0.6351351351351351,1.0,0.005432365357568144,0.0007271074168105543,True,True
alpha191.alpha101,0.014863901017050853,2.4547399938362675,0.036299539275368005,5.382239891892552,0.004332836569377263,0.5657894736842105,1.0,0.005254977403973559,0.004107359486781165,True,True
alpha191.alpha105,0.032495442205919864,4.704088681185217,0.05481892250452189,5.909671194822971,0.007331411555455631,0.6575342465753424,1.0,0.006587007223437337,0.0017157259606213433,True,True
alpha191.alpha113,0.0553114857131747,5.312298547500718,0.07236621885166307,5.301039341370626,0.013995201302970644,0.7164179104477612,1.0,0.007174509894703655,-0.0006514554761589408,True,True
alpha191.alpha139,0.030756124718252356,3.2547028023421736,0.05132668614250015,3.9840307143829348,0.008700710236757442,0.6301369863013698,1.0,0.0064480274796383,0.0014363859417516587,True,True
alpha191.alpha182,0.03614742178276531,3.3816682230814337,0.04535384969131768,3.1367601760545867,0.005982785968262869,0.6338028169014085,1.0,0.005605150829764791,0.0010213103439839174,True,True
alpha191.alpha190,0.012584963993605357,1.4635427799800498,0.03866041918082131,3.706400286917943,0.005306167604074697,0.5970149253731343,1.0,0.004985377842227082,0.002913449483605696,True,True
