,alpha101.alpha003,alpha101.alpha004,alpha101.alpha006,alpha101.alpha008,alpha101.alpha012,alpha101.alpha013,alpha101.alpha014,alpha101.alpha015,alpha101.alpha016,alpha101.alpha018,alpha101.alpha019
alpha101.alpha003,1.0,-0.016564672997338655,0.6437802874246693,-0.037393547053492585,0.02942982369732118,0.2446394545201025,0.5016425653373803,0.20843504667780488,0.273219059990605,0.16765638332349103,-0.03174233601511071
alpha101.alpha004,-0.016564672997338655,1.0,0.03764861603707688,0.47663178643601256,0.1614711299084572,0.24460190722263672,-0.0005007305890306575,0.1605531958545383,0.23989350631330084,0.18739847190814288,0.5212658226710604
alpha101.alpha006,0.6437802874246693,0.03764861603707688,1.0,0.012471614474752403,0.058885029512881194,0.1930719994024598,0.8156630667920944,0.15585162813739753,0.35608072753742653,0.2798382906008754,-0.014444035529698668
alpha101.alpha008,-0.037393547053492585,0.47663178643601256,0.012471614474752403,1.0,0.12571474921749096,0.16507777766626575,-0.024040174853066913,0.082084199294582,0.10888329017776265,0.16505395200388107,0.3774002414709892
alpha101.alpha012,0.02942982369732118,0.1614711299084572,0.058885029512881194,0.12571474921749096,1.0,0.24341981730936538,0.048824952911305626,0.15243590764094783,0.26224913227813074,0.09839362991842507,0.13949880056192435
alpha101.alpha013,0.2446394545201025,0.24460190722263672,0.1930719994024598,0.16507777766626575,0.24341981730936538,1.0,0.1452254741643483,0.5298029102796735,0.612009059461494,0.13480838905565107,0.1896126906741948
alpha101.alpha014,0.5016425653373803,-0.0005007305890306575,0.8156630667920944,-0.024040174853066913,0.048824952911305626,0.1452254741643483,1.0,0.11698086281102554,0.2655180968655723,0.29680962005443484,-0.052454692862538475
alpha101.alpha015,0.20843504667780488,0.1605531958545383,0.15585162813739753,0.082084199294582,0.15243590764094783,0.5298029102796735,0.11698086281102554,1.0,0.48196243410545114,0.0605009077372545,0.10756072040709937
alpha101.alpha016,0.273219059990605,0.23989350631330084,0.35608072753742653,0.10888329017776265,0.26224913227813074,0.612009059461494,0.2655180968655723,0.48196243410545114,1.0,0.21676470547059531,0.18962648334455828
alpha101.alpha018,0.16765638332349103,0.18739847190814288,0.2798382906008754,0.16505395200388107,0.09839362991842507,0.13480838905565107,0.29680962005443484,0.0605009077372545,0.21676470547059531,1.0,0.16398104578528355
alpha101.alpha019,-0.03174233601511071,0.5212658226710604,-0.014444035529698668,0.3774002414709892,0.13949880056192435,0.1896126906741948,-0.052454692862538475,0.10756072040709937,0.18962648334455828,0.16398104578528355,1.0
