factor,是否入选最终组合,组合权重,阶段4方向,is_factor_higher_better
alpha158.roc_rank_60,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha101.alpha003,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha101.alpha006,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha101.alpha013,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha101.alpha041,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha101.alpha044,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha101.alpha053,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha101.alpha054,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha101.alpha058,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha101.alpha063,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha101.alpha068,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha101.alpha073,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha101.alpha074,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha101.alpha078,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha101.alpha093,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha101.alpha098,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha191.alpha013,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha191.alpha083,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha191.alpha090,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha191.alpha099,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha191.alpha101,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha191.alpha105,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha191.alpha113,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha191.alpha139,False,0.0,因子大→好(is_factor_higher_better=True),True
alpha191.alpha182,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
alpha191.alpha190,True,0.07142857142857142,因子大→好(is_factor_higher_better=True),True
