,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,,,
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,,,
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,0.07051537240327241,0.03293084936652658,0.03740906221046952
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,0.026789568657383245,-0.07691658961009065,-0.032392982759601494
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.1863970076458186,-0.19298357170167316,-0.07054140465335237
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.1132638681631267,-0.20738518481258483,-0.056447878244099484
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.11134331758553528,-0.35380807774941897,-0.03559335444889393
20241231,,,
20250102,,,
20250103,,,
20250106,0.09429099132621897,0.06742996869536103,0.04335609417280775
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,0.19339127490263533,0.1559794414369804,0.07295568257180285
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.2221058449226215,-0.26511582850358967,-0.07114522716096586
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,0.19450273022647044,0.2995556560602882,0.041810066104344776
20250205,0.22741173801959796,0.3206872075164429,0.053470912069135734
20250206,,,
20250207,,,
20250210,0.08894739399286175,0.10202697478045493,0.01689141104224284
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.05936162568779016,-0.0001989427770171592,0.026403943465101047
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.1657183411035462,-0.2545733513837687,-0.07215844074424188
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.1493012716255676,0.1100083961096158,0.034632175227903295
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.10124706114407389,-0.19487396127123757,-0.017576980097148726
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.17974874585738132,-0.2555157402923659,-0.06536341682531584
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.21079090096727976,-0.2974718232616789,-0.06506639007951075
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,-0.1678372929586913,-0.2909668166206723,-0.032300898810017895
20250401,,,
20250402,,,
