,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,,,
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,,,
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,-0.07953337937272276,-0.037944264255978424,-0.0512501689516737
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,0.031457263056940035,0.10103751680579001,-0.04823772308432911
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,-0.42647861121347475,-0.5306693309405991,-0.13467298161005636
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,-0.07238190538411433,0.01190149072479503,-0.08590044531042017
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,-0.04093312690510042,-0.009184946418736236,0.016117025680660313
20241231,,,
20250102,,,
20250103,,,
20250106,-0.3254022492184635,-0.4827131949493057,-0.13810205630363656
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.24794164323613005,-0.33064023368901263,-0.08336165569488332
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,-0.15419779432057623,0.05889252883799205,-0.08323081800707924
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.1613360019146789,-0.1775633409715045,-0.026704112939787195
20250205,-0.10555042723153722,-0.10946484143086338,-0.04073561551556935
20250206,,,
20250207,,,
20250210,0.2625537069324534,0.18315283302891572,0.08275683078138933
20250211,,,
20250212,,,
20250213,,,
20250214,,,
20250217,0.09017832513106509,0.092329579447865,0.03199699512916592
20250218,,,
20250219,,,
20250220,,,
20250221,,,
20250224,-0.30920793607058217,-0.36377294812422856,-0.1329565303442241
20250225,,,
20250226,,,
20250227,,,
20250228,,,
20250303,0.12360868282458269,0.08977534512647233,0.04131287932924202
20250304,,,
20250305,,,
20250306,,,
20250307,,,
20250310,-0.14557119640583624,-0.2833184554949334,-0.008034887796808759
20250311,,,
20250312,,,
20250313,,,
20250314,,,
20250317,-0.0036992141427277343,0.004878389996782335,0.017619152881597683
20250318,,,
20250319,,,
20250320,,,
20250321,,,
20250324,-0.20849996552484482,-0.09228285142384302,-0.08438741696940993
20250325,,,
20250326,,,
20250327,,,
20250328,,,
20250331,0.008180192586529918,0.08487782560160309,0.014343706996403013
20250401,,,
