,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,,,
20241119,,,
20241120,,,
20241121,,,
20241122,0.04146508791560135,0.019344872937439753,0.0481149886029522
20241125,,,
20241126,,,
20241127,,,
20241128,,,
20241129,0.18389010991972288,0.24743290273216895,0.0396794382237731
20241202,,,
20241203,,,
20241204,,,
20241205,,,
20241206,-0.053240601945861804,-0.08118295943994114,-0.012172431997166867
20241209,,,
20241210,,,
20241211,,,
20241212,,,
20241213,-0.022783342645253973,-0.0508964926082928,-0.0076444863079948785
20241216,,,
20241217,,,
20241218,,,
20241219,,,
20241220,0.013620651808543103,-0.04803104803402229,-0.0013474351892622319
20241223,,,
20241224,,,
20241225,,,
20241226,,,
20241227,0.09171360377495781,0.09462434878297042,0.019107304915085097
20241230,,,
20241231,,,
20250102,,,
20250103,,,
20250106,0.030092584866499107,0.016803319641156826,0.0024092722909206145
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,-0.0057107739471195,0.012025811249272196,0.005081424567958875
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,0.07980901133950222,0.07434973241731539,0.02465422429853094
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.03497482845098363,-0.02757172961431031,0.026014798737819037
20250205,,,
20250206,,,
20250207,,,
20250210,,,
20250211,-0.05387903664616532,-0.0050575224590610444,-0.012614297000735044
20250212,,,
20250213,,,
20250214,,,
20250217,,,
20250218,-0.12344175097054816,-0.15705691276432796,-0.019030096441805096
20250219,,,
20250220,,,
20250221,,,
20250224,,,
20250225,0.0879933482900975,0.11595989686103618,0.03135352807535443
20250226,,,
20250227,,,
20250228,,,
20250303,,,
20250304,-0.014946775484374467,-0.018411770609922048,-0.010852288777749002
20250305,,,
20250306,,,
20250307,,,
20250310,,,
20250311,0.08052935539406667,0.10674263795049271,0.014396545656201618
20250312,,,
20250313,,,
20250314,,,
20250317,,,
20250318,0.222228072440247,0.2806527236980886,0.06269931200839843
20250319,,,
20250320,,,
20250321,,,
20250324,,,
20250325,0.08537937496794908,0.08895295644876981,0.0218321677536834
20250326,,,
20250327,,,
20250328,,,
20250331,,,
20250401,0.20797536757565824,0.24813561439808174,0.06319541949121847
20250402,,,
20250403,,,
