,IC,RankIC,RR
20241101,,,
20241104,,,
20241105,,,
20241106,,,
20241107,,,
20241108,,,
20241111,,,
20241112,,,
20241113,,,
20241114,,,
20241115,,,
20241118,,,
20241119,,,
20241120,,,
20241121,,,
20241122,,,
20241125,,,
20241126,,,
20241127,,,
20241128,,,
20241129,,,
20241202,,,
20241203,,,
20241204,,,
20241205,,,
20241206,,,
20241209,,,
20241210,,,
20241211,,,
20241212,,,
20241213,,,
20241216,,,
20241217,,,
20241218,,,
20241219,,,
20241220,,,
20241223,,,
20241224,,,
20241225,,,
20241226,,,
20241227,,,
20241230,,,
20241231,,,
20250102,,,
20250103,,,
20250106,,,
20250107,,,
20250108,,,
20250109,,,
20250110,,,
20250113,,,
20250114,,,
20250115,,,
20250116,,,
20250117,,,
20250120,,,
20250121,,,
20250122,,,
20250123,,,
20250124,,,
20250127,-0.3076782133593313,-0.45853571867304693,0.002467737835025595
20250205,,,
20250206,,,
20250207,,,
20250210,,,
20250211,-0.0597388442413301,-0.158035249262515,-0.0010208168043698406
20250212,,,
20250213,,,
20250214,,,
20250217,,,
20250218,-0.009607684858021872,-0.07628905905582743,-0.0026789067608710207
20250219,,,
20250220,,,
20250221,,,
20250224,,,
20250225,-0.13608318811272965,-0.12502775706787891,-0.01365848451407309
20250226,,,
20250227,,,
20250228,,,
20250303,,,
20250304,0.01576311364794768,0.030236689131574124,-0.005963696506324015
20250305,,,
20250306,,,
20250307,,,
20250310,,,
20250311,-0.03934758631948086,-0.012602501491153656,-0.0022165476791749083
20250312,,,
20250313,,,
20250314,,,
20250317,,,
20250318,0.021393335908001295,-0.0019085127316699536,0.0534068924475379
20250319,,,
20250320,,,
20250321,,,
20250324,,,
20250325,0.06495519886974861,0.0696178234588311,0.022228485828480776
20250326,,,
20250327,,,
20250328,,,
20250331,,,
20250401,0.2043186301467117,0.26194121752871014,0.05870115351721036
20250402,,,
20250403,,,
20250407,,,
20250408,,,
20250409,0.011527561199729062,-0.03095952665026828,0.014419537946143
20250410,,,
20250411,,,
20250414,,,
20250415,,,
20250416,-0.1563025291977112,-0.2322196609447908,0.02364627881162053
20250417,,,
20250418,,,
20250421,,,
20250422,,,
20250423,0.10436323149693388,0.14908432718996034,0.016740761440488965
20250424,,,
20250425,,,
20250428,,,
20250429,,,
