date,equity
2024-11-01,1000000.0
2024-11-04,1000000.0
2024-11-05,1000000.0
2024-11-06,1000000.0
2024-11-07,1000000.0
2024-11-08,1000000.0
2024-11-11,1000000.0
2024-11-12,1000000.0
2024-11-13,1000000.0
2024-11-14,1000000.0
2024-11-15,1000000.0
2024-11-18,1000000.0
2024-11-19,1000000.0
2024-11-20,1000000.0
2024-11-21,1000000.0
2024-11-22,1000000.0
2024-11-25,1000000.0
2024-11-26,1000000.0
2024-11-27,1000000.0
2024-11-28,1000000.0
2024-11-29,1000000.0
2024-12-02,1000000.0
2024-12-03,1000000.0
2024-12-04,1000000.0
2024-12-05,1000000.0
2024-12-06,1000000.0
2024-12-09,1000000.0
2024-12-10,1000000.0
2024-12-11,1000000.0
2024-12-12,1000000.0
2024-12-13,1000000.0
2024-12-16,1000000.0
2024-12-17,1000000.0
2024-12-18,1000000.0
2024-12-19,1000000.0
2024-12-20,1000000.0
2024-12-23,1000000.0
2024-12-24,1000000.0
2024-12-25,1000000.0
2024-12-26,1000000.0
2024-12-27,1000000.0000000003
2024-12-30,990383.3932019965
2024-12-31,969944.0849606622
2025-01-02,960533.2438421902
2025-01-03,918521.7744899192
2025-01-06,920449.5140307081
2025-01-07,940398.2526817379
2025-01-08,941674.3507579074
2025-01-09,951923.8262178501
2025-01-10,926122.6611024676
2025-01-13,933615.3528455301
2025-01-14,981872.4770649289
2025-01-15,988333.5876775781
2025-01-16,1006646.7935010062
2025-01-17,1008913.2108059436
2025-01-20,1024516.7114124739
2025-01-21,1018492.8194237303
2025-01-22,1001260.5761252849
2025-01-23,996171.2121396482
2025-01-24,1005452.1345102026
2025-01-27,999586.0677014262
2025-02-05,996169.9767424967
2025-02-06,1010001.6389808037
2025-02-07,1027863.0748886128
2025-02-10,1052851.852076803
2025-02-11,1050573.5978831856
2025-02-12,1052110.008450395
2025-02-13,1047974.4635794797
2025-02-14,1039983.005852877
2025-02-17,1052138.602097329
2025-02-18,1035427.2933048614
2025-02-19,1050971.1789644463
2025-02-20,1056761.961876896
2025-02-21,1053934.4509782235
2025-02-24,1061752.1030614371
2025-02-25,1054782.8321405356
