,value
Start,2024-11-01 00:00:00
End,2026-04-24 00:00:00
Period,359 days 00:00:00
Start Value,1000000.0
End Value,1379519.033993252
Total Return [%],37.951903399325204
Benchmark Return [%],52.06884984566336
Max Gross Exposure [%],100.00000000000122
Total Fees Paid,0.0
Max Drawdown [%],12.677282133491405
Max Drawdown Duration,58 days 00:00:00
Total Trades,39135
Total Closed Trades,38875
Total Open Trades,260
Open Trade PnL,-72457.59818473685
Win Rate [%],52.46559485530546
Best Trade [%],125.03160865843752
Worst Trade [%],-27.133141944043913
Avg Winning Trade [%],6.627599847555793
Avg Losing Trade [%],-5.410347795615664
Avg Winning Trade Duration,57 days 08:41:06.836634634
Avg Losing Trade Duration,62 days 05:20:42.719921854
Profit Factor,3.6618317953143373
Expectancy,11.614082785565905
Sharpe Ratio,1.6650613785193649
Calmar Ratio,3.0523651582958227
Omega Ratio,1.295482951427434
Sortino Ratio,2.1558630515729718
