date,position
2024-11-01,0.0
2024-11-04,0.0
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-11,0.0
2024-11-12,0.0
2024-11-13,0.0
2024-11-14,0.0
2024-11-15,0.0
2024-11-18,0.0
2024-11-19,0.0
2024-11-20,0.0
2024-11-21,0.0
2024-11-22,0.0
2024-11-25,0.0
2024-11-26,0.0
2024-11-27,0.0
2024-11-28,0.0
2024-11-29,0.0
2024-12-02,1000000.000000005
2024-12-03,1009141.8541182624
2024-12-04,990446.6569152833
2024-12-05,1012683.7619872189
2024-12-06,1029040.3174370987
2024-12-09,1024829.649414096
2024-12-10,1036283.966347136
2024-12-11,1061341.779673246
2024-12-12,1075485.723031487
2024-12-13,1061905.4481989555
2024-12-16,1052986.8305226825
2024-12-17,1007656.394833952
2024-12-18,1010170.1766308212
2024-12-19,1001665.798932699
2024-12-20,1008167.0896493415
2024-12-23,957343.5750408908
2024-12-24,960975.8318237491
2024-12-25,931754.9730667947
2024-12-26,951416.3291289557
2024-12-27,959862.3641645685
2024-12-30,945175.7945819898
2024-12-31,918541.9744696788
2025-01-02,909739.4846715963
2025-01-03,863358.4755322988
2025-01-06,851332.1107051057
2025-01-07,871847.6303721057
2025-01-08,876354.8019331809
2025-01-09,881752.9445910293
2025-01-10,847764.2699465044
2025-01-13,841284.7843672736
2025-01-14,888906.953989789
2025-01-15,892554.1693090583
2025-01-16,905429.9550040226
2025-01-17,897010.0416612186
2025-01-20,904794.9118060827
2025-01-21,900385.619048041
2025-01-22,886337.2842372487
2025-01-23,883141.9066514679
2025-01-24,890051.1344584189
2025-01-27,871923.597147355
2025-02-05,886051.1543870831
2025-02-06,910790.7045672435
2025-02-07,928144.5978930626
2025-02-10,950652.4572257949
2025-02-11,953107.3326845305
2025-02-12,967035.5461057109
2025-02-13,963599.883509184
2025-02-14,955887.1951131792
2025-02-17,970784.537637436
2025-02-18,942946.1109345064
2025-02-19,963609.831023089
2025-02-20,970053.3894904355
2025-02-21,978092.0596663728
2025-02-24,981705.8912410612
2025-02-25,980131.1377896728
2025-02-26,996280.1668244383
2025-02-27,992085.3730208739
2025-02-28,954792.4153141533
2025-03-03,954732.8338835972
2025-03-04,965260.394055531
2025-03-05,975649.0992651529
2025-03-06,1000666.2725892682
2025-03-07,991696.5845760027
2025-03-10,992655.9910236757
2025-03-11,998737.3065377144
2025-03-12,1008489.9755993213
2025-03-13,991143.2810116378
2025-03-14,1005486.013794483
2025-03-17,1010053.2955627892
2025-03-18,1016156.9334946149
2025-03-19,1012003.8112873045
2025-03-20,1013325.806375179
2025-03-21,989913.4891494974
2025-03-24,967790.9119673916
2025-03-25,955295.5727047758
2025-03-26,964764.9459412928
2025-03-27,952018.6553428782
2025-03-28,937161.6367454533
2025-03-31,923683.0258083836
2025-04-01,925459.4390699033
2025-04-02,927378.7612750732
2025-04-03,922196.6956907563
2025-04-07,833424.083483121
2025-04-08,812147.0698154389
2025-04-09,833694.3708238776
2025-04-10,856110.938522292
2025-04-11,862934.8508861643
2025-04-14,886504.271047367
2025-04-15,883805.7253188331
2025-04-16,868287.5351636625
2025-04-17,871176.0389968306
2025-04-18,870053.4697372421
2025-04-21,888167.2712202678
2025-04-22,890292.4231766957
2025-04-23,894544.9654486334
2025-04-24,888626.808514185
2025-04-25,891983.1193154795
2025-04-28,875571.3089715783
2025-04-29,873079.8648359579
2025-04-30,871157.3793387742
2025-05-06,897668.2609137293
2025-05-07,907294.0624659283
2025-05-08,912009.947980038
2025-05-09,897009.5540327717
2025-05-12,903928.7409950017
2025-05-13,907081.6793140167
2025-05-14,919574.7896936794
2025-05-15,910796.747856883
2025-05-16,916931.2061128777
2025-05-19,929295.4039773253
2025-05-20,934228.1959169841
2025-05-21,928463.3222312704
2025-05-22,914139.66167684
2025-05-23,898698.4830339038
2025-05-26,909720.9099933424
2025-05-27,917757.7289574634
2025-05-28,913103.1671097724
2025-05-29,927001.8191175112
2025-05-30,908456.6053072016
2025-06-03,917757.8102703114
2025-06-04,928639.7220332008
2025-06-05,926191.2247979195
2025-06-06,924132.4375711294
2025-06-09,937079.3339502033
2025-06-10,934948.3275820907
2025-06-11,936070.5917653576
2025-06-12,933133.607863887
2025-06-13,913808.8747066782
2025-06-16,921712.7539985483
2025-06-17,921754.7660742135
2025-06-18,913715.555395165
2025-06-19,886159.329829412
2025-06-20,879665.3511615893
2025-06-23,900765.3756392718
2025-06-24,916324.7062294501
2025-06-25,921051.310114494
2025-06-26,923435.8475282537
2025-06-27,925937.2584626303
2025-06-30,939670.3422365495
2025-07-01,942238.790313336
2025-07-02,938494.4606309794
2025-07-03,941321.4041998037
2025-07-04,934609.8442863635
2025-07-07,948289.5063746169
2025-07-08,958700.9326727309
2025-07-09,957666.7337883741
2025-07-10,958130.9672335761
2025-07-11,962180.6105020767
2025-07-14,958711.5017198824
2025-07-15,943256.3357141702
2025-07-16,943198.0265769771
2025-07-17,952052.2676748264
2025-07-18,951366.1154480083
2025-07-21,962177.4691436448
2025-07-22,962373.9717506261
2025-07-23,950461.9335671709
2025-07-24,964007.5239140547
2025-07-25,960486.3929711531
2025-07-28,963580.7954913615
2025-07-29,962842.2940487304
2025-07-30,954239.1506841382
2025-07-31,941412.9055687219
2025-08-01,942640.2249539059
2025-08-04,947553.804477005
2025-08-05,957421.1465529196
2025-08-06,961679.3914639868
2025-08-07,960014.43367658
2025-08-08,963771.8525693594
2025-08-11,976504.2015499735
2025-08-12,974503.549084701
2025-08-13,983262.2011938744
2025-08-14,970446.0937679617
2025-08-15,985712.0671740284
2025-08-18,998214.1598672732
2025-08-19,1004258.7527698237
2025-08-20,1010412.6185890179
2025-08-21,1006493.071283251
2025-08-22,1009947.5356238806
2025-08-25,1020318.3517731035
2025-08-26,1022912.5715073013
2025-08-27,996591.8095710804
2025-08-28,1004992.1733527823
2025-08-29,997619.524685742
2025-09-01,1008542.239515674
2025-09-02,986446.5042982475
2025-09-03,962910.9545076473
2025-09-04,958435.5111956593
2025-09-05,976385.3383031614
2025-09-08,985344.6161374511
2025-09-09,977258.3323470381
2025-09-10,983418.84612944
2025-09-11,999090.3825187638
2025-09-12,1002442.1430764614
2025-09-15,1002249.0350254504
2025-09-16,1014419.4554895031
2025-09-17,1018613.8006267291
2025-09-18,1003646.9060237581
2025-09-19,994174.8351194343
2025-09-22,992293.5277766516
2025-09-23,971992.4343023488
2025-09-24,984433.0162307359
2025-09-25,979955.3534251782
2025-09-26,968412.5442624926
2025-09-29,976269.6250067821
2025-09-30,979399.6922266802
2025-10-09,989139.7703227969
2025-10-10,989630.8637805512
2025-10-13,984213.119014935
2025-10-14,977402.6982474754
2025-10-15,991188.7487771543
2025-10-16,976596.5224653778
2025-10-17,952240.1484406057
2025-10-20,964790.4444927132
2025-10-21,982500.0509597153
2025-10-22,979116.2802204977
2025-10-23,978116.3889145354
2025-10-24,974450.1705609141
2025-10-27,978734.9947394807
2025-10-28,979109.9443113498
2025-10-29,985917.9928873545
2025-10-30,971116.9236051065
2025-10-31,979316.9890751314
2025-11-03,991906.1621426885
2025-11-04,993643.2042422815
2025-11-05,1005240.4432266903
2025-11-06,1003286.0836294488
2025-11-07,1003603.6096263966
2025-11-10,1014284.2071278528
2025-11-11,1020704.3730960011
2025-11-12,1013109.1876182035
2025-11-13,1026810.6167077526
2025-11-14,1026764.1830282131
2025-11-17,1034885.7116481682
2025-11-18,1006596.5856113347
2025-11-19,984874.5977700916
2025-11-20,974438.2367466633
2025-11-21,931895.1730092142
2025-11-24,938382.7686085103
2025-11-25,956880.5640566325
2025-11-26,956809.5548898234
2025-11-27,954276.7003448765
2025-11-28,970407.2545218003
2025-12-01,977906.7898986185
2025-12-02,980281.7356111762
2025-12-03,973891.0967695025
2025-12-04,959934.4901484203
2025-12-05,979900.0425729492
2025-12-08,991771.4553735298
2025-12-09,983479.5404815492
2025-12-10,989576.6801268207
2025-12-11,965531.9019642549
2025-12-12,965468.385251364
2025-12-15,971430.3111893223
2025-12-16,946435.320173917
2025-12-17,943917.4846321768
2025-12-18,941996.398165505
2025-12-19,966394.3537587601
2025-12-22,974439.9124354714
2025-12-23,960707.0179482548
2025-12-24,975279.5782983563
2025-12-25,985904.5197845622
2025-12-26,992435.1038959268
2025-12-29,983599.0640086373
2025-12-30,976757.342467495
2025-12-31,973253.3536781276
2026-01-05,981581.7277240886
2026-01-06,1000854.4920411165
2026-01-07,1004969.1696035401
2026-01-08,1019700.0961276711
2026-01-09,1035543.0722601517
2026-01-12,1063955.9388390253
2026-01-13,1035805.6804399872
2026-01-14,1040638.39038537
2026-01-15,1023273.3073248395
2026-01-16,1011439.5520192655
2026-01-19,1026252.0213173485
2026-01-20,1017844.4245280648
2026-01-21,1014822.6901338877
2026-01-22,1031220.5303631137
2026-01-23,1055586.422181972
2026-01-26,1036728.7675772796
2026-01-27,1031148.3172065234
2026-01-28,1030491.8276395795
2026-01-29,1025055.714773784
2026-01-30,1010694.3697460074
2026-02-02,989710.8170233082
2026-02-03,1016483.7295679043
2026-02-04,1024813.4931775259
2026-02-05,1010070.4034621759
2026-02-06,1010665.8000752887
2026-02-09,1031503.3170101929
2026-02-10,1030523.5830277022
2026-02-11,1026962.0233303981
2026-02-12,1022706.7261068004
2026-02-13,1008437.7922780818
2026-02-24,1030817.0557718243
2026-02-25,1048093.7326961429
2026-02-26,1046073.3164966222
2026-02-27,1059114.173729732
2026-03-02,1041315.6781461748
2026-03-03,1005082.7365728612
2026-03-04,1003881.9945022645
2026-03-05,1018256.54009521
2026-03-06,1034465.3106385287
2026-03-09,1031170.6065201937
2026-03-10,1034925.654006221
2026-03-11,1040547.5821038081
2026-03-12,1039714.3889535787
2026-03-13,1024074.2379060173
2026-03-16,1023237.5954328178
2026-03-17,1006726.3106986786
2026-03-18,1008899.0927042295
2026-03-19,987500.4056337983
2026-03-20,960676.3553330621
2026-03-23,923555.2318308132
2026-03-24,958870.9555991291
2026-03-25,983049.3231586359
2026-03-26,969623.4280542291
2026-03-27,984209.2518370183
2026-03-30,979234.6704367528
2026-03-31,955790.2903588802
2026-04-01,958953.8117260145
2026-04-02,942696.387557053
2026-04-03,908830.1067359194
2026-04-07,932241.7931538996
2026-04-08,957359.9824759361
2026-04-09,945774.2686548685
2026-04-10,944583.6313639625
2026-04-13,955384.3681368348
2026-04-14,961436.6875786457
2026-04-15,957721.7275476892
2026-04-16,968188.7306051595
2026-04-17,966450.9794289323
2026-04-20,980393.6509573619
2026-04-21,976288.5825145304
2026-04-22,977912.0862687962
2026-04-23,971389.0457017765
2026-04-24,957920.4011080668
