date,G1,G2,G3,G4,G5
2024-11-01,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-04,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-05,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-06,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-07,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-08,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-11,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-12,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-13,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-14,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-15,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-18,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-19,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-20,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-21,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-22,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-25,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-26,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-27,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-28,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-11-29,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2024-12-02,1000000.0000000003,1000000.0000000019,1000000.0000000019,1000000.0000000019,1000000.0000000003
2024-12-03,1008374.827699217,1005867.314991869,1002530.7184668841,1002950.9245599839,1000488.5431748037
2024-12-04,989184.6369979572,989985.4714438424,987990.6186730958,990025.0937410002,988239.52834371
2024-12-05,1011652.575015036,1001727.5505798394,997488.9618629164,997429.5016086735,997649.1412360957
2024-12-06,1028148.7005172942,1014519.0657325526,1012357.6543090169,1007485.8220281021,1010300.3876719518
