code,date,close,amount,ma_amount,ratio,market_cap,last_price
603006.SH,20260116,14.08,220741926.0,41435083.6,5.327415967853869,36.485484875,14.35
603089.SH,20260119,14.23,317525890.0,78397225.45,4.050218463439257,34.80482386,14.5
600433.SH,20260116,3.4400000000000004,485338150.0,93114879.85,5.212251261901833,61.4348010783,3.51
600774.SH,20260120,11.64,488612462.0,70343228.6,6.946119359667834,30.7225500502,10.42
600158.SH,20260121,9.71,987938086.0,240163861.0,4.1136001140488,94.2241831794,9.82
603165.SH,20260119,14.8,214703708.0,51644210.55,4.157362571979523,39.536424137000004,14.98
600189.SH,20260120,8.13,671003187.0,135456625.05,4.953638751536279,58.574700802799995,8.19
600649.SH,20260121,5.45,1611868488.0,243722060.75,6.613551859195003,133.99079108800004,5.350000000000001
601096.SH,20260116,4.83,786774859.0,118465906.85,6.641361045724355,83.29891062870001,5.07
600662.SH,20260116,6.19,772325816.0,163696613.45,4.7180317278579595,137.726502276,6.05
603980.SH,20260121,5.94,498410833.0,78218662.35,6.372019388030356,38.9179182,5.75
600610.SH,20260121,11.76,1793984200.0,321889019.8,5.573300391279765,83.48800584899999,11.78
601968.SH,20260120,6.32,607695463.0,132965284.5,4.5703317620472586,76.801923492,6.02
600851.SH,20260122,8.0,427290155.00000006,90327938.3,4.730431835838769,58.98266818900001,7.99
600261.SH,20260119,3.7,213254889.0,47577694.5,4.482245120137127,49.797475631800005,3.73
600853.SH,20260120,4.9,740863529.9999999,175549251.85,4.220260252849377,44.8053652332,4.42
600744.SH,20260116,6.63,1654987612.0,282992399.1,5.848169835173499,134.66353936619998,6.63
600073.SH,20260120,6.96,409630078.0,85578895.3,4.786578239459934,61.2337345216,6.53
600731.SH,20260121,7.590000000000001,273160922.0,57723009.2,4.732270991859516,41.0053777405,7.57
600770.SH,20260121,6.18,526391704.0,122446450.3,4.298954381366824,85.15,6.55
601616.SH,20260116,4.58,505435907.00000006,111730646.35,4.5236998398515045,48.403390587299995,5.67
600929.SH,20260122,6.04,477255322.0,87651302.05,5.444931345432307,103.9522565732,6.34
600841.SH,20260119,6.859999999999999,589574760.0,91704477.45,6.429072782421705,80.41718771640001,7.71
603070.SH,20260120,15.44,261585391.0,58665947.05,4.4588965857323535,58.956660982799995,14.91
002114.SZ,20260116,9.73,974096695.23,226798154.943,4.2949939141912985,33.0828811929,10.23
002239.SZ,20260121,3.31,1627694841.81,303962994.846,5.354911187905147,109.72425730559999,3.36
002452.SZ,20260116,9.500000000000002,856591643.9999999,174555675.061,4.907268948435258,51.229345646999995,9.93
000720.SZ,20260119,4.0,713260517.6600001,113595263.53099999,6.278963536761832,46.9942807554,3.74
002637.SZ,20260121,12.34,659312967.9900001,160706316.82850003,4.102595224639459,56.58001857,12.78
000045.SZ,20260122,13.28,548044370.5,130208253.011,4.2089833618588,60.82960810190001,13.31
002628.SZ,20260119,4.5,253646805.2,61644764.430999994,4.114652842641828,34.8248578524,4.62
000525.SZ,20260120,6.19,613672784.4599999,129884420.8645,4.7247605245913595,67.2614803025,6.05
002218.SZ,20260116,5.15,2348570067.93,576468185.333,4.074067099771232,70.1768717496,5.04
002440.SZ,20260121,9.01,792558238.18,142639101.949,5.556388306927056,88.8630790191,9.39
002662.SZ,20260121,4.53,649439625.59,158204267.2825,4.105070215522807,66.14916651,4.41
002707.SZ,20260116,8.32,1763131609.7500002,318937181.3755,5.528146960307462,67.5844717275,8.19
002923.SZ,20260116,13.95,282309317.13,61023073.172000006,4.62627171093598,34.9963033548,13.56
000751.SZ,20260116,4.94,2006477000.92,422303688.078,4.751265635523887,74.4410715312,5.28
000514.SZ,20260120,5.359999999999999,401611346.73,94359115.246,4.256200852275634,44.12922146950001,5.23
000560.SZ,20260120,3.22,2006775828.88,451631662.3565,4.443390479775378,71.7388433142,3.18
000601.SZ,20260116,5.16,380722812.81,87103910.2405,4.370903806256202,54.6803518547,5.21
002546.SZ,20260116,8.26,1921248119.62,302643186.906,6.348228550133307,72.91212073599999,9.1
002165.SZ,20260121,9.59,2752230739.46,362447695.4655,7.593456308020516,69.3430909688,9.53
000930.SZ,20260121,6.4,551512868.1800001,104995470.1655,5.252730115981891,120.6626252,6.5
002554.SZ,20260116,3.78,943480579.34,140603092.9605,6.710240574900117,54.40559742,4.08
002358.SZ,20260121,7.56,2445402748.0,325461766.16800004,7.513640624495683,66.1056304122,7.11
002606.SZ,20260116,9.85,735517051.2,119743374.25800002,6.142444671846722,45.230656707,10.74
002437.SZ,20260121,3.51,692884691.5200001,173167284.258,4.001244776049493,73.4729905,3.5
002021.SZ,20260120,3.16,652262859.53,145817203.535,4.473154358452907,39.8080817703,3.33
