code,target_date,target_close,target_volume,history_date,history_close,history_volume,days_between,price_deviation,volume_deviation,last_price,market_cap
002644.SZ,20260330,9.01,384734,20260209,9.36,453820,29,3.88,17.96,8.92,45.5506044
603213.SH,20260327,14.31,180658,20250904,13.61,205690,132,4.89,13.86,13.8,60.99218499
000989.SZ,20260327,9.38,616907,20250708,10.0,603435,174,6.61,2.18,9.48,65.80577578440001
002367.SZ,20260327,6.96,483836,20241211,7.57,486455,311,8.76,0.54,6.640000000000001,52.7598285384
002479.SZ,20260326,5.99,1304978,20250425,5.56,1090615,221,7.18,16.43,5.7,49.195152108
600626.SH,20260326,3.93,568602,20241224,3.94,535719,301,0.25,5.78,4.02,44.540744142
603759.SH,20260325,10.56,311861,20260115,11.15,277988,43,5.59,10.86,9.97,46.037472
603520.SH,20260324,9.6,334614,20251121,9.94,291625,79,3.54,12.85,10.89,47.7428360409
000809.SZ,20260324,4.01,1328637,20251112,4.0,1372678,86,0.25,3.31,3.93,32.4142978149
603787.SH,20260323,14.82,245803,20251029,14.0,202786,95,5.53,17.5,16.21,37.306308359
002328.SZ,20260320,6.91,935199,20251114,7.55,940371,82,9.26,0.55,7.4,42.238600304
002521.SZ,20260319,8.54,254105,20260112,8.89,237577,42,4.1,6.5,8.14,34.058397769
000037.SZ,20260319,10.6,889075,20251111,10.08,880991,84,4.91,0.91,12.46,42.22795549000001
603828.SH,20260319,6.21,197670,20251103,6.61,193858,90,6.44,1.93,6.24,37.1866326
605162.SH,20260318,10.23,338977,20260113,10.13,340182,40,0.98,0.36,11.61,46.50768653219999
002686.SZ,20260318,7.35,378918,20251211,6.66,365362,61,9.39,3.58,7.89,41.243602771199996
002224.SZ,20260318,4.97,1095916,20250613,4.86,966841,184,2.21,11.78,4.77,38.464343601299994
603357.SH,20260317,8.72,243243,20250722,8.99,211107,156,3.1,13.21,8.13,45.1705205667
603387.SH,20260317,9.44,386624,20250121,8.57,325931,275,9.22,15.7,10.04,50.918213106799996
601999.SH,20260316,7.55,188280,20260211,7.84,174179,17,3.84,7.49,7.9,43.5222613
603558.SH,20260316,13.14,323020,20251106,12.4,261356,84,5.63,19.09,14.59,49.990891349099996
600249.SH,20260316,6.14,357994,20251104,6.49,321056,86,5.7,10.32,6.37,35.035
002543.SZ,20260313,9.79,229719,20260202,9.04,218201,23,7.66,5.01,9.09,60.140440172699996
600336.SH,20260313,8.18,524312,20260123,8.83,440711,29,7.95,15.94,7.01,55.9408353069
600853.SH,20260313,4.35,789904,20260114,4.68,774969,36,7.59,1.89,4.0,40.54784184
002669.SZ,20260313,15.35,328678,20251224,14.88,307224,49,3.06,6.53,12.63,38.23325814
002692.SZ,20260313,6.23,1190030,20250826,5.89,1005817,129,5.46,15.48,6.01,43.1343093975
001338.SZ,20260313,13.76,326664,20250609,12.44,370646,185,9.59,13.46,13.31,66.7803740054
002688.SZ,20260312,6.5,715852,20260126,6.77,693965,27,4.15,3.06,5.88,43.9508606796
603020.SH,20260312,11.29,194473,20251027,11.89,217346,90,5.31,11.76,11.18,42.845983133199994
603086.SH,20260312,8.87,637756,20250627,9.59,621291,170,8.12,2.58,7.57,32.915354925100004
002547.SZ,20260311,3.8,1116696,20260205,3.75,1082522,18,1.32,3.06,3.4,37.563443644
002175.SZ,20260311,3.53,1800426,20260204,3.5,1884884,19,0.85,4.69,3.15,40.2185929005
603803.SH,20260311,12.1,454042,20260107,11.68,433027,39,3.47,4.63,12.72,54.0451884504
603121.SH,20260311,19.6,245047,20251212,21.16,196071,55,7.96,19.99,16.55,56.0273298325
002512.SZ,20260311,4.32,2294713,20251031,4.62,2709590,85,6.94,18.08,4.05,44.325297170999995
603258.SH,20260310,20.21,150797,20250604,21.79,121750,185,7.82,19.26,16.51,39.845456885000004
