code,breakout_date,bottom_date,neckline_price,bottom_price,confidence_score,duration,left_days,right_days,symmetry_ratio,vol_ratio,r_squared,last_price,market_cap
002902.SZ,20260319,20260204,23.79,20.83,0.912,54,27,27,1.09,3.54,0.847,27.94,49.6304495324
603817.SH,20260319,20260130,8.92,6.98,0.841,76,38,34,0.99,3.05,0.647,7.890000000000001,44.9796306771
000401.SZ,20260313,20251225,5.1,4.48,0.833,98,49,49,0.82,1.68,0.332,4.87,128.14694846860002
603093.SH,20260313,20260206,20.39,18.13,0.775,46,23,23,0.72,2.15,0.501,19.76,120.54902045680001
002285.SZ,20260318,20260130,3.43,2.71,0.773,62,31,31,1.25,3.15,0.692,3.0,59.27328678
605296.SH,20260319,20260211,29.45,28.03,0.763,50,25,25,0.82,2.06,0.052,28.41,147.1593731538
000626.SZ,20260313,20260226,8.25,7.58,0.736,58,29,21,0.65,2.26,0.566,8.35,42.0603295035
603366.SH,20260319,20260304,10.75,9.1,0.729,38,19,17,1.14,2.37,0.0,10.06,81.7926389606
002693.SZ,20260316,20260304,7.98,7.1,0.7,28,14,14,0.86,4.35,0.0,8.42,34.6046503832
001287.SZ,20260325,20260309,26.44,22.57,0.671,48,24,14,1.09,2.49,0.217,24.58,107.5115676084
002100.SZ,20260316,20260211,7.6,7.11,0.657,56,28,26,1.32,1.71,0.086,7.3,99.663360595
600285.SH,20260320,20260304,22.42,21.21,0.65,24,12,12,0.77,1.97,0.0,22.28,126.0748302808
603701.SH,20260313,20260225,23.16,20.05,0.65,36,18,18,1.3,2.75,0.0,23.05,60.2439181805
600027.SH,20260325,20260205,5.39,4.87,0.601,78,39,30,1.46,1.91,0.19,5.100000000000001,469.99954367700013
000978.SZ,20260326,20260303,7.42,6.85,0.45,48,24,18,0.66,4.1,0.0,7.53,35.249341875
