code,start_date,end_date,consecutive_days,total_gain,avg_daily_gain,max_daily_gain,close,market_cap,last_price
603999.SH,20260305,20260311,5,3.33,0.95,2.48,7.45,39.3408,6.83
600876.SH,20260306,20260312,5,4.13,0.68,2.36,10.83,42.258086048399996,10.68
600288.SH,20260206,20260212,5,3.82,0.66,2.64,15.5,62.15664,14.23
600101.SH,20260302,20260306,5,3.87,0.34,1.62,11.260000000000002,59.9909405745,10.95
600207.SH,20260225,20260303,5,2.42,0.57,2.91,5.51,73.6375286504,6.76
600668.SH,20260304,20260310,5,2.11,0.22,1.0,11.13,42.0745705286,10.19
600433.SH,20260224,20260302,5,3.44,0.98,2.56,3.61,64.4102757744,3.68
603527.SH,20260213,20260227,5,6.73,1.19,2.4,11.57,35.278894560000005,11.13
601038.SH,20260209,20260213,5,2.66,0.9,2.01,14.26,93.95095731,12.84
605136.SH,20260304,20260310,5,5.04,0.62,2.42,10.62,40.4463085,10.1
600461.SH,20260224,20260302,5,3.83,0.92,1.53,10.02,128.5439537382,10.01
603018.SH,20260304,20260310,5,4.31,0.8,1.67,7.99,49.5752392175,7.25
601908.SH,20260306,20260312,5,6.25,1.07,2.16,4.25,116.8667784724,4.84
605162.SH,20260226,20260304,5,4.69,0.93,2.63,9.82,44.865296224,11.2
601949.SH,20260306,20260312,5,5.64,1.01,1.67,6.74,120.5211778182,6.33
603928.SH,20260210,20260224,5,2.13,0.43,2.52,16.3,37.87056,14.45
600502.SH,20260305,20260311,5,5.72,1.25,2.04,4.99,79.81882811700001,4.65
600576.SH,20260304,20260310,5,5.04,0.8,2.23,6.460000000000001,40.613990104500004,6.15
600336.SH,20260304,20260310,5,3.17,0.36,1.79,7.48,55.1428205379,6.91
600155.SH,20260306,20260312,5,5.22,0.97,2.7,6.8500000000000005,139.89588454640003,6.32
600817.SH,20260209,20260213,5,3.15,0.76,1.29,12.11,57.740558148599995,10.91
603333.SH,20260304,20260310,5,8.47,1.4,2.79,9.09,48.727762742399996,7.84
600784.SH,20260304,20260310,5,4.62,0.82,1.37,7.48,49.457746676400006,7.32
600310.SH,20260224,20260302,5,7.22,1.52,2.96,4.16,96.73690765200003,6.600000000000001
600133.SH,20260306,20260312,5,5.81,1.1,2.47,9.84,94.895348875,8.9
600805.SH,20260310,20260316,5,5.66,1.15,2.66,5.790000000000001,47.61542060800001,5.600000000000001
600649.SH,20260311,20260317,5,3.95,0.82,1.23,5.0,113.954784944,4.55
603169.SH,20260224,20260302,5,6.92,1.6,2.24,11.12,132.4579883172,10.14
600551.SH,20260305,20260311,5,3.79,0.88,2.67,8.48,53.6341694049,7.91
605300.SH,20260305,20260311,5,2.64,0.66,2.91,11.26,48.7569694581,10.73
603567.SH,20260305,20260311,5,4.0,0.9,1.99,7.8,66.1436528896,7.04
600395.SH,20260206,20260212,5,7.04,0.89,1.6,5.78,132.4467559598,6.17
603187.SH,20260206,20260212,5,7.09,1.25,2.13,16.47,56.6660322462,14.82
603633.SH,20260304,20260310,5,5.7,0.93,2.49,8.709999999999999,32.437622168000004,7.600000000000001
603162.SH,20260323,20260327,5,5.55,1.12,2.98,13.31,37.170769917600005,13.31
600037.SH,20260306,20260312,5,6.37,1.19,1.93,8.01,104.1049857232,7.48
600458.SH,20260206,20260212,5,4.25,0.69,2.01,14.47,111.3083255625,12.91
603071.SH,20260224,20260302,5,5.37,1.1,2.06,14.32,83.135211858,14.9
600558.SH,20260304,20260310,5,5.74,0.9,2.76,6.45,49.9068286036,5.56
601330.SH,20260224,20260302,5,4.7,1.02,2.48,7.35,95.843273523,9.69
603227.SH,20260224,20260302,5,5.02,1.18,2.71,9.0,100.63194349710001,9.39
600639.SH,20260306,20260312,5,1.56,0.25,1.07,10.39,93.10091897849999,10.95
