,importance
past_excess_10d,612168.4818172455
past_excess_20d,501311.8294029236
amount_share_mean_5d,497288.1694364548
amount_share,184397.9288930893
past_ret_20d,85023.72291278839
amount_share_mean_10d,61936.05898666382
max_drawdown_60d,54635.58203125
volatility_20d,53602.32996082306
max_drawdown_20d,48500.366669654846
max_drawdown_10d,48461.34970855713
volatility_60d,43758.112681388855
past_ret_10d,35787.080958366394
max_drawdown_5d,35053.762108802795
past_ret_60d,34070.93375968933
amount_share_mean_3d,28880.848965644836
n_members,25584.60144996643
past_excess_60d,25376.38235759735
volatility_10d,24273.720554351807
amount_ratio_mean_10d,21923.270001411438
past_ret_5d,19388.48610019684
market_ret_1d,19232.733122825623
volatility_5d,17170.193059921265
past_excess_5d,16168.75213432312
max_drawdown_3d,15890.830008506775
past_ret_3d,12743.429082870483
amount_ratio_20d,12221.883723258972
amount_ratio_mean_5d,12170.669205665588
volatility_3d,11057.368805885315
past_excess_3d,11026.851942062378
amount_ratio_mean_3d,10883.892922401428
sector_ret_1d,9659.314667701721
sector_excess_1d,6963.570801734924
