代码,名称,现价,涨跌,涨跌幅,振幅,最高,最低,量比,换手率,成交量,成交额,60日涨跌幅,年初至今,流通市值,总市值1,市盈率(LYR),市净率(LF),市盈率(TTM),Wind四级行业,融资余额,融券余额,成交额_norm,流通市值_norm,换手率_norm,综合评分
300528.SZ,幸福蓝海,24.03,0.9,0.0389,0.0813,24.99,23.11,1.4744,0.1413,52643295.0,1262718852.0,0.3669,1.7621,8953771538.0,8953771538.0,-46.5238,16.5466,-58.1254,电影和娱乐,0.0,0.0,0.4772673271147042,0.04015323565316064,0.8196915776986953,0.4488603748514385
600556.SH,天下秀,6.11,0.56,0.1009,0.1063,6.11,5.52,2.0243,0.1045,188836757.0,1133156243.0,0.1864,0.1774,11045338093.0,11045338093.0,214.5215,2.8673,258.0614,信息科技咨询与其它服务,505783277.0,1728270.0,0.42619473255695806,0.06001137893678892,0.6014234875444839,0.36890835296716507
002115.SZ,三维通信,11.59,-0.32,-0.0269,0.0353,11.98,11.56,0.6116,0.1168,87887736.0,1031401375.0,0.3684,0.7429,8717946216.0,9399389538.0,-34.6302,4.5313,-38.5341,广告,535234153.0,219144.0,0.38608373789768113,0.03791421867185125,0.6743772241992882,0.3681209280204143
002181.SZ,粤 传 媒,10.01,0.91,0.1,0.111,10.01,9.0,1.4841,0.0964,109390056.0,1046931173.0,0.48,0.8019,11356547012.0,11622192322.0,387.4783,2.7364,63.709,广告,285756459.0,879060.0,0.39220546609487805,0.06296611699658021,0.5533807829181494,0.34178625641237015
601929.SH,吉视传媒,3.67,0.02,0.0055,0.0329,3.72,3.6,1.2217,0.0581,202913804.0,741460731.0,0.8259,0.9626,12807522577.0,12807522577.0,-27.5567,2.559,-25.5296,有线和卫星电视,287242133.0,0.0,0.27179134234377694,0.07674224121406346,0.3262158956109134,0.22960397798500387
002174.SZ,游族网络,13.02,0.33,0.026,0.0559,13.25,12.54,0.7456,0.0532,52281036.0,677971814.0,-0.1372,0.3925,12796098211.0,12803284274.0,-33.1703,2.6391,-37.6086,互动家庭娱乐,986267306.0,3905982.0,0.24676449438294745,0.07663377385670862,0.297153024911032,0.21084183738350115
002291.SZ,遥望科技,6.93,0.2,0.0297,0.0535,7.04,6.68,1.1961,0.0804,69906453.0,483763621.0,0.0532,0.0983,6022873464.0,6483329296.0,-6.4752,2.1405,-6.2618,互联网服务与基础架构,446262421.0,547822.0,0.17020910253465948,0.012326153715908028,0.4584816132858837,0.20932597111440132
300533.SZ,冰川网络,38.12,-0.84,-0.0216,0.0257,38.86,37.86,0.9556,0.058,9573050.0,366618776.0,0.0924,0.9787,6289021056.0,8937690296.0,-36.1547,6.5211,12.386,互动家庭娱乐,0.0,0.0,0.12403149605241412,0.014853062077439291,0.32562277580071175,0.15175534978441096
300770.SZ,新媒股份,48.31,1.26,0.0268,0.0608,49.5,46.64,1.6967,0.0379,8635859.0,416583075.0,0.2198,0.2439,11006882331.0,11006882331.0,16.7314,2.9975,14.8309,有线和卫星电视,398801601.0,1082150.0,0.14372704251357718,0.059646265032069254,0.20640569395017797,0.13730640470010505
300063.SZ,天龙集团,8.55,0.12,0.0142,0.0225,8.62,8.43,2.1561,0.0499,31240300.0,267029437.0,0.0012,-0.0625,5357040488.0,6485407133.0,99.5149,3.8184,62.6007,广告,0.0,0.0,0.08477413644628777,0.006004477454273298,0.2775800711743772,0.11898501916711027
002354.SZ,天娱数科,6.66,0.05,0.0076,0.0257,6.7,6.53,1.2466,0.0296,48184298.0,320325440.0,-0.0177,0.2402,10828702318.0,11019541561.0,-93.4271,8.8558,-125.7232,互动媒体与服务Ⅳ,573623802.0,829555.0,0.10578301527156232,0.05795455494999025,0.15717674970344012,0.10685259750465403
600986.SH,浙文互联,8.61,-0.12,-0.0137,0.0195,8.75,8.58,0.5726,0.0229,34093138.0,295045309.0,-0.0023,0.4398,12806290674.0,12806290674.0,81.1709,2.458,61.7859,广告,1461540861.0,3265893.0,0.09581778000117878,0.0767305450496612,0.11743772241992884,0.09657759224134853
300043.SZ,星辉娱乐,6.06,0.0,0.0,0.0363,6.17,5.95,0.7141,0.0338,42085000.0,256628157.0,0.3089,0.6685,7535849376.0,7539842310.0,-16.4724,4.5343,-60.8098,休闲用品Ⅳ,0.0,0.0,0.08067403101909933,0.026690933250821836,0.18208778173190984,0.09490322690245923
