代码,名称,现价,涨跌,涨跌幅,振幅,最高,最低,量比,换手率,成交量,成交额,60日涨跌幅,年初至今,流通市值,总市值1,市盈率(LYR),市净率(LF),市盈率(TTM),Wind四级行业,融资余额,融券余额,状态,日均成交金额,日均总市值
002602.SZ,ST华通,17.83,-0.94,-0.0501,0.0197,18.2,17.83,0.6527,0.0121,83130012.0,1487254504.0,0.4603,2.4689,122211000000.0,132443000000.0,109.1683,4.6554,48.849,互动家庭娱乐,0.0,0.0,纳入,1487254504.0,132443000000.0
002027.SZ,分众传媒,7.62,0.01,0.0013,0.0145,7.65,7.54,0.706,0.0037,54155003.0,411458702.0,0.0594,0.1302,110050000000.0,110050000000.0,21.3465,7.3839,20.6598,广告,1159584011.0,1047136.0,保持,411458702.0,110050000000.0
002558.SZ,巨人网络,37.46,-0.65,-0.0171,0.0551,38.45,36.35,1.7402,0.0298,57685243.0,2145001656.0,0.5693,1.9919,72475757888.0,72475757888.0,50.8637,5.2672,48.8302,互动家庭娱乐,668221337.0,12778283.0,保持,2145001656.0,72475757888.0
300418.SZ,昆仑万维,43.27,0.4,0.0093,0.0411,44.65,42.89,1.5193,0.0472,59237836.0,2588803996.0,0.2345,0.1245,54281812719.0,54319295356.0,-34.0603,3.9151,-26.3532,互动媒体与服务Ⅳ,3849943400.0,6411166.0,保持,2588803996.0,54319295356.0
300413.SZ,芒果超媒,28.65,-0.17,-0.0059,0.0278,29.05,28.25,0.7547,0.0116,11889602.0,340779525.0,0.2694,0.0765,29271703797.0,53596151350.0,39.2833,2.3144,57.2686,电影和娱乐,626813662.0,2815714.0,保持,340779525.0,53596151350.0
002517.SZ,恺英网络,23.82,-0.55,-0.0226,0.0406,24.47,23.48,0.9636,0.0188,35602791.0,850421598.0,0.289,0.7604,44997067335.0,50890077834.0,31.2502,6.2037,28.7615,互动家庭娱乐,769496044.0,17787663.0,保持,850421598.0,50890077834.0
300251.SZ,光线传媒,16.56,-0.04,-0.0024,0.0108,16.69,16.51,0.7581,0.0092,25523100.0,424215262.0,-0.1577,0.7738,45960044566.0,48580224434.0,166.3616,4.6841,23.7138,电影和娱乐,1670869247.0,19370540.0,保持,424215262.0,48580224434.0
002195.SZ,岩山科技,7.73,-0.05,-0.0064,0.0219,7.82,7.65,1.0501,0.0372,208490745.0,1614499060.0,0.3236,0.9471,43297753034.0,43833387800.0,1350.3097,4.4424,700.2352,互联网服务与基础架构,2158108505.0,18683709.0,保持,1614499060.0,43833387800.0
002555.SZ,三七互娱,19.7,-0.35,-0.0175,0.0279,20.17,19.61,1.0169,0.0287,45935625.0,910643681.0,0.1776,0.324,31499655672.0,43581082316.0,16.3041,3.476,15.5168,互动家庭娱乐,2011119701.0,952375.0,保持,910643681.0,43581082316.0
002131.SZ,利欧股份,5.13,-0.04,-0.0077,0.0232,5.22,5.1,1.1769,0.0543,317391723.0,1634468324.0,0.3536,0.6748,30009083309.0,34739224746.0,-133.9781,2.6245,71.0187,广告,1609788498.0,1990967.0,保持,1634468324.0,34739224746.0
603444.SH,吉比特,457.76,-3.14,-0.0068,0.0204,463.9,454.48,0.9174,0.0242,1744956.0,800455942.0,0.4103,1.1483,32977534394.0,32977534394.0,34.8998,6.842,30.7691,互动家庭娱乐,1131175974.0,4378550.0,保持,800455942.0,32977534394.0
002624.SZ,完美世界,16.96,-0.01,-0.0006,0.0295,17.28,16.78,1.1501,0.0139,25367363.0,431781992.0,0.1585,0.6684,30998352375.0,32901864132.0,-25.5537,4.759,-54.1601,互动家庭娱乐,663202511.0,8201601.0,保持,431781992.0,32901864132.0
