stock_code,center_date,trading_days_count,avg_daily_return,cumulative_return,win_rate,volume_change_rate,max_daily_return,min_daily_return,volatility,index_name,index_code,effective_date,window_type,window_dates
002555.SZ,2025-04-30,8,-0.971032248753047,-6.7620286085825825,25.0,-17.202232449067743,1.3253810470510219,-5.8207979071288385,2.3409613753791745,CS人工智,930713.CSI,2025-06-16,cutoff_date,2025-04-23 to 2025-05-07
300857.SZ,2025-04-30,8,0.961687643391797,6.725114621479156,50.0,-10.47359403724223,4.508701794463299,-2.2286146263879703,2.5524491682719446,CS人工智,930713.CSI,2025-06-16,cutoff_date,2025-04-23 to 2025-05-07
688561.SH,2025-04-30,8,0.9531253947403618,6.574042697390703,50.0,13.340268762197894,4.195121951219516,-2.211221122112206,3.046461924529541,CS人工智,930713.CSI,2025-06-16,cutoff_date,2025-04-23 to 2025-05-07
688018.SH,2025-04-30,8,1.7618713509981614,12.294323323735078,37.5,-9.564041374592602,12.200660611065238,-1.4860139860139898,4.778109721770949,CS人工智,930713.CSI,2025-06-16,cutoff_date,2025-04-23 to 2025-05-07
002555.SZ,2025-06-16,11,1.221261489554022,12.714776632302382,63.63636363636363,-5.676712668839579,6.1038961038961,-0.8247422680412453,1.983590082266913,CS人工智,930713.CSI,2025-06-16,effective_date,2025-06-09 to 2025-06-23
300857.SZ,2025-06-16,11,-1.0654508035452737,-10.290237467018471,18.181818181818183,-33.752149581018074,2.7380211574362434,-3.4759665022370045,1.7979751478145263,CS人工智,930713.CSI,2025-06-16,effective_date,2025-06-09 to 2025-06-23
688561.SH,2025-06-16,11,0.14886769174334513,1.2453300124533273,45.45454545454545,-24.372578866028892,3.303684879288449,-3.9227895392278778,2.3577107244409143,CS人工智,930713.CSI,2025-06-16,effective_date,2025-06-09 to 2025-06-23
688018.SH,2025-06-16,11,-1.275825581476282,-12.26502515223723,36.36363636363637,-44.05118762841573,0.8840275696733402,-6.6719618745035625,2.2785916821021877,CS人工智,930713.CSI,2025-06-16,effective_date,2025-06-09 to 2025-06-23
688568.SH,2024-10-31,11,4.123164057768154,47.16884447860621,72.72727272727273,83.71347816499022,20.064950127580605,-4.216137630239869,6.677284950843793,CS人工智,930713.CSI,2024-12-16,cutoff_date,2024-10-24 to 2024-11-07
300458.SZ,2024-10-31,11,-0.003476673595086366,-0.689303038039335,45.45454545454545,-20.835786500618703,4.8954749933844965,-8.350151362260327,3.7778095542267196,CS人工智,930713.CSI,2024-12-16,cutoff_date,2024-10-24 to 2024-11-07
301536.SZ,2024-10-31,11,0.3450575836390256,2.7941176470588136,54.54545454545454,8.291053022528194,5.392476625353337,-7.879045996592849,3.883698803648687,CS人工智,930713.CSI,2024-12-16,cutoff_date,2024-10-24 to 2024-11-07
688568.SH,2024-12-16,11,-0.8883090242806324,-8.803061934585921,45.45454545454545,0.1634722551545842,1.8113912231559004,-5.362266857962705,2.512151283806351,CS人工智,930713.CSI,2024-12-16,effective_date,2024-12-09 to 2024-12-23
300458.SZ,2024-12-16,11,2.152535089591935,22.266857962697294,72.72727272727273,10.020464727117817,9.307418560087587,-9.332340531149164,5.178412352243154,CS人工智,930713.CSI,2024-12-16,effective_date,2024-12-09 to 2024-12-23
301536.SZ,2024-12-16,11,4.722899478859009,50.33412373356325,54.54545454545454,41.22400533307318,20.090293453724616,-9.276248725790015,11.434402416034018,CS人工智,930713.CSI,2024-12-16,effective_date,2024-12-09 to 2024-12-23
300442.SZ,2024-04-30,8,1.1918066742064781,8.269918265023058,50.0,-18.04938395293779,7.4540518891015095,-2.7672359266287194,3.4711971093274037,CS人工智,930713.CSI,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688475.SH,2024-04-30,8,2.58276731754271,19.518291297432388,87.5,40.23625352281586,3.299293008641002,1.3227513227513255,0.8347553591072309,CS人工智,930713.CSI,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688385.SH,2024-04-30,8,1.2354981940922343,8.846918489065603,62.5,-2.9611821582067765,4.373757455268401,-1.4603174603174618,2.0131953710134227,CS人工智,930713.CSI,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
000032.SZ,2024-04-30,8,1.3613315174600022,9.78260869565215,50.0,-26.474674018077117,3.9190897597977115,-1.3715710723191887,2.122034123146402,CS人工智,930713.CSI,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
688343.SH,2024-04-30,8,1.1317876565146807,8.043478260869552,50.0,-5.328771617378258,4.963768115942013,-1.2909632571996066,2.2077550671673802,CS人工智,930713.CSI,2024-06-17,cutoff_date,2024-04-23 to 2024-05-07
