index_name,index_code,stock_count,cutoff_avg_return,cutoff_win_rate,cutoff_positive_rate,effective_avg_return,effective_win_rate,effective_positive_rate
CS人工智,930713.CSI,22,7.15,49.64,77.27,6.48,45.04,45.45
上证50,000016.SH,24,3.71,46.45,66.67,-0.12,41.89,45.83
中证1000,000852.SH,518,4.76,50.45,73.75,-1.35,37.83,29.54
中证500,000905.SH,250,4.05,48.55,68.8,-3.54,35.61,23.2
中证A50,930050.CSI,62,-4.09,32.42,16.13,-1.15,38.21,38.71
中证A500,000510.SH,543,6.14,53.26,83.79,-4.06,34.61,20.26
中证军工,399967.SZ,35,4.45,50.0,65.71,-4.47,39.14,20.0
中证医疗,399989.SZ,25,0.61,48.09,60.0,-6.35,32.22,12.0
中证白酒,399997.SZ,1,3.1,62.5,100.0,4.94,45.45,100.0
创业板50,399673.SZ,25,4.22,45.5,68.0,0.55,44.69,36.0
创业板指,399006.SZ,39,4.9,44.49,61.54,-2.75,38.58,30.77
国证芯片(CNI),980017.CNI,8,0.54,43.32,50.0,-1.7,37.5,37.5
机器人,h30590.CSI,55,7.89,52.91,87.27,-2.69,39.49,25.45
沪深300,000300.SH,60,3.56,47.31,68.33,-2.19,36.8,30.0
科创50,000688.SH,23,3.93,50.19,65.22,-3.96,38.83,26.09
科创创业50,931643.CSI,22,1.83,43.27,45.45,0.1,41.24,50.0
科创芯片,000685.SH,40,-2.54,40.08,37.5,2.11,43.4,47.5
红利低波,h30269.CSI,43,2.66,47.15,69.77,0.39,44.61,55.81
证券公司,399975.SZ,4,2.14,43.47,75.0,3.19,41.82,50.0
