tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-09-05 00:00:00,601989.SH,中国重工(退市),工业,1162.9038015239998,0.218,剔除,0.0,
2025-09-05 00:00:00,000415.SZ,渤海租赁,金融,217.0766969982,,纳入,-0.5665722379603388,6.451612903225801
2025-06-16 00:00:00,300999.SZ,金龙鱼,日常消费,1597.7430256592,0.082,剔除,-2.963450773789933,-3.6912751677852462
2025-06-16 00:00:00,600027.SH,华电国际,公用事业,597.2895701672,0.09,剔除,0.17152658662094034,-2.9159519725557415
2025-06-16 00:00:00,600816.SH,建元信托,金融,267.7689925088,0.048,剔除,-1.8050541516245522,-4.074074074074085
2025-06-16 00:00:00,600884.SH,杉杉股份,材料,195.47397779469998,0.039,剔除,5.078597339782354,1.258581235697931
2025-06-16 00:00:00,603290.SH,斯达半导,信息技术,190.11798465740003,0.043,剔除,-2.648681790312679,-1.781341598813424
2025-06-16 00:00:00,603688.SH,石英股份,材料,186.33733141599998,0.037,剔除,2.920076615030265,14.870482890949788
2025-06-16 00:00:00,300212.SZ,易华录,信息技术,150.67348392459996,0.049,剔除,-6.604194556001797,-3.3557046979865723
2025-06-16 00:00:00,002151.SZ,北斗星通,工业,146.3274750245,0.055,剔除,-1.9286754002911244,0.0
2025-06-16 00:00:00,002368.SZ,太极股份,信息技术,142.03441007939998,0.047,剔除,-7.5831305758313095,-5.859204197638834
2025-06-16 00:00:00,002268.SZ,电科网安,信息技术,135.8157266818,0.043,剔除,-0.3722084367245748,8.14393939393938
2025-06-16 00:00:00,603456.SH,九洲药业,医疗保健,135.7177515248,0.037,剔除,-1.558441558441559,-6.564545339515082
2025-06-16 00:00:00,600755.SH,厦门国贸,工业,135.03297904040002,0.043,剔除,0.160771704180096,-3.9556962025316444
2025-06-16 00:00:00,300595.SZ,欧普康视,医疗保健,133.97478170699998,0.037,剔除,-3.61057382333978,-2.5913621262458664
2025-06-16 00:00:00,600167.SH,联美控股,公用事业,131.9235989929,0.025,剔除,-1.5202702702702853,-3.072170901878557
2025-06-16 00:00:00,603882.SH,金域医学,医疗保健,129.3880362075,0.037,剔除,-8.814887365328106,-5.504908835904631
2025-06-16 00:00:00,002541.SZ,鸿路钢构,工业,116.61224922099998,0.035,剔除,-6.526548672566368,-4.2673079649541705
2025-06-16 00:00:00,002240.SZ,盛新锂能,材料,102.9705606,0.037,剔除,-4.336734693877564,7.922535211267601
2025-06-16 00:00:00,600399.SH,抚顺特钢,材料,100.97152,0.036,剔除,1.188157662325251,-0.7968127490039723
2025-06-16 00:00:00,600771.SH,广誉远,医疗保健,99.6114471935,0.048,剔除,-6.950160036579788,-3.128054740957964
2025-06-16 00:00:00,002081.SZ,金螳螂,工业,90.81207016379999,0.026,剔除,-1.7241379310344973,-2.3391812865496964
2025-06-16 00:00:00,603588.SH,高能环境,工业,84.2348654721,0.031,剔除,-3.4904013961605584,-3.0741410488245857
2025-06-16 00:00:00,688506.SH,百利天恒,医疗保健,1295.1899,,纳入,-2.561240497164241,-10.015360983102928
2025-06-16 00:00:00,300442.SZ,润泽科技,信息技术,755.0418512514,,纳入,-5.839416058394164,1.7824074074073826
2025-06-16 00:00:00,002595.SZ,豪迈科技,工业,502.4,,纳入,-0.8212255211623498,1.3796461613374333
2025-06-16 00:00:00,688608.SH,恒玄科技,信息技术,445.2249692192,,纳入,-5.351537578154919,-2.439153439153441
2025-06-16 00:00:00,688578.SH,艾力斯,医疗保健,423.0,,纳入,-2.083333333333337,-3.0204509701101
2025-06-16 00:00:00,688213.SH,思特威-W,信息技术,373.4313728596,,纳入,-4.205751984331507,-1.1046202867764143
2025-06-16 00:00:00,688266.SH,泽璟制药-U,医疗保健,325.855776966,,纳入,3.81177264294148,-4.172354948805457
2025-06-16 00:00:00,002244.SZ,滨江集团,房地产,298.69861344000003,,纳入,5.610561056105601,0.7600434310531812
2025-06-16 00:00:00,002130.SZ,沃尔核材,工业,296.4541316386,,纳入,6.567028985507251,1.1057054400707589
2025-06-16 00:00:00,002155.SZ,湖南黄金,材料,293.3096520132,,纳入,5.60656037167746,-7.8593588417787075
2025-06-16 00:00:00,000426.SZ,兴业银锡,材料,284.10171824,,纳入,-0.5593536357986317,-6.930693069306926
2025-06-16 00:00:00,605589.SH,圣泉集团,材料,231.067745454,,纳入,-3.1571479247960332,-1.4814814814814725
2025-06-16 00:00:00,600208.SH,衢州发展,房地产,226.33782528,,纳入,1.526717557251911,-1.9011406844106404
2025-06-16 00:00:00,600511.SH,国药股份,医疗保健,224.61554250459994,,纳入,-4.613905799423257,-1.8009135055768066
2025-06-16 00:00:00,300757.SZ,罗博特科,工业,224.48980383170002,,纳入,-7.32433367947386,-2.423879703748022
2025-06-16 00:00:00,000032.SZ,深桑达A,信息技术,220.4227036258,,纳入,-7.541766109785197,-3.0446194225722034
2025-06-16 00:00:00,301358.SZ,湖南裕能,材料,214.378344117,,纳入,-0.596910112359561,3.4567039106145225
2025-06-16 00:00:00,600312.SH,平高电气,工业,204.2166570045,,纳入,-3.587443946188329,-2.8169014084507005
2025-06-16 00:00:00,000563.SZ,陕国投A,金融,176.43197735100003,,纳入,0.0,-2.346041055718473
2025-06-16 00:00:00,600864.SH,哈投股份,金融,120.048919004,,纳入,-1.5358361774744145,-2.6501766784452374
2025-06-16 00:00:00,301381.SZ,赛维时代,可选消费,79.85996,,纳入,-2.108876900441403,-4.600606673407482
2024-12-16 00:00:00,002304.SZ,洋河股份,日常消费,1260.4425934158,0.232,剔除,-1.5994354933552835,1.274871917073761
2024-12-16 00:00:00,600157.SH,永泰能源,公用事业,417.693965926,0.157,剔除,-3.589743589743588,1.6216216216216273
2024-12-16 00:00:00,002602.SZ,ST华通,通讯服务,349.52492179920006,0.117,剔除,9.069767441860478,8.370044052863435
2024-12-16 00:00:00,603156.SH,养元饮品,日常消费,282.07852344,0.049,剔除,4.110228865016352,-0.22026431718064066
2024-12-16 00:00:00,603737.SH,三棵树,材料,237.7353301791,0.046,剔除,-4.062101233517657,-7.631359466221854
2024-12-16 00:00:00,002080.SZ,中材科技,材料,211.1079468672,0.039,剔除,-5.979073243647237,1.4740108611326574
2024-12-16 00:00:00,600959.SH,江苏有线,通讯服务,197.0282768284,0.048,剔除,0.2544529262086481,-6.852791878172582
2024-12-16 00:00:00,000591.SZ,太阳能,公用事业,195.2899735276,0.061,剔除,-2.729044834307992,-2.7944111776447067
2024-12-16 00:00:00,300133.SZ,华策影视,通讯服务,177.75039104349997,0.049,剔除,8.720930232558132,-8.073196986006458
2024-12-16 00:00:00,603444.SH,吉比特,通讯服务,154.2616095713,0.04,剔除,-3.549389667132108,2.3600809170600145
2024-12-16 00:00:00,603236.SH,移远通信,信息技术,149.66817808800002,0.041,剔除,6.024096385542177,2.4244383384515844
2024-12-16 00:00:00,688536.SH,思瑞浦,信息技术,135.29325331319998,0.038,剔除,-5.247028231797934,-2.1250472232716366
2024-12-16 00:00:00,002396.SZ,星网锐捷,信息技术,104.2427279278,0.036,剔除,2.3108030040439154,7.07070707070705
2024-12-16 00:00:00,000690.SZ,宝新能源,公用事业,101.61396315539999,0.045,剔除,-0.6382978723404209,1.0752688172043001
2024-12-16 00:00:00,002511.SZ,中顺洁柔,日常消费,96.37063071850001,0.022,剔除,2.0547945205479534,-4.654255319148937
2024-12-16 00:00:00,002791.SZ,坚朗五金,工业,94.45190996970001,0.017,剔除,-0.9279881217520436,-8.042212518195058
2024-12-16 00:00:00,002192.SZ,融捷股份,材料,90.5158037658,0.036,剔除,-4.832104832104833,-3.406869589500139
2024-12-16 00:00:00,002123.SZ,梦网科技,信息技术,89.80503708,0.038,剔除,3.7927844588344195,-2.4752475247524552
2024-12-16 00:00:00,002212.SZ,天融信,信息技术,87.5154778218,0.037,剔除,2.063273727647874,2.475928473177458
2024-12-16 00:00:00,301558.SZ,三态股份,可选消费,86.53697916310001,0.008,剔除,5.480769230769211,-0.6679389312977069
2024-12-16 00:00:00,688598.SH,金博股份,工业,50.263678919200004,0.025,剔除,-1.48059223689474,-9.007572738142688
2024-12-16 00:00:00,688256.SH,寒武纪-U,信息技术,2401.4199716325,,纳入,6.725417439703163,19.005281690140862
2024-12-16 00:00:00,688235.SH,百济神州-U,医疗保健,2284.94056788,,纳入,-2.4391687881120117,-0.487624220727112
2024-12-16 00:00:00,601127.SH,赛力斯,可选消费,1973.2853262509998,,纳入,-9.48826463251924,0.7221880762138921
2024-12-16 00:00:00,605499.SH,东鹏饮料,日常消费,1302.9445728,,纳入,13.283298670765875,-3.442512038842682
2024-12-16 00:00:00,001965.SZ,招商公路,工业,890.0540299170001,,纳入,4.150039904229863,5.74898785425102
2024-12-16 00:00:00,601018.SH,宁波港,工业,766.5029029205999,,纳入,0.2544529262086481,-2.0618556701030966
2024-12-16 00:00:00,688047.SH,龙芯中科,信息技术,580.5678,,纳入,-5.803513337670784,-7.4262200218607415
2024-12-16 00:00:00,601567.SH,三星医疗,工业,459.7317767718,,纳入,-3.035714285714297,-3.0091185410334176
2024-12-16 00:00:00,002128.SZ,电投能源,材料,455.71189112689996,,纳入,0.743310208126835,-2.9455081001472982
2024-12-16 00:00:00,600487.SH,亨通光电,信息技术,446.2322994513,,纳入,0.7238307349665796,1.5529672767609526
