tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,002901.SZ,大博医疗,医疗保健,152.15216845499998,0.408,剔除,-5.696689761354879,-6.004250797024435
2025-06-16 00:00:00,688366.SH,昊海生科,医疗保健,120.2113497725,0.531,剔除,-0.789068514241742,-4.903846153846148
2025-06-16 00:00:00,300244.SZ,迪安诊断,医疗保健,92.55945447159999,0.936,剔除,-3.2658393207054215,-8.568838641355503
2025-06-16 00:00:00,300363.SZ,博腾股份,医疗保健,89.892552896,0.676,剔除,-3.001765744555618,-5.731707317073154
2025-06-16 00:00:00,688105.SH,诺唯赞,医疗保健,89.17208476480002,0.347,剔除,-3.528399311531827,-6.076618229854702
2025-06-16 00:00:00,002030.SZ,达安基因,医疗保健,83.36469430080002,0.783,剔除,-3.883495145631055,-2.538071065989844
2025-06-16 00:00:00,300888.SZ,稳健医疗,医疗保健,261.8154816768,,纳入,-8.914100486223674,-12.521404109589051
2025-06-16 00:00:00,688363.SH,华熙生物,医疗保健,253.84443353400002,,纳入,-3.849662470352122,-0.13722799451088008
2025-06-16 00:00:00,600645.SH,中源协和,医疗保健,112.073759155,,纳入,1.311336717428091,-4.601097509497675
2025-06-16 00:00:00,301602.SZ,超研股份,医疗保健,111.87970144560002,,纳入,0.03829950210647581,-7.615310084033611
2025-06-16 00:00:00,301293.SZ,三博脑科,医疗保健,95.989935942,,纳入,2.9379279876297737,-0.5844155844155874
2025-06-16 00:00:00,300685.SZ,艾德生物,医疗保健,84.1019637312,,纳入,0.42075736325386526,-3.149606299212593
2024-12-16 00:00:00,002219.SZ,新里程,医疗保健,105.6863106936,0.724,剔除,6.1224489795918435,-4.040404040404044
2024-12-16 00:00:00,301293.SZ,三博脑科,医疗保健,101.71637418060001,0.382,剔除,-0.5438066465256686,5.57068062827224
2024-12-16 00:00:00,301239.SZ,普瑞眼科,医疗保健,78.2956478184,0.56,剔除,-7.853495333685501,-10.134512622074809
2024-12-16 00:00:00,688289.SH,圣湘生物,医疗保健,132.20207736199998,,纳入,-2.575107296137358,-3.3993115318416534
2024-12-16 00:00:00,688351.SH,微电生理,医疗保健,96.37888,,纳入,-9.4606542882405,-5.40928674006701
2024-12-16 00:00:00,300049.SZ,福瑞股份,医疗保健,94.06859696,,纳入,-8.227355307552553,-3.475643130815531
2024-06-17 00:00:00,688161.SH,威高骨科,医疗保健,87.52,0.173,剔除,-0.9057971014492794,-4.716981132075471
2024-06-17 00:00:00,301047.SZ,义翘神州,医疗保健,78.0368,0.631,剔除,-4.8818897637795455,-1.8009168303863898
2024-06-17 00:00:00,300725.SZ,药石科技,医疗保健,58.960973507400006,0.688,剔除,2.5646862144552696,-3.8474519068511626
2024-06-17 00:00:00,300451.SZ,创业慧康,信息技术,58.866738295999994,0.697,剔除,2.425876010781658,-3.421052631578947
2024-06-17 00:00:00,688202.SH,美迪西,医疗保健,39.863232272000005,0.305,剔除,-0.5710446758481647,-2.7281913102054745
2024-06-17 00:00:00,301371.SZ,敷尔佳,日常消费,139.187832,,纳入,6.067073170731696,-3.6384637597459024
2024-06-17 00:00:00,688575.SH,亚辉龙,医疗保健,134.63375035,,纳入,-5.77689243027889,5.0571679859278795
2024-06-17 00:00:00,300406.SZ,九强生物,医疗保健,99.2120382558,,纳入,-2.5996533795493715,-9.300911854103333
2024-06-17 00:00:00,600587.SH,新华医疗,医疗保健,98.9505821766,,纳入,-7.8010175240248785,-1.040391676866581
2024-06-17 00:00:00,301293.SZ,三博脑科,医疗保健,83.82085884099999,,纳入,2.5392517929831326,1.489971346704877
2023-12-11 00:00:00,688289.SH,圣湘生物,医疗保健,109.74775325949999,0.638,剔除,-0.5457849355207989,-2.641316806412275
2023-12-11 00:00:00,688131.SH,皓元医药,医疗保健,79.3744375242,0.623,剔除,-0.8826291079812254,-0.23108030040438488
2023-12-11 00:00:00,301367.SZ,瑞迈特,医疗保健,77.1136,0.267,剔除,5.047951176983445,10.789980732177252
2023-12-11 00:00:00,688298.SH,东方生物,医疗保健,76.46688,0.552,剔除,-1.8882565959648212,1.28541448058761
2023-12-11 00:00:00,688271.SH,联影医疗,医疗保健,1214.0671321227999,,纳入,1.0772608755317492,-10.647654584221765
2023-12-11 00:00:00,688114.SH,华大智造,医疗保健,393.44257487839997,,纳入,-3.190836571896094,-7.655805124960469
2023-12-11 00:00:00,688366.SH,昊海生科,医疗保健,185.58590817919998,,纳入,-1.1859149790184431,-4.2305904230590325
2023-12-11 00:00:00,301239.SZ,普瑞眼科,医疗保健,144.05321941440002,,纳入,-3.71037103710371,-8.863920099875156
2023-06-12 00:00:00,603392.SH,万泰生物,医疗保健,878.4869882073,1.863,剔除,7.0137494206704565,1.6553799849510886
2023-06-12 00:00:00,688363.SH,华熙生物,医疗保健,445.55237385,0.937,剔除,1.5479196399165618,4.945487242890878
2023-06-12 00:00:00,688366.SH,昊海生科,医疗保健,144.5203316466,0.402,剔除,-0.8138711960367973,0.48583955444958526
2023-06-12 00:00:00,688575.SH,亚辉龙,医疗保健,107.944529,0.593,剔除,2.813852813852802,2.0365028751380576
2023-06-12 00:00:00,300463.SZ,迈克生物,医疗保健,95.66774995799999,0.774,剔除,-3.3415841584158446,1.2804097311139628
2023-06-12 00:00:00,301060.SZ,兰卫医学,医疗保健,66.085305,0.306,剔除,-5.929304446978334,-0.06009615384615641
2023-06-12 00:00:00,605369.SH,拱东医疗,医疗保健,62.73330584,0.205,剔除,4.307116104868913,-1.764705882352946
2023-06-12 00:00:00,301267.SZ,华厦眼科,医疗保健,398.60800000000006,,纳入,-1.0701876302988134,-5.703008030488633
2023-06-12 00:00:00,301363.SZ,美好医疗,医疗保健,172.22051,,纳入,2.393617021276606,-0.7848409903713938
2023-06-12 00:00:00,002219.SZ,新里程,医疗保健,164.6916512711,,纳入,1.4583333333333393,-3.8539553752535483
2023-06-12 00:00:00,300451.SZ,创业慧康,信息技术,136.01314795759998,,纳入,-1.7897091722595126,-0.7909604519773961
2023-06-12 00:00:00,688105.SH,诺唯赞,医疗保健,130.163254,,纳入,-1.5753882500306182,-11.132596685082884
