tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,301035.SZ,润丰股份,材料,158.1302125568,0.1685,剔除,-5.073318725771103,3.8730500268961743
2025-06-16 00:00:00,300009.SZ,安科生物,医疗保健,146.01110582340002,0.3224,剔除,-3.4292035398230003,-7.597765363128484
2025-06-16 00:00:00,300633.SZ,开立医疗,医疗保健,136.4342212965,0.2416,剔除,-4.800724637681153,-7.580445544554449
2025-06-16 00:00:00,300294.SZ,博雅生物,医疗保健,133.3233663272,0.2696,剔除,-4.445247560534893,-3.8692712246431227
2025-06-16 00:00:00,300775.SZ,三角防务,工业,132.9929898725,0.2805,剔除,-3.8966202783300097,0.7317073170731714
2025-06-16 00:00:00,300573.SZ,兴齐眼药,医疗保健,128.07214929,0.2992,剔除,-6.098219104155422,-2.04439252336448
2025-06-16 00:00:00,300034.SZ,钢研高纳,材料,125.4417500162,0.2432,剔除,-3.0788177339901246,-3.105196451204051
2025-06-16 00:00:00,300118.SZ,东方日升,工业,102.60124767,0.2713,剔除,-6.928645294725966,1.598173515981749
2025-06-16 00:00:00,301498.SZ,乖宝宠物,日常消费,450.09006695,,纳入,0.8244466350031399,-7.274590163934446
2025-06-16 00:00:00,301165.SZ,锐捷网络,信息技术,410.13636340200003,,纳入,-0.8461538461538409,-0.8770220229974646
2025-06-16 00:00:00,300458.SZ,全志科技,信息技术,316.17147684720004,,纳入,-2.815829528158298,-3.273195876288648
2025-06-16 00:00:00,300115.SZ,长盈精密,信息技术,288.84003599100004,,纳入,1.573676680972813,-5.524079320113307
2025-06-16 00:00:00,300857.SZ,协创数据,信息技术,279.0463996908,,纳入,-6.768383618217277,-4.782661339145178
2025-06-16 00:00:00,301536.SZ,星宸科技,信息技术,259.415066,,纳入,-4.272840273461787,-9.955541441727533
2025-06-16 00:00:00,300058.SZ,蓝色光标,通讯服务,237.01419020899996,,纳入,1.6691957511381084,-8.221225710014968
2025-06-16 00:00:00,300679.SZ,电连技术,信息技术,187.56710822,,纳入,-1.8625277161862575,-4.646372167544066
2024-12-16 00:00:00,300296.SZ,利亚德,信息技术,207.41047323,0.3252,剔除,36.439267886855234,-1.985111662531025
2024-12-16 00:00:00,300682.SZ,朗新集团,信息技术,144.2700612132,0.2211,剔除,-2.2794117647058854,-2.440828402366857
2024-12-16 00:00:00,300568.SZ,星源材质,材料,137.921680819,0.4213,剔除,-7.058823529411773,-3.61216730038022
2024-12-16 00:00:00,300769.SZ,德方纳米,材料,121.153304172,0.3066,剔除,-9.954185755935018,-4.285714285714293
2024-12-16 00:00:00,300357.SZ,我武生物,医疗保健,114.926688,0.1866,剔除,-3.3039647577092546,-2.123813827383636
2024-12-16 00:00:00,301207.SZ,华兰疫苗,医疗保健,113.17347824999997,0.0857,剔除,-2.5362318840579823,-2.894736842105261
2024-12-16 00:00:00,300861.SZ,美畅股份,材料,109.0587264,0.1211,剔除,-6.038047973531857,-5.393457117595057
2024-12-16 00:00:00,300339.SZ,润和软件,信息技术,462.55541645279993,,纳入,0.9735744089012455,-7.148726376335257
2024-12-16 00:00:00,300024.SZ,机器人,工业,328.7801895,,纳入,-6.417112299465256,-5.004591368227739
2024-12-16 00:00:00,300346.SZ,南大光电,信息技术,236.60604652879996,,纳入,-0.7729468599033784,0.8091385054735722
2024-12-16 00:00:00,300735.SZ,光弘科技,信息技术,236.377892212,,纳入,-2.7470792548152767,-5.450603902136885
2024-12-16 00:00:00,300627.SZ,华测导航,信息技术,223.00583738809996,,纳入,0.34525277435266677,-1.9295706705258264
2024-12-16 00:00:00,300677.SZ,英科医疗,医疗保健,179.317582365,,纳入,-1.2455516014235002,-3.157894736842115
2024-12-16 00:00:00,300761.SZ,立华股份,日常消费,169.5015938048,,纳入,-2.7078384798099764,-7.641509433962279
2024-08-12 00:00:00,300376.SZ,ST易事特,工业,58.43883594759999,0.1106,剔除,-5.63909774436091,-9.961685823754795
