tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-09-15 00:00:00,688561.SH,奇安信-U,信息技术,246.56613481500003,0.542,剔除,-6.105481943361912,-4.431393486385494
2025-09-15 00:00:00,688183.SH,生益电子,信息技术,761.7818320649999,,纳入,13.411764705882344,-6.079443683489616
2025-06-16 00:00:00,688295.SH,中复神鹰,材料,173.7,0.146,剔除,-7.5670498084291165,-3.4236075625958318
2025-06-16 00:00:00,688608.SH,恒玄科技,信息技术,445.2249692192,,纳入,-5.351537578154919,-2.439153439153441
2025-03-17 00:00:00,688220.SH,翱捷科技-U,信息技术,466.6564717684,1.489,剔除,12.81221559308323,-8.644230769230765
2025-03-17 00:00:00,688385.SH,复旦微电,信息技术,406.27794258,0.888,剔除,-5.158197507190798,-7.276302851524086
2025-03-17 00:00:00,688301.SH,奕瑞科技,医疗保健,159.51504207,0.519,剔除,-4.028232053709768,-7.657421943136233
2025-03-17 00:00:00,688213.SH,思特威-W,信息技术,396.5372632496,,纳入,-7.516401124648542,1.0791000712613297
2025-03-17 00:00:00,688578.SH,艾力斯,医疗保健,335.7,,纳入,-7.144635299975111,4.5923913043478315
2025-03-17 00:00:00,688278.SH,特宝生物,医疗保健,321.24996,,纳入,-1.3861138861138933,6.303348653972418
2024-09-18 00:00:00,688390.SH,固德威,工业,105.888965346,0.88,剔除,-0.04579803068468502,-5.726195699868364
2024-09-18 00:00:00,688063.SH,派能科技,工业,82.95596208690002,0.77,剔除,-5.054759898904804,-1.9580419580419672
2024-09-18 00:00:00,688617.SH,惠泰医疗,医疗保健,322.60575873899995,,纳入,-5.808468314862192,-1.1896366702437544
2024-09-18 00:00:00,689009.SH,九号公司-WD,可选消费,308.48787436799995,,纳入,-5.489679402722891,-1.6374269005848152
2024-06-17 00:00:00,688032.SH,禾迈股份,工业,164.56039425,1.027,剔除,-1.5305613720211664,-5.260290386508027
2024-06-17 00:00:00,688536.SH,思瑞浦,信息技术,143.63388414079998,0.794,剔除,14.346036102607407,8.555133079847899
2024-06-17 00:00:00,688005.SH,容百科技,材料,131.8540830124,0.881,剔除,7.969865186360026,-10.431918008784768
2024-06-17 00:00:00,688475.SH,萤石网络,可选消费,288.69749999999993,,纳入,-10.585365853658535,-3.9556962025316555
2024-06-17 00:00:00,688469.SH,芯联集成-U,信息技术,277.6376554,,纳入,-5.060240963855433,1.0204081632652962
2024-06-17 00:00:00,688525.SH,佰维存储,信息技术,244.027381696,,纳入,5.1073279052553655,14.50795947901591
2024-03-11 00:00:00,688052.SH,纳芯微,信息技术,149.7261188665,0.959,剔除,-7.850877192982453,-3.195488721804518
2024-03-11 00:00:00,688779.SH,五矿新能,材料,121.540742001,0.569,剔除,5.351170568561869,1.0033444816053505
2024-03-11 00:00:00,688348.SH,昱能科技,工业,103.6336,0.376,剔除,6.478711162255468,0.3774879890185323
2024-03-11 00:00:00,688472.SH,阿特斯,工业,524.8333252052,,纳入,6.352765321375187,2.5547445255474477
2024-03-11 00:00:00,688249.SH,晶合集成,信息技术,294.7012545633,,纳入,-2.131912058627583,-0.8275862068965467
