tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-09-15 00:00:00,300450.SZ,先导智能,工业,870.6300306006001,1.079,剔除,-3.136434918975417,1.4598540145985606
2025-09-15 00:00:00,300223.SZ,北京君正,信息技术,403.40404442799996,0.704,剔除,13.217768147345588,-3.8257798705120694
2025-09-15 00:00:00,300476.SZ,胜宏科技,信息技术,2843.0766852796,,纳入,20.54133138258962,-6.349019376877319
2025-09-15 00:00:00,688249.SH,晶合集成,信息技术,471.2411483793,,纳入,3.20738137082599,0.2552105487026779
2025-06-16 00:00:00,300751.SZ,迈为股份,工业,183.5970294426,0.409,剔除,-6.7281760113555915,-0.8952959028831642
2025-06-16 00:00:00,302132.SZ,中航成飞,工业,2350.2149261279997,,纳入,5.225311601150517,-5.239202100314689
2024-12-16 00:00:00,300142.SZ,沃森生物,医疗保健,209.1947891628,0.965,剔除,-9.355509355509351,-3.3973412112259904
2024-12-16 00:00:00,301308.SZ,江波龙,信息技术,366.31336525840004,,纳入,-0.8779828905898235,4.166211044286494
2024-09-18 00:00:00,300454.SZ,深信服,信息技术,181.794332086,0.673,剔除,-3.1536569000223835,1.3664874551971407
2024-09-18 00:00:00,300496.SZ,中科创达,信息技术,149.5614054758,0.725,剔除,-3.1231409875074334,9.810636676111727
2024-09-18 00:00:00,688114.SH,华大智造,医疗保健,148.7567056296,0.477,剔除,-7.591014717273437,5.170517051705192
2024-09-18 00:00:00,300502.SZ,新易盛,信息技术,705.7629653364,,纳入,9.30947414644856,4.953652945280584
2024-09-18 00:00:00,688169.SH,石头科技,可选消费,452.2346832098,,纳入,6.651296328519218,0.7804919208538985
2024-09-18 00:00:00,688188.SH,柏楚电子,信息技术,351.52958338799993,,纳入,2.7627627627627493,-3.8536556534074173
2024-06-17 00:00:00,300763.SZ,锦浪科技,工业,204.43047933900002,0.716,剔除,-2.4474187380497003,-8.728130528798895
2024-06-17 00:00:00,688561.SH,奇安信-U,信息技术,172.8689907171,0.37,剔除,3.827160493827164,-2.9434250764525993
2024-06-17 00:00:00,688506.SH,百利天恒,医疗保健,809.5789,,纳入,-2.4450350326165715,-1.6451711181070472
2024-06-17 00:00:00,300394.SZ,天孚通信,信息技术,536.6296365528,,纳入,11.587191891269288,2.346938775510199
2024-03-11 00:00:00,688180.SH,君实生物-U,医疗保健,296.0026682613,0.729,剔除,-5.2681388012618235,0.23545240497813147
2024-03-11 00:00:00,688032.SH,禾迈股份,工业,205.20267075,0.489,剔除,8.273618499142742,4.982613671376379
2024-03-11 00:00:00,688063.SH,派能科技,工业,174.923827668,0.451,剔除,17.148906139731835,14.638554216867483
2024-03-11 00:00:00,688082.SH,盛美上海,信息技术,413.8348970682,,纳入,-1.6871959424490157,0.19421665947345623
2024-03-11 00:00:00,688047.SH,龙芯中科,信息技术,405.812,,纳入,0.13853156540668543,2.8810315301702527
2024-03-11 00:00:00,688072.SH,拓荆科技,信息技术,387.87481238050003,,纳入,-1.434651618765248,0.19127961155525064
2023-12-11 00:00:00,300207.SZ,欣旺达,工业,277.6565928696,1.298,剔除,-0.7984031936127622,-4.451827242524919
2023-12-11 00:00:00,300769.SZ,德方纳米,材料,174.6381325438,0.827,剔除,1.2793522267206425,-12.037180480247878
2023-12-11 00:00:00,300832.SZ,新产业,医疗保健,599.8962923475001,,纳入,7.383966244725726,-5.610561056105611
2023-12-11 00:00:00,688472.SH,阿特斯,工业,433.36553557,,纳入,2.6200873362445476,-2.7350427350427253
2023-09-11 00:00:00,688065.SH,凯赛生物,医疗保健,332.1171176027,0.573,剔除,-4.5599329421626145,-1.7479461632581628
2023-09-11 00:00:00,688005.SH,容百科技,材料,205.6103581455,0.879,剔除,-8.884877657440848,-4.8828125
2023-09-11 00:00:00,688348.SH,昱能科技,工业,142.8,0.25,剔除,-3.5333282893243334,2.0186461289015023
2023-09-11 00:00:00,300308.SZ,中际旭创,信息技术,876.686251896,,纳入,-2.8037383177569986,-6.242280285035628
2023-09-11 00:00:00,688256.SH,寒武纪-U,信息技术,587.7731109159,,纳入,-5.232401934443843,-4.6341116173120644
2023-09-11 00:00:00,300442.SZ,润泽科技,信息技术,441.25914379299996,,纳入,-2.7252081756245383,-7.085714285714284
2023-06-12 00:00:00,688536.SH,思瑞浦,信息技术,296.88282818999994,0.713,剔除,8.824954839846665,2.0002643521170205
2023-06-12 00:00:00,300601.SZ,康泰生物,医疗保健,283.2489927552,0.981,剔除,-7.106227106227115,0.7418976962124235
2023-06-12 00:00:00,688063.SH,派能科技,工业,340.66239812009997,,纳入,0.6590555267254716,8.928850664581711
2023-06-12 00:00:00,688032.SH,禾迈股份,工业,301.28,,纳入,7.544077079918443,6.903169436475509
2023-03-13 00:00:00,688538.SH,和辉光电-U,信息技术,369.464242721,0.535,剔除,0.0,-1.8587360594795488
2023-03-13 00:00:00,688169.SH,石头科技,可选消费,319.48841056,0.983,剔除,-6.7847575310261865,-0.15406494429960338
2023-03-13 00:00:00,688772.SH,珠海冠宇,信息技术,218.761870665,0.111,剔除,-2.1575514300050114,-7.064676616915433
2023-03-13 00:00:00,688271.SH,联影医疗,医疗保健,1343.0478572448,,纳入,-2.5067304816033475,-2.928792569659433
2023-03-13 00:00:00,688041.SH,海光信息,信息技术,1244.6830477304998,,纳入,-3.321899259794192,9.837631327602669
2023-03-13 00:00:00,688114.SH,华大智造,医疗保健,392.37498931,,纳入,-8.626013122346588,-9.508263619669444
