tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-09-15 00:00:00,688362.SH,甬矽电子,信息技术,140.747469548,0.55,剔除,4.437689969604874,-0.46484601975596007
2025-09-15 00:00:00,688107.SH,安路科技,信息技术,117.04801516399999,0.312,剔除,-0.6802721088435382,-0.10097610232245868
2025-09-15 00:00:00,688449.SH,联芸科技,信息技术,232.944,,纳入,9.137931034482772,4.221688675470192
2025-09-15 00:00:00,688605.SH,先锋精科,信息技术,125.23265489280001,,纳入,-1.7621844737259806,3.886301589850638
2025-06-16 00:00:00,688596.SH,正帆科技,工业,95.0751971,0.789,剔除,-8.502252252252262,-0.09149130832570851
2025-06-16 00:00:00,688106.SH,金宏气体,材料,83.28569316480001,0.519,剔除,-6.6954643628509665,-0.6880733944954254
2025-06-16 00:00:00,688141.SH,杰华特,信息技术,135.672768,,纳入,-4.82758620689655,-0.9225700164744666
2025-06-16 00:00:00,688549.SH,中巨芯-U,信息技术,111.3866104,,纳入,0.26595744680852906,-3.8157894736842057
2025-03-17 00:00:00,688141.SH,杰华特,信息技术,145.90632,0.786,剔除,-3.9423359811709413,-7.968369829683697
2025-03-17 00:00:00,688332.SH,中科蓝讯,信息技术,148.1198238,,纳入,3.037911122269654,-3.522599324433018
2024-12-16 00:00:00,688001.SH,华兴源创,信息技术,146.8141123694,0.282,剔除,-9.49245541838135,-6.094808126410822
2024-12-16 00:00:00,688123.SH,聚辰股份,信息技术,96.2005499784,0.549,剔除,5.471177079737677,1.3700787401574877
2024-12-16 00:00:00,688048.SH,长光华芯,信息技术,67.99117401509999,0.365,剔除,-7.616766467065872,1.360201511335002
2024-12-16 00:00:00,688018.SH,乐鑫科技,信息技术,220.96752881140003,,纳入,32.646325857075496,23.015504595673562
2024-12-16 00:00:00,688709.SH,成都华微,信息技术,206.72054463959998,,纳入,2.8843106180665545,-3.2438478747203403
2024-12-16 00:00:00,688584.SH,上海合晶,信息技术,141.47644584780005,,纳入,-5.970809376382135,-1.4791573285522164
2024-09-18 00:00:00,688206.SH,概伦电子,信息技术,55.8306320715,0.274,剔除,-2.1292775665399333,4.1085271317829575
2024-09-18 00:00:00,688262.SH,国芯科技,信息技术,46.4687879679,0.573,剔除,-5.6616643929058625,4.805013927576618
2024-09-18 00:00:00,688279.SH,峰岹科技,信息技术,96.833767592,,纳入,-0.5313092979127187,4.826923076923073
2024-09-18 00:00:00,688123.SH,聚辰股份,信息技术,69.26565536,,纳入,-1.6320143080706395,1.730813026645417
2024-06-17 00:00:00,688380.SH,中微半导,信息技术,70.784532,0.369,剔除,11.827956989247323,4.126074498567345
2024-06-17 00:00:00,688515.SH,裕太微-U,信息技术,54.64,0.273,剔除,19.71954425942155,2.076701530998948
2024-06-17 00:00:00,688261.SH,东微半导,信息技术,51.8420719344,0.428,剔除,13.319587628865982,10.834114339268975
2024-06-17 00:00:00,688347.SH,华虹公司,信息技术,655.5163059604,,纳入,3.72181472425972,4.111441709494179
2024-06-17 00:00:00,688702.SH,盛科通信-U,信息技术,208.485,,纳入,25.86633663366338,0.820379965457696
2024-06-17 00:00:00,688596.SH,正帆科技,工业,108.42809148120001,,纳入,10.210035005834307,0.45910746008779313
2024-03-11 00:00:00,688123.SH,聚辰股份,信息技术,86.80536270559999,0.72,剔除,6.19195046439629,6.888045540796961
2024-03-11 00:00:00,688372.SH,伟测科技,信息技术,67.43480166799999,0.305,剔除,2.1817557120769715,1.4295676429567639
2024-03-11 00:00:00,688531.SH,日联科技,工业,58.728283393199995,0.284,剔除,-1.7795484727755606,1.1708948982436684
2024-03-11 00:00:00,688249.SH,晶合集成,信息技术,294.7012545633,,纳入,-2.131912058627583,-0.8275862068965467
2024-03-11 00:00:00,688361.SH,中科飞测,信息技术,200.896,,纳入,-2.9375386518243785,-0.7887958789439709
2024-03-11 00:00:00,688582.SH,芯动联科,信息技术,139.403485,,纳入,2.5000000000000133,8.360902255639102
2023-12-11 00:00:00,688270.SH,臻镭科技,信息技术,102.7906362,1.099,剔除,1.9872572815534228,1.108715737603938
2023-12-11 00:00:00,688268.SH,华特气体,材料,83.71186215120002,0.646,剔除,-6.713211600429636,-3.9325842696629087
2023-12-11 00:00:00,688173.SH,希荻微,信息技术,76.2247506321,0.398,剔除,3.270509977827052,1.0882016036655173
2023-12-11 00:00:00,688381.SH,帝奥微,信息技术,66.55558,0.353,剔除,2.5252525252525304,-0.581170089112748
2023-12-11 00:00:00,688711.SH,宏微科技,信息技术,64.649526525,0.872,剔除,4.602510460251019,-0.8474576271186196
2023-12-11 00:00:00,688146.SH,中船特气,信息技术,188.576470693,,纳入,2.0630372492836724,-1.3258110014104596
2023-12-11 00:00:00,688484.SH,南芯科技,信息技术,184.320256,,纳入,2.8598440085086274,-2.348520432127754
2023-12-11 00:00:00,688352.SH,颀中科技,信息技术,170.8646582856,,纳入,5.043859649122795,-4.140350877192978
2023-12-11 00:00:00,688515.SH,裕太微-U,信息技术,86.408,,纳入,1.1234903098960691,3.202915228231684
2023-12-11 00:00:00,688531.SH,日联科技,工业,82.4863991196,,纳入,0.17357762777241437,-1.394891944990173
