tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2024-12-16 00:00:00,601088.SH,中国神华,能源,8632.8719204475,3.325,剔除,2.2352941176470686,-2.9577464788732355
2024-12-16 00:00:00,600028.SH,中国石化,能源,7841.244211521,2.255,剔除,-0.3091190108191477,0.3144654088050203
2024-12-16 00:00:00,600188.SH,兖矿能源,能源,1464.8156326518,2.517,剔除,-2.7981345769486965,-4.58590006844627
2024-12-16 00:00:00,601298.SH,青岛港,工业,543.3050699999999,1.786,剔除,-4.342857142857137,0.8547008547008517
2024-12-16 00:00:00,601866.SH,中远海发,工业,365.1927486628,1.783,剔除,-1.8248175182481896,-3.333333333333355
2024-12-16 00:00:00,000932.SZ,华菱钢铁,材料,308.12500945540006,1.208,剔除,-3.463203463203468,-5.054945054945048
2024-12-16 00:00:00,600873.SH,梅花生物,日常消费,305.24839625,1.373,剔除,1.0387157695939564,-0.9267840593141674
2024-12-16 00:00:00,600901.SH,江苏金租,金融,294.29485276040003,2.59,剔除,-2.3076923076923106,0.1980198019801982
2024-12-16 00:00:00,600863.SH,内蒙华电,公用事业,293.05726271390006,1.144,剔除,1.8140589569161092,-1.5801354401805745
2024-12-16 00:00:00,601928.SH,凤凰传媒,通讯服务,284.26533,1.757,剔除,-1.0628875110717417,0.9918845807033394
2024-12-16 00:00:00,600295.SH,鄂尔多斯,材料,273.4404400158,2.305,剔除,-4.682926829268286,-3.967446592065127
2024-12-16 00:00:00,002416.SZ,爱施德,信息技术,175.2344473684,2.536,剔除,-4.652730950775452,-2.917771883289111
2024-12-16 00:00:00,600755.SH,厦门国贸,工业,144.136325942,2.217,剔除,-2.6354319180087793,-1.6320474777448024
2024-12-16 00:00:00,600057.SH,厦门象屿,工业,138.2266032283,1.646,剔除,-2.8257456828885363,-2.063492063492056
2024-12-16 00:00:00,600123.SH,兰花科创,能源,133.6608,1.68,剔除,0.7838745800671898,-1.7006802721088454
2024-12-16 00:00:00,601101.SH,昊华能源,能源,123.83982163599997,2.268,剔除,-4.444444444444451,-5.529953917050701
2024-12-16 00:00:00,600461.SH,洪城环境,公用事业,122.53869931230001,2.513,剔除,-0.10373443983401343,3.290870488322728
2024-12-16 00:00:00,600997.SH,开滦股份,能源,113.0513493912,2.013,剔除,-2.465753424657524,-5.710306406685229
2024-12-16 00:00:00,600395.SH,盘江股份,能源,112.2684819562,1.14,剔除,-3.1481481481481333,-5.313092979127109
2024-12-16 00:00:00,600273.SH,嘉化能源,材料,111.97913916350001,1.831,剔除,-1.2269938650306678,-1.7262638717632561
2024-12-16 00:00:00,605368.SH,蓝天燃气,公用事业,82.5390783138,1.692,剔除,-0.17167381974247942,-2.0779220779220675
2024-12-16 00:00:00,600987.SH,航民股份,可选消费,74.8260233909,1.037,剔除,0.1366120218579292,-6.199460916442057
2024-12-16 00:00:00,000906.SZ,浙商中拓,工业,49.6701736979,1.454,剔除,-9.196891191709843,-5.196629213483151
2024-12-16 00:00:00,600941.SH,中国移动,通讯服务,24097.783542713998,,纳入,4.529779103364717,2.3991175659527464
2024-12-16 00:00:00,601318.SH,中国平安,金融,9673.2766232384,,纳入,-3.1187306219223054,-2.0841086713807244
2024-12-16 00:00:00,600036.SH,招商银行,金融,9517.9697298174,,纳入,0.10610079575597009,1.6353887399463751
2024-12-16 00:00:00,601225.SH,陕西煤业,能源,2416.9635,,纳入,1.4239218877135862,-3.9414872003250556
2024-12-16 00:00:00,601006.SH,大秦铁路,工业,1270.7690246136,,纳入,0.2881844380403509,-0.7267441860465129
2024-12-16 00:00:00,601229.SH,上海银行,金融,1224.6156055857998,,纳入,-0.3468208092485714,2.9726516052318797
2024-12-16 00:00:00,002027.SZ,分众传媒,通讯服务,996.5117810940001,,纳入,0.29069767441860517,-0.4316546762589968
2024-12-16 00:00:00,001965.SZ,招商公路,工业,890.0540299170001,,纳入,4.150039904229863,5.74898785425102
2024-12-16 00:00:00,601825.SH,沪农商行,金融,793.7377778235001,,纳入,1.9826517967781898,4.161412358133676
2024-12-16 00:00:00,600377.SH,宁沪高速,工业,741.556432,,纳入,4.175513092710559,1.615168539325862
2024-12-16 00:00:00,601216.SH,君正集团,材料,524.0008799189999,,纳入,7.439446366781999,-1.67504187604689
