跟踪指数代码,跟踪指数名称,基金规模(亿元)
000300.SH,沪深300,11346.48106821
000510.SH,中证A500,2828.42391097
000688.SH,科创50,2120.17605203
000016.SH,上证50,1795.9489447999997
000905.SH,中证500,1732.93721884
399006.SZ,创业板指,1538.39505379
000852.SH,中证1000,1502.5548015
399975.SZ,证券公司,968.4077380299999
931637.CSI,港股通互联网,622.14749524
980017.CNI,国证芯片(CNI),491.03429462
399673.SZ,创业板50,458.3811001
000685.SH,科创芯片,409.59589564
399989.SZ,中证医疗,402.05988169
399997.SZ,中证白酒,397.00184124
931643.CSI,科创创业50,391.63664216
h30269.CSI,红利低波,384.44928564
930713.CSI,CS人工智,373.18257113
399986.SZ,中证银行,347.65011266
399967.SZ,中证军工,340.45595893
930050.CSI,中证A50,318.11502151999997
h30590.CSI,机器人,304.29696433
987008.CNI,港股通科技,289.50894988
h30184.CSI,中证全指半导体,278.18148948
000922.CSI,中证红利,275.6381614
931151.CSI,光伏产业,254.99295143
000698.SH,科创100,252.15712921
000010.SH,上证180,237.56738264
931573.CSI,港股通科技,223.73599751999998
000913.SH,300医药,217.37822880000002
000680.SH,科创综指,203.15785662000002
000015.SH,红利指数,195.18548247
950180.CSI,科创AI,186.63244383
SPCLLHCP.SPI,标普中国A股大盘红利低波50,182.19835008
987018.CNI,港股通创新药,181.70539712
000932.SH,800消费,176.93524863000002
746059.MI,MSCI中国A50互联互通,176.10855133
930955.CSI,红利低波100,172.1294432
399976.SZ,CS新能车,161.34806157
990001.CSI,中华半导体芯片,157.38436500999998
399987.SZ,中证酒,151.24108054
SPAHLVCP.SPI,标普港股通低波红利指数,151.1628973
931152.CSI,CS创新药,150.15685829
000860.CSI,结构调整,141.47266228
399441.SZ,生物医药,141.15951511
930901.CSI,动漫游戏,130.85332819
931079.CSI,5G通信,128.45530541
980092.CNI,自由现金流,124.63204344
930986.CSI,金融科技,124.21952987
931066.CSI,军工龙头,119.14484779
399330.SZ,深证100,118.31264698
931071.CSI,人工智能,107.37138293000001
930997.CSI,新能源车,106.83767179
899050.BJ,北证50,102.44556026000001
399973.SZ,中证国防,99.38395717
h30035.CSI,300非银,98.30725766
930709.CSI,香港证券,97.02681067
930653.CSI,CS食品饮,95.62378269999999
930740.CSI,300红利低波,92.90315620000001
932368.CSI,800现金流,89.11360777
HSI.HI,恒生指数,85.89884068
932365.CSI,中证现金流,83.97915973
931775.CSI,中证全指房地产,81.48398012999999
950096.CSI,上海国企,81.36653229
930851.CSI,云计算,81.2623076
h30007.CSI,芯片产业,81.17075926
980022.CNI,机器人产业,78.94293612999999
000699.SH,科创200,78.26675244
000861.CSI,央企创新,76.29886730000001
930914.CSI,港股通高股息(HKD),75.31636558
000001.SH,上证指数,74.63275054
000991.SH,全指医药,74.11196982000001
930793.CSI,HK银行(CNY),73.80907742000001
000903.SH,中证A100,71.88499192
399998.SZ,中证煤炭,71.844477
399808.SZ,中证新能,69.04073411
931722.CSI,国新港股通央企红利,68.85940386
930839.CSI,港股通高息精选,67.42066767
930651.CSI,CS计算机,66.34641656
931446.CSI,东证红利低波,65.73630144
931238.CSI,SSH黄金股票,65.70779808
930707.CSI,中证畜牧,62.18076685
HSHYLV.HI,恒生港股通高股息低波动,60.806599750000004
931233.CSI,港股通央企红利,59.90052601
000819.SH,有色金属,59.459931499999996
930598.CSI,稀土产业,58.91910187
000018.SH,180金融,58.55583834000001
980032.CNI,新能电池,56.99604105000001
930601.CSI,中证软件,56.12491343
000906.SH,中证800,55.87167892
399296.SZ,创成长,53.45890965
931250.CSI,港股通创新药,51.709445620000004
399004.SZ,深证100R,50.82166359
000681.SH,科创价格,50.4356409
