tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,603083.SH,剑桥科技,信息技术,123.75491798970002,0.691,剔除,3.9162727886563165,0.44523597506678225
2025-06-16 00:00:00,301205.SZ,联特科技,信息技术,99.3060576,0.234,剔除,0.11772400261609306,11.997871774408075
2025-06-16 00:00:00,300570.SZ,太辰光,信息技术,215.1572811091,,纳入,4.466238796644628,6.431159420289867
2025-06-16 00:00:00,003031.SZ,中瓷电子,信息技术,213.0322653057,,纳入,-1.952335968342711,-1.2564991334488629
2025-06-16 00:00:00,603881.SH,数据港,信息技术,177.29544335320003,,纳入,-3.908130876792315,-4.633046330463298
2025-05-12 00:00:00,001270.SZ,*ST铖昌,工业,80.22901476310001,0.252,剔除,14.83239394838327,-0.9439050701186891
2024-12-16 00:00:00,002123.SZ,梦网科技,信息技术,89.80503708,0.574,剔除,3.7927844588344195,-2.4752475247524552
2024-12-16 00:00:00,600487.SH,亨通光电,信息技术,446.2322994513,,纳入,0.7238307349665796,1.5529672767609526
2024-06-17 00:00:00,002273.SZ,水晶光电,信息技术,232.51370735120003,1.61,剔除,10.435931307793922,2.595797280593337
2024-06-17 00:00:00,002138.SZ,顺络电子,信息技术,223.51144772879996,1.551,剔除,7.650485436893195,1.7903767251025604
2024-06-17 00:00:00,603881.SH,数据港,信息技术,79.9424659936,0.374,剔除,4.515352197471412,-3.732781912757277
2024-06-17 00:00:00,688270.SH,臻镭科技,信息技术,69.7808216,0.384,剔除,3.426395939086291,-5.45567265964041
2024-06-17 00:00:00,300079.SZ,数码视讯,信息技术,59.242016173,0.479,剔除,2.722772277227725,-4.066985645933019
2024-06-17 00:00:00,002446.SZ,盛路通信,工业,53.5623378434,0.439,剔除,2.807017543859658,-1.6949152542373058
2024-06-17 00:00:00,688375.SH,国博电子,工业,293.567339,,纳入,-0.013623978201637854,-0.18010529232476147
2024-06-17 00:00:00,688100.SH,威胜信息,信息技术,198.35,,纳入,8.953584180170292,0.6580679126085842
2024-06-17 00:00:00,688153.SH,唯捷创芯,信息技术,180.54558008240002,,纳入,9.793945560925966,1.868478524629924
2024-06-17 00:00:00,688498.SH,源杰科技,信息技术,122.24437276799999,,纳入,15.011658760151159,8.337515234066938
2024-06-17 00:00:00,300620.SZ,光库科技,信息技术,100.7440919705,,纳入,7.546666666666679,-4.036651807825653
2024-06-17 00:00:00,603220.SH,中贝通信,信息技术,95.2408748832,,纳入,7.450832072617253,-3.3356497567755383
2023-12-11 00:00:00,600745.SH,闻泰科技,信息技术,555.162722229,3.204,剔除,-1.2381162944947954,-2.1324354657687894
2023-12-11 00:00:00,300661.SZ,圣邦股份,信息技术,382.7246775284,2.239,剔除,-8.931153375597823,4.278728606356963
2023-12-11 00:00:00,300735.SZ,光弘科技,信息技术,183.03937432650002,0.714,剔除,-2.0935960591133007,-2.3931623931623958
2023-12-11 00:00:00,300115.SZ,长盈精密,信息技术,149.861893755,0.776,剔除,2.722772277227725,0.40816326530612734
2023-12-11 00:00:00,002881.SZ,美格智能,信息技术,74.8589136792,0.17,剔除,-1.6826923076923128,-7.252440725244069
2023-12-11 00:00:00,002465.SZ,海格通信,信息技术,306.0101257884,,纳入,-2.452531645569622,-0.42016806722690037
2023-12-11 00:00:00,688387.SH,信科移动-U,信息技术,254.013125,,纳入,0.26990553306343035,-2.043596730245223
2023-12-11 00:00:00,301205.SZ,联特科技,信息技术,164.515392,,纳入,0.41973548744753675,-5.144644253322916
2023-12-11 00:00:00,603083.SH,剑桥科技,信息技术,115.44598759460001,,纳入,5.281173594132049,-5.264378478664177
2023-12-11 00:00:00,300079.SZ,数码视讯,信息技术,89.313053875,,纳入,2.2913256955810146,-3.2362459546925293
2023-06-12 00:00:00,002555.SZ,三七互娱,通讯服务,758.7313705301,3.109,剔除,4.842169782408834,1.3738672902660065
2023-06-12 00:00:00,300433.SZ,蓝思科技,信息技术,586.870639764,1.656,剔除,-0.42194092827002594,2.948829141370335
2023-06-12 00:00:00,300079.SZ,数码视讯,信息技术,100.88802565719999,0.646,剔除,-2.6206896551724146,0.42253521126760507
2023-06-12 00:00:00,300319.SZ,麦捷科技,信息技术,77.49237361559999,0.379,剔除,-1.3245033112582738,0.0
2023-06-12 00:00:00,001270.SZ,*ST铖昌,工业,118.07670693320001,,纳入,-3.7145774827674116,7.506493506493506
2023-06-12 00:00:00,688270.SH,臻镭科技,信息技术,95.5128818,,纳入,-0.9670259987317631,-2.3628167262552457
2023-06-12 00:00:00,002881.SZ,美格智能,信息技术,94.6991483984,,纳入,-2.5006722237160495,-2.5563496426607935
2023-06-12 00:00:00,002446.SZ,盛路通信,工业,81.5637067661,,纳入,-4.287245444801724,2.4636058230683267
