tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,601607.SH,上海医药,医疗保健,661.5717467256,2.105,剔除,-4.3944265809217615,-4.795640326975493
2025-06-16 00:00:00,002399.SZ,海普瑞,医疗保健,181.3578108144,0.452,剔除,0.4061738424045336,-7.017543859649111
2025-06-16 00:00:00,603127.SH,昭衍新药,医疗保健,151.5443169348,0.741,剔除,5.477308294209671,-5.4545454545454675
2025-06-16 00:00:00,002317.SZ,众生药业,医疗保健,135.397479843,0.94,剔除,3.8536903984323967,1.3392857142857206
2025-06-16 00:00:00,002020.SZ,京新药业,医疗保健,117.96099218,0.81,剔除,-1.2256669069935167,-7.725017717930549
2025-06-16 00:00:00,600267.SH,海正药业,医疗保健,114.9695419964,0.8,剔除,1.8046709129511784,-6.5506653019447025
2025-06-16 00:00:00,688062.SH,迈威生物-U,医疗保健,109.89,0.583,剔除,-1.4690075241848843,-14.73058082575227
2025-06-16 00:00:00,688177.SH,百奥泰,医疗保健,107.785024,0.335,剔除,-4.965315808689297,-6.519252764010675
2025-06-16 00:00:00,688443.SH,智翔金泰-U,医疗保健,106.997224,0.447,剔除,-5.105691056910566,-7.202680067001676
2025-06-16 00:00:00,603087.SH,甘李药业,医疗保健,336.957201574,,纳入,-0.15519217921489137,-4.0838259000537285
2025-06-16 00:00:00,600521.SH,华海药业,医疗保健,308.43372268600007,,纳入,4.515474378488071,-9.756097560975618
2025-06-16 00:00:00,600566.SH,济川药业,医疗保健,255.40422273600004,,纳入,1.390413465056728,-0.4725554343875005
2025-06-16 00:00:00,688166.SH,博瑞医药,医疗保健,240.13236259199996,,纳入,8.708133971291865,3.5720601237842597
2025-06-16 00:00:00,002262.SZ,恩华药业,医疗保健,212.7874202448,,纳入,-8.558951965065486,-0.23640661938533203
2025-06-16 00:00:00,002755.SZ,奥赛康,医疗保健,166.5119669694,,纳入,6.459614236512601,-15.083222567435639
2025-06-16 00:00:00,600285.SH,羚锐制药,医疗保健,134.2362355362,,纳入,-2.068680182043847,0.2827980195844182
2025-06-16 00:00:00,300181.SZ,佐力药业,医疗保健,121.1295927545,,纳入,0.1159420289855051,-2.5536854323853775
2025-06-16 00:00:00,600211.SH,西藏药业,医疗保健,117.93659381640002,,纳入,-3.149814716781363,-2.1178387184360714
2024-12-16 00:00:00,300363.SZ,博腾股份,医疗保健,95.456291,0.627,剔除,-8.520648196549896,-3.9977477477477485
2024-12-16 00:00:00,002038.SZ,双鹭药业,医疗保健,76.332105,0.594,剔除,-1.458885941644561,-3.9735099337748325
2024-12-16 00:00:00,688202.SH,美迪西,医疗保健,46.69115752940001,0.331,剔除,-8.158940397350989,-6.3143254520167
2024-12-16 00:00:00,688506.SH,百利天恒,医疗保健,815.634,,纳入,-8.225420746288858,-1.5865865865865914
2024-12-16 00:00:00,002399.SZ,海普瑞,医疗保健,165.65774143160002,,纳入,-3.339041095890416,0.9830205540661385
2024-12-16 00:00:00,688443.SH,智翔金泰-U,医疗保健,103.513764,,纳入,-4.044867437117617,-1.112307140294233
2024-06-17 00:00:00,688185.SH,康希诺,医疗保健,114.8662431158,0.3,剔除,-2.4584996848077356,-6.362672322375396
2024-06-17 00:00:00,002099.SZ,海翔药业,医疗保健,92.266769421,0.915,剔除,3.4482758620689724,-8.998302207130704
2024-06-17 00:00:00,300725.SZ,药石科技,医疗保健,58.960973507400006,0.663,剔除,2.5646862144552696,-3.8474519068511626
2024-06-17 00:00:00,688315.SH,诺禾致源,医疗保健,49.40294,0.22,剔除,-0.08417508417508657,-4.470198675496706
