tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,300682.SZ,朗新集团,信息技术,221.1266296792,0.718,剔除,25.969230769230766,13.716295427901537
2025-06-16 00:00:00,002368.SZ,太极股份,信息技术,142.03441007939998,0.803,剔除,-7.5831305758313095,-5.859204197638834
2025-06-16 00:00:00,002268.SZ,电科网安,信息技术,135.8157266818,0.733,剔除,-0.3722084367245748,8.14393939393938
2025-06-16 00:00:00,688327.SH,云从科技-UW,信息技术,134.180468784,0.823,剔除,-5.069801616458491,-0.07886435331230235
2025-06-16 00:00:00,603296.SH,华勤技术,信息技术,703.9106105980001,,纳入,-3.9240155296727752,-0.6115317414094323
2025-06-16 00:00:00,600602.SH,云赛智联,信息技术,269.97874001699995,,纳入,-5.685618729096986,-4.883011190233988
2025-06-16 00:00:00,688088.SH,虹软科技,信息技术,182.05112752,,纳入,-1.2619669277632695,-1.4592084899403002
2025-06-16 00:00:00,002139.SZ,拓邦股份,信息技术,160.9663969508,,纳入,-4.723247232472327,-0.6949806949806958
2024-12-16 00:00:00,300229.SZ,拓尔思,信息技术,186.1686206092,1.004,剔除,-5.246776345042237,-1.4794267221451718
2024-12-16 00:00:00,688343.SH,云天励飞-U,信息技术,173.87346931200005,0.313,剔除,16.4605137963844,31.661511268228026
2024-12-16 00:00:00,300857.SZ,协创数据,信息技术,252.7109024384,,纳入,-2.562647754137115,7.115160915083374
2024-12-16 00:00:00,600850.SH,电科数字,信息技术,159.95958881759998,,纳入,-1.8014243820695386,0.20755500207554345
2024-06-17 00:00:00,002335.SZ,科华数据,工业,110.03803767999999,0.767,剔除,1.619778346121059,-5.147679324894505
2024-06-17 00:00:00,688083.SH,中望软件,信息技术,93.48883788929999,0.534,剔除,7.1075837454932955,1.1339662447257481
2024-06-17 00:00:00,688232.SH,新点软件,信息技术,67.551,0.207,剔除,4.385517593064758,-1.2763917531069313
2024-06-17 00:00:00,600225.SH,退市卓朗(退市),信息技术,65.4987717696,0.37,剔除,1.0526315789473717,-5.12820512820511
2024-06-17 00:00:00,688475.SH,萤石网络,可选消费,288.69749999999993,,纳入,-10.585365853658535,-3.9556962025316555
2024-06-17 00:00:00,688318.SH,财富趋势,信息技术,163.422517384,,纳入,6.866671383202139,-5.059817802656131
2024-06-17 00:00:00,688343.SH,云天励飞-U,信息技术,117.58477469200002,,纳入,7.430240103828689,-4.6433990895295985
2024-06-17 00:00:00,300229.SZ,拓尔思,信息技术,111.4999315302,,纳入,4.856810706719861,-2.851033499643596
2023-12-11 00:00:00,688066.SH,航天宏图,信息技术,135.42851916849997,0.748,剔除,4.053782861729882,-3.979907264296756
2023-12-11 00:00:00,002402.SZ,和而泰,信息技术,128.5091044615,1.089,剔除,0.6569343065693456,5.69948186528495
2023-12-11 00:00:00,002139.SZ,拓邦股份,信息技术,121.18276190720002,0.861,剔除,-2.3493360572012123,0.10649627263046302
2023-12-11 00:00:00,002261.SZ,拓维信息,信息技术,212.7792230278,,纳入,0.8318478906714333,-4.193738924985246
2023-12-11 00:00:00,688327.SH,云从科技-UW,信息技术,202.7215328585,,纳入,8.974358974358987,-7.538461538461528
2023-12-11 00:00:00,300017.SZ,网宿科技,信息技术,187.17596889599997,,纳入,3.364737550471064,-2.371541501976282
2023-06-12 00:00:00,300212.SZ,易华录,信息技术,246.35129433000003,1.034,剔除,-1.2543368027755464,5.943221013531441
2023-06-12 00:00:00,300017.SZ,网宿科技,信息技术,200.82780762,1.3,剔除,3.1539328418907164,0.7326007326007522
2023-06-12 00:00:00,688023.SH,安恒信息,信息技术,146.850915365,0.701,剔除,1.4177436065216265,-1.5820629682015808
2023-06-12 00:00:00,300773.SZ,拉卡拉,工业,140.0035,0.675,剔除,-4.004388370817336,7.817969661610258
2023-06-12 00:00:00,600718.SH,东软集团,信息技术,134.4461838896,0.633,剔除,-0.27002700270026825,4.003639672429471
2023-06-12 00:00:00,002212.SZ,天融信,信息技术,123.22256887200001,0.872,剔除,-1.9792648444863281,-0.8522727272727404
2023-06-12 00:00:00,300442.SZ,润泽科技,信息技术,570.031267468,,纳入,3.0096183679801713,0.8641239570917669
2023-06-12 00:00:00,301308.SZ,江波龙,信息技术,443.9529323262,,纳入,-3.3003597122302164,-0.7725165863855188
2023-06-12 00:00:00,002368.SZ,太极股份,信息技术,247.9837286994,,纳入,0.02513826043237799,6.814740030287747
2023-06-12 00:00:00,600225.SH,退市卓朗(退市),信息技术,198.8842913629,,纳入,13.203883495145629,13.523131672597867
2023-06-12 00:00:00,688232.SH,新点软件,信息技术,171.567,,纳入,5.7137047580317235,6.344294003868445
2023-06-12 00:00:00,688066.SH,航天宏图,信息技术,140.6572096923,,纳入,-4.752684386551664,5.256525652565269
