tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-10-13 00:00:00,603517.SH,ST绝味,日常消费,86.35527588,0.353,剔除,6.741573033707859,-2.386117136659438
2025-06-16 00:00:00,000869.SZ,张裕A,日常消费,143.43440265,0.231,剔除,-8.053402239448737,-0.170307004525605
2025-06-16 00:00:00,300741.SZ,华宝股份,日常消费,120.958832,0.147,剔除,-2.7722772277227636,-4.350077679958564
2025-06-16 00:00:00,603170.SH,宝立食品,日常消费,49.801245,0.154,剔除,-9.388646288209612,-3.4755134281200695
2025-06-16 00:00:00,300829.SZ,金丹科技,日常消费,42.8512572147,0.123,剔除,13.506625891946978,-16.502946954813357
2025-06-16 00:00:00,600419.SH,天润乳业,日常消费,32.0843649486,0.156,剔除,-4.84330484330483,-3.273809523809512
2025-06-16 00:00:00,002329.SZ,皇氏集团,日常消费,29.134139475,0.155,剔除,-5.1490514905149105,-3.735632183908044
2025-06-16 00:00:00,001215.SZ,千味央厨,日常消费,27.9239121804,0.118,剔除,-2.0783645655877425,-3.703703703703709
2025-06-16 00:00:00,603779.SH,威龙股份,日常消费,24.341665868200003,0.125,剔除,-4.18300653594772,-1.392757660167121
2025-06-16 00:00:00,600429.SH,三元股份,日常消费,68.6675099565,,纳入,-4.008438818565418,-3.956043956043953
2025-06-16 00:00:00,603697.SH,有友食品,日常消费,62.528584727599984,,纳入,0.8971704623878418,-7.167004732927651
2025-06-16 00:00:00,301206.SZ,三元生物,日常消费,59.80747692,,纳入,-1.0709504685408322,-5.92818428184283
2025-06-16 00:00:00,002956.SZ,西麦食品,日常消费,50.877965091499995,,纳入,1.1091393078970668,-8.520761245674747
2025-06-16 00:00:00,605077.SH,华康股份,日常消费,47.881620972,,纳入,-3.2455603184323167,-3.28905755850728
2025-06-16 00:00:00,605338.SH,巴比食品,日常消费,46.020755770200005,,纳入,-4.712301587301582,-2.9503105590062084
2025-06-16 00:00:00,688089.SH,嘉必优,日常消费,41.99312544,,纳入,-4.916158536585369,-1.5207562679819153
2025-06-16 00:00:00,600965.SH,福成股份,日常消费,41.0169178455,,纳入,-2.529182879377423,-4.999999999999993
2025-06-16 00:00:00,603237.SH,五芳斋,日常消费,33.3892619468,,纳入,-2.995391705069128,-2.389486260453977
2025-05-12 00:00:00,600238.SH,*ST椰岛,日常消费,22.94784,0.147,剔除,11.062906724511912,3.000000000000025
2024-12-16 00:00:00,600429.SH,三元股份,日常消费,82.7028471564,0.143,剔除,17.849462365591396,-12.568306010928964
2024-12-16 00:00:00,605089.SH,味知香,日常消费,40.6824,0.072,剔除,4.724689165186513,-6.79012345679012
2024-12-16 00:00:00,603237.SH,五芳斋,日常消费,38.7624745285,0.133,剔除,2.14211076280042,-5.797101449275366
2024-12-16 00:00:00,002852.SZ,道道全,日常消费,32.47060799199999,0.13,剔除,2.7203482045701888,-8.41121495327104
2024-12-16 00:00:00,600962.SH,国投中鲁,日常消费,39.934583,,纳入,1.4656895403064585,-5.749354005167973
2024-12-16 00:00:00,001318.SZ,阳光乳业,日常消费,37.395918,,纳入,8.176614881439082,-7.9850746268656625
2024-12-16 00:00:00,300829.SZ,金丹科技,日常消费,36.793302471000004,,纳入,8.100558659217905,-4.232534421213662
2024-12-16 00:00:00,603779.SH,威龙股份,日常消费,32.0791940364,,纳入,-13.980409617097067,-6.822810590631367
2024-06-17 00:00:00,600084.SH,中信尼雅,日常消费,52.028552229,0.249,剔除,-5.5102040816326525,12.262156448202944
2024-06-17 00:00:00,301206.SZ,三元生物,日常消费,52.01793747,0.151,剔除,-0.38744672607515795,-2.711076684740521
2024-06-17 00:00:00,605077.SH,华康股份,日常消费,47.303930388000005,0.195,剔除,-0.7677543186180524,-1.1620400258231078
2024-06-17 00:00:00,605338.SH,巴比食品,日常消费,36.6210084,0.106,剔除,1.3148788927335842,-9.096901779828615
2024-06-17 00:00:00,600965.SH,福成股份,日常消费,30.946896098999996,0.096,剔除,-4.303797468354443,-4.381443298969067
2024-06-17 00:00:00,300908.SZ,仲景食品,日常消费,43.0408,,纳入,0.2721088435374108,-6.116409075961848
2024-06-17 00:00:00,000833.SZ,粤桂股份,工业,38.0989054975,,纳入,-4.233870967741938,-3.8775510204081653
2024-06-17 00:00:00,603237.SH,五芳斋,日常消费,36.15563497,,纳入,-5.875748502994016,-3.399765533411492
2024-06-17 00:00:00,000529.SZ,广弘控股,日常消费,36.019863361,,纳入,-9.264705882352931,-2.8708133971291794
2024-06-17 00:00:00,600784.SH,鲁银投资,材料,31.485396108200003,,纳入,-3.9175257731958624,-2.9288702928870425
2024-06-17 00:00:00,002852.SZ,道道全,日常消费,25.935210196999993,,纳入,-2.8350515463917425,-3.9113428943937323
2024-05-13 00:00:00,002650.SZ,ST加加,日常消费,23.27040404,0.121,剔除,-22.00772200772201,-1.4084507042253391
2023-12-11 00:00:00,603235.SH,天新药业,医疗保健,108.394328,0.078,剔除,-4.253673627223497,-3.3508276140492455
2023-12-11 00:00:00,603237.SH,五芳斋,日常消费,42.7205394,0.079,剔除,-0.033658700774163997,-1.441812564366618
2023-12-11 00:00:00,001318.SZ,阳光乳业,日常消费,41.466222,0.07,剔除,9.887640449438218,2.20994475138121
2023-12-11 00:00:00,600784.SH,鲁银投资,材料,40.9445279862,0.175,剔除,-1.7828200972447417,2.985074626865658
