index_name,window_type,stock_count,avg_cumulative_return,std_cumulative_return,min_return,max_return,avg_win_rate,avg_volatility,positive_return_rate,gt5_rate
180金融,cutoff_date,13,2.27,3.72,-2.87,12.19,47.99,1.94,76.92,15.38
180金融,effective_date,13,1.16,4.18,-3.89,9.24,42.52,1.53,53.85,23.08
5G通信,cutoff_date,19,2.6,10.96,-27.55,21.1,48.27,3.0,68.42,57.89
5G通信,effective_date,19,-2.08,5.48,-8.79,12.75,39.57,2.61,31.58,10.53
CS人工智,cutoff_date,22,7.15,14.82,-21.48,47.17,49.64,4.0,77.27,68.18
CS人工智,effective_date,22,6.48,20.59,-12.52,50.33,45.04,3.74,45.45,27.27
CS创新药,cutoff_date,28,3.46,10.32,-15.57,31.05,43.43,2.64,57.14,39.29
CS创新药,effective_date,28,-2.15,7.61,-13.84,20.47,39.94,2.85,28.57,21.43
CS新能车,cutoff_date,18,3.6,5.6,-10.79,13.56,50.76,2.72,77.78,44.44
CS新能车,effective_date,18,-1.96,5.93,-14.12,8.88,36.52,2.36,27.78,11.11
CS电池,cutoff_date,18,4.21,10.92,-14.81,30.23,42.87,3.94,66.67,44.44
CS电池,effective_date,18,-1.99,7.17,-15.87,13.29,34.19,2.55,38.89,11.11
CS计算机,cutoff_date,19,4.78,12.33,-19.97,24.34,46.47,3.5,68.42,68.42
CS计算机,effective_date,19,0.31,8.89,-12.52,24.35,39.9,2.67,31.58,21.05
CS食品饮,cutoff_date,35,4.63,5.99,-10.05,13.51,55.26,2.57,80.0,51.43
CS食品饮,effective_date,35,-4.12,7.07,-22.19,12.66,36.08,2.49,25.71,14.29
SSH黄金股票,cutoff_date,23,0.91,6.97,-14.05,18.67,46.54,2.05,56.52,26.09
SSH黄金股票,effective_date,23,-0.4,5.0,-12.4,8.51,37.04,1.88,47.83,13.04
上海国企,cutoff_date,13,4.01,4.37,-1.59,12.79,51.73,2.84,84.62,30.77
上海国企,effective_date,13,0.74,16.61,-10.93,54.78,38.74,2.22,15.38,7.69
东证红利低波,cutoff_date,92,3.69,9.17,-16.95,49.6,49.36,1.87,64.13,31.52
东证红利低波,effective_date,92,-1.05,3.59,-7.25,13.63,38.83,1.5,29.35,6.52
中华半导体芯片,cutoff_date,20,1.49,8.79,-19.09,19.0,41.59,2.9,60.0,35.0
中华半导体芯片,effective_date,20,-2.25,6.05,-11.06,10.4,37.41,2.86,30.0,10.0
中证传媒,cutoff_date,20,19.04,20.83,-1.28,66.67,62.95,3.98,90.0,70.0
中证传媒,effective_date,20,-3.3,6.58,-15.92,10.16,41.41,3.36,25.0,15.0
中证军工,cutoff_date,35,4.45,7.82,-9.98,20.48,50.0,2.98,65.71,42.86
中证军工,effective_date,35,-4.47,5.67,-16.31,8.24,39.14,2.29,20.0,8.57
中证医疗,cutoff_date,25,0.61,10.4,-24.9,12.57,48.09,2.92,60.0,44.0
中证医疗,effective_date,25,-6.35,6.39,-17.56,9.45,32.22,2.59,12.0,8.0
中证国防,cutoff_date,31,4.29,6.82,-7.24,20.9,50.33,2.89,67.74,38.71
中证国防,effective_date,31,-2.65,6.02,-15.23,9.34,42.29,2.02,32.26,16.13
中证新能,cutoff_date,31,1.22,6.88,-14.81,13.36,41.13,3.28,58.06,25.81
中证新能,effective_date,31,-1.64,8.63,-18.97,14.33,37.48,2.41,35.48,22.58
中证煤炭,cutoff_date,2,2.75,0.03,2.73,2.78,54.55,0.99,100.0,0.0
中证煤炭,effective_date,2,-0.41,0.05,-0.44,-0.38,45.45,1.39,0.0,0.0
中证现金流,cutoff_date,240,3.61,8.18,-25.35,66.82,50.61,2.3,69.17,35.83
中证现金流,effective_date,238,-0.97,5.98,-16.99,25.47,40.49,2.02,38.66,13.45
中证畜牧,cutoff_date,14,2.93,6.6,-9.25,13.65,50.81,2.83,57.14,35.71
中证畜牧,effective_date,14,-4.24,3.69,-11.13,0.85,34.42,2.48,14.29,0.0
中证白酒,cutoff_date,1,3.1,,3.1,3.1,62.5,1.41,100.0,0.0
中证白酒,effective_date,1,4.94,,4.94,4.94,45.45,4.75,100.0,0.0
中证红利,cutoff_date,39,2.25,7.26,-11.11,30.6,47.79,2.21,64.1,23.08
中证红利,effective_date,40,-0.9,5.59,-11.42,13.63,37.95,2.13,47.5,7.5
中证软件,cutoff_date,13,3.76,13.03,-19.96,30.61,42.48,3.24,53.85,46.15
中证软件,effective_date,13,0.73,8.51,-5.97,24.35,41.4,2.89,23.08,15.38
中证酒,cutoff_date,3,0.79,4.7,-4.61,3.89,52.65,2.81,66.67,0.0
中证酒,effective_date,3,-1.53,18.31,-22.19,12.66,39.39,3.97,66.67,33.33
云计算,cutoff_date,27,0.74,11.29,-19.97,25.12,44.23,3.57,48.15,40.74
云计算,effective_date,27,1.19,8.49,-14.88,24.35,44.24,2.75,48.15,33.33
人工智能,cutoff_date,59,4.89,10.32,-21.48,47.17,47.86,3.09,76.27,42.37
人工智能,effective_date,59,6.38,14.54,-12.52,55.39,46.91,3.01,62.71,40.68
光伏产业,cutoff_date,15,2.62,9.7,-14.81,30.23,39.24,3.79,60.0,33.33
光伏产业,effective_date,15,0.63,12.77,-15.87,29.98,37.33,2.79,46.67,40.0
军工龙头,cutoff_date,25,4.49,6.95,-10.8,18.11,50.77,2.94,80.0,48.0
军工龙头,effective_date,25,-1.33,5.5,-9.04,12.91,42.84,2.32,40.0,12.0
创成长,cutoff_date,199,7.27,15.21,-21.48,98.9,49.85,3.96,69.35,48.74
创成长,effective_date,197,-0.27,10.86,-17.58,68.34,39.86,2.94,39.59,19.29
动漫游戏,cutoff_date,4,5.24,14.08,-12.48,20.13,50.57,4.57,75.0,50.0
动漫游戏,effective_date,4,5.47,4.46,-0.72,9.75,45.45,3.78,75.0,75.0
北证50,cutoff_date,54,2.87,12.7,-20.34,58.68,46.31,4.2,53.7,35.19
北证50,effective_date,52,-1.75,10.24,-20.37,26.72,39.28,3.17,26.92,17.31
半导体材料设备,cutoff_date,54,-1.22,12.24,-33.18,27.03,39.04,3.19,40.74,25.93
半导体材料设备,effective_date,54,-2.58,4.47,-12.76,10.8,38.64,2.35,29.63,1.85
