stock_code,center_date,trading_days_count,avg_daily_return,cumulative_return,win_rate,volume_change_rate,max_daily_return,min_daily_return,volatility,index_name,index_code,effective_date,window_type
601825.SH,2025-04-30,8,0.2378505020260794,1.5197568389057725,50.0,-22.575890917314712,2.4981264051961105,-4.323804948354548,2.2559328373388428,180金融,000018.SH,2025-06-16,cutoff_date
601838.SH,2025-04-30,8,-0.1339581779873446,-1.026632042997777,37.5,27.465989023224125,2.30975716336852,-2.8488337586800583,1.7620885366231258,180金融,000018.SH,2025-06-16,cutoff_date
601077.SH,2025-04-30,8,0.48912802750333667,3.3847195298317034,62.5,-9.435344424389802,2.3077633157943422,-2.5223300394670467,1.7039781903171454,180金融,000018.SH,2025-06-16,cutoff_date
601825.SH,2025-06-16,11,-0.1654241586802807,-1.737175556918047,36.36363636363637,-42.463482213296,2.455690796497989,-2.7010180760440483,1.464463170812179,180金融,000018.SH,2025-06-16,effective_date
601838.SH,2025-06-16,11,0.5351472070236585,5.386582512650273,54.54545454545454,8.910885835877291,3.809217232684192,-0.9819628921391543,1.4346133246346608,180金融,000018.SH,2025-06-16,effective_date
601077.SH,2025-06-16,11,-0.043087081448528505,-0.5383724999327044,45.45454545454545,-11.68228433291688,2.924872559124192,-2.1918408723526683,1.5572316297440094,180金融,000018.SH,2025-06-16,effective_date
600015.SH,2024-10-31,11,0.12311468729300112,1.1773362766740458,45.45454545454545,25.77933098296379,2.3827252419955425,-1.1913626209977712,1.1575875732744267,180金融,000018.SH,2024-12-16,cutoff_date
601229.SH,2024-10-31,11,0.3574017946054864,3.5063113604488105,54.54545454545454,-8.765235330843712,3.3660589060308554,-2.1246458923512623,1.6522651382914513,180金融,000018.SH,2024-12-16,cutoff_date
601009.SH,2024-10-31,11,0.37312607922835306,3.754806790350651,54.54545454545454,21.430264244714834,2.015988807230129,-0.8235171801124874,0.9266857414479256,180金融,000018.SH,2024-12-16,cutoff_date
600926.SH,2024-10-31,11,0.10116805671769202,0.9495982468955333,45.45454545454545,35.39165728212734,2.6745913818722045,-1.4609203798392922,1.2160432393731184,180金融,000018.SH,2024-12-16,cutoff_date
600015.SH,2024-12-16,11,0.04566071948450823,0.4045853000674171,36.36363636363637,-11.549759911303969,1.6382252559727029,-1.3486176668914385,1.0839999291786293,180金融,000018.SH,2024-12-16,effective_date
601229.SH,2024-12-16,11,0.21122893075563032,1.9680196801967975,36.36363636363637,5.504653075093957,3.094059405940608,-2.8325123152709297,1.8978716930004331,180金融,000018.SH,2024-12-16,effective_date
601009.SH,2024-12-16,11,0.011604509760402282,0.0964255994538421,36.36363636363637,13.047063113998437,1.0710088611378454,-1.1515552233105408,0.6612023495485666,180金融,000018.SH,2024-12-16,effective_date
600926.SH,2024-12-16,11,0.10384122513509508,1.0021474588403745,63.63636363636363,14.33237237611895,1.5097052480230078,-1.3456090651558172,0.9516278572062928,180金融,000018.SH,2024-12-16,effective_date
601916.SH,2024-04-30,8,0.2792385692287521,1.9157088122605526,50.0,-17.180587998290996,2.2900763358778553,-1.8939393939394034,1.3486863681998271,180金融,000018.SH,2024-06-17,cutoff_date
601901.SH,2024-04-30,8,1.7333633536672957,12.19080577293643,37.5,-26.34004838288969,10.254852064263753,-1.7859734113208403,4.3224246363163425,180金融,000018.SH,2024-06-17,cutoff_date
601916.SH,2024-06-17,10,-0.4371298117098922,-3.891050583657596,20.0,18.780785729837213,0.809716599190291,-1.5564202334630517,0.8026091832200701,180金融,000018.SH,2024-06-17,effective_date
601901.SH,2024-06-17,10,-0.11723161109779372,-1.1322606212336828,60.0,-26.248143481907626,1.987898666865462,-2.7883181592251116,1.434676968441475,180金融,000018.SH,2024-06-17,effective_date
601998.SH,2023-10-31,11,-0.2735176122556982,-2.869322839809818,54.54545454545454,-27.603702679732535,1.6880486158001418,-5.102873938602215,1.9319006538296835,180金融,000018.SH,2023-12-11,cutoff_date
601059.SH,2023-10-31,11,0.5617992632249058,5.340837305461443,36.36363636363637,111.28941897035749,5.45025131714405,-3.0511060259344025,3.010308202222614,180金融,000018.SH,2023-12-11,cutoff_date
601555.SH,2023-10-31,11,-0.031544295779726284,-0.5213764337852034,45.45454545454545,34.020821432681814,3.042035398230092,-4.7791268406096705,2.1335102670282065,180金融,000018.SH,2023-12-11,cutoff_date
601998.SH,2023-12-11,11,-0.29311153485082175,-2.96033155713441,36.36363636363637,-10.541867237851854,1.9611261221999632,-2.114522540810282,1.2417368540513367,180金融,000018.SH,2023-12-11,effective_date
601059.SH,2023-12-11,11,0.8841187722487074,8.788709093728997,45.45454545454545,-44.530131573439306,6.40420989922057,-2.482929857231553,2.9379108840576715,180金融,000018.SH,2023-12-11,effective_date
601555.SH,2023-12-11,11,-0.14793880333844878,-1.559841179807142,27.27272727272727,-12.95771731895673,2.8768699654775576,-1.6615895873719255,1.4309501899591732,180金融,000018.SH,2023-12-11,effective_date
