tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,301308.SZ,江波龙,信息技术,300.1499256987,0.502,剔除,-3.0987821380243585,12.312227993822834
2025-06-16 00:00:00,688037.SH,芯源微,信息技术,191.2627384814,0.829,剔除,-3.3736408901534287,10.885805763073652
2025-06-16 00:00:00,605358.SH,立昂微,信息技术,150.721650836,0.718,剔除,-5.791019723038183,0.13464991023337536
2025-06-16 00:00:00,688153.SH,唯捷创芯,信息技术,123.6719584992,0.144,剔除,-6.292794261493329,1.2955182072829308
2025-06-16 00:00:00,688608.SH,恒玄科技,信息技术,445.2249692192,,纳入,-5.351537578154919,-2.439153439153441
2025-06-16 00:00:00,688361.SH,中科飞测,信息技术,246.1785297895,,纳入,1.1896893588896118,6.300250428364329
2025-06-16 00:00:00,688702.SH,盛科通信-U,信息技术,241.654,,纳入,-5.605381165919288,-4.888507718696388
2025-06-16 00:00:00,301611.SZ,珂玛科技,信息技术,228.246,,纳入,-0.5886821116596996,-6.515264333581539
2024-12-16 00:00:00,688200.SH,华峰测控,信息技术,140.992443507,0.544,剔除,-3.5575319622012325,1.6079923882017066
2024-12-16 00:00:00,688536.SH,思瑞浦,信息技术,135.29325331319998,0.493,剔除,-5.247028231797934,-2.1250472232716366
2024-12-16 00:00:00,688107.SH,安路科技,信息技术,120.37506491010001,0.203,剔除,0.7718120805369155,6.266233766233764
2024-12-16 00:00:00,688249.SH,晶合集成,信息技术,499.92888112440005,,纳入,-9.38181818181818,-5.899814471243047
2024-12-16 00:00:00,688469.SH,芯联集成-U,信息技术,396.0147814293,,纳入,-6.030150753768837,-2.604166666666663
2024-12-16 00:00:00,301308.SZ,江波龙,信息技术,366.31336525840004,,纳入,-0.8779828905898235,4.166211044286494
2024-06-17 00:00:00,688608.SH,恒玄科技,信息技术,173.1860767024,0.811,剔除,12.586812329301589,0.6713780918728096
2024-06-17 00:00:00,300458.SZ,全志科技,信息技术,135.530765048,0.791,剔除,4.339346660165755,7.18765074770864
2024-06-17 00:00:00,688798.SH,艾为电子,信息技术,133.2729973792,0.427,剔除,9.354715540282532,5.593818864311806
2024-06-17 00:00:00,300672.SZ,国科微,信息技术,127.4398603968,0.819,剔除,-2.6817768472626624,-3.1212689749275158
2024-06-17 00:00:00,688525.SH,佰维存储,信息技术,244.027381696,,纳入,5.1073279052553655,14.50795947901591
2024-06-17 00:00:00,688172.SH,燕东微,信息技术,204.80698215879997,,纳入,3.6823244094488006,-2.4000000000000243
2024-06-17 00:00:00,688213.SH,思特威-W,信息技术,200.925023,,纳入,3.9528145695364225,-0.9712586719524352
2024-06-17 00:00:00,688153.SH,唯捷创芯,信息技术,180.54558008240002,,纳入,9.793945560925966,1.868478524629924
2023-12-11 00:00:00,300316.SZ,晶盛机电,工业,549.8802751300999,2.268,剔除,0.4303131723643272,2.210630899155497
2023-12-11 00:00:00,300623.SZ,捷捷微电,信息技术,123.70625332800002,0.505,剔除,-1.7543859649122862,-1.8618618618618576
2023-12-11 00:00:00,605111.SH,新洁能,信息技术,113.31289274,0.785,剔除,-7.654921020656136,-2.0909566126502854
2023-12-11 00:00:00,688041.SH,海光信息,信息技术,1911.0707784202,,纳入,13.079356347132443,-8.090614886731395
2023-12-11 00:00:00,688047.SH,龙芯中科,信息技术,526.513,,纳入,11.412812897751401,-5.352449223416967
2023-12-11 00:00:00,688120.SH,华海清科,信息技术,357.3934983521,,纳入,2.863546955765961,-4.9605055292259115
2023-06-12 00:00:00,300456.SZ,赛微电子,信息技术,170.1241270344,0.783,剔除,6.925207756232665,-0.9777777777777774
2023-06-12 00:00:00,300613.SZ,富瀚微,信息技术,142.1479757425,0.509,剔除,-5.99786877759173,-0.8945386064029948
2023-06-12 00:00:00,603005.SH,晶方科技,信息技术,135.9988104372,0.885,剔除,-2.2535211267605604,3.406326034063256
2023-06-12 00:00:00,600171.SH,上海贝岭,信息技术,123.49917362650001,0.778,剔除,-6.639022792316418,9.540444010946715
2023-06-12 00:00:00,603690.SH,至纯科技,工业,120.8591998237,0.667,剔除,-6.4496864735742125,12.110504336652749
2023-06-12 00:00:00,300327.SZ,中颖电子,信息技术,97.07074823159999,0.769,剔除,-9.790209790209802,0.9145269081955787
2023-06-12 00:00:00,688082.SH,盛美上海,信息技术,555.16986655,,纳入,4.752945026178024,-1.804207119741097
2023-06-12 00:00:00,688072.SH,拓荆科技,信息技术,529.94615943,,纳入,-4.222003794545914,-0.4628014604990849
2023-06-12 00:00:00,688220.SH,翱捷科技-U,信息技术,352.9622901382,,纳入,4.5341922695738335,-2.930535455861083
2023-06-12 00:00:00,688234.SH,天岳先进,信息技术,329.50242853919997,,纳入,-4.389027431421444,-2.1550624840601884
2023-06-12 00:00:00,688052.SH,纳芯微,信息技术,236.65550496,,纳入,-4.94430552398274,9.564514265911983
2023-06-12 00:00:00,688107.SH,安路科技,信息技术,227.85695,,纳入,2.557176301098507,-4.001379786133152
