tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,600884.SH,杉杉股份,材料,195.47397779469998,0.523,剔除,5.078597339782354,1.258581235697931
2025-06-16 00:00:00,002518.SZ,科士达,工业,127.97307566120001,0.305,剔除,-3.257042253521125,-2.450300508552916
2025-06-16 00:00:00,688063.SH,派能科技,工业,107.81085401060001,0.447,剔除,-2.8950276243094097,-2.6046511627906943
2025-06-16 00:00:00,002865.SZ,钧达股份,工业,107.085763032,0.368,剔除,-4.811443433029905,0.3312172232956323
2025-06-16 00:00:00,603185.SH,弘元绿能,工业,92.5507261326,0.347,剔除,-7.025920873124136,1.1931394481730084
2025-06-16 00:00:00,301487.SZ,盟固利,材料,87.6028930828,0.199,剔除,-0.7808433107756585,8.942661756970004
2025-06-16 00:00:00,002335.SZ,科华数据,工业,223.4835281776,,纳入,-2.3863124718595197,-8.301886792452828
2025-06-16 00:00:00,603218.SH,日月股份,工业,128.099260575,,纳入,7.247627264883527,1.331114808652245
2025-06-16 00:00:00,002497.SZ,雅化集团,材料,127.47341471200001,,纳入,-1.073345259391767,-1.3513513513513487
2025-06-16 00:00:00,001301.SZ,尚太科技,材料,122.28054968,,纳入,-1.1596036263967768,-2.1559923906151024
2025-06-16 00:00:00,300827.SZ,上能电气,工业,97.619246031,,纳入,-2.931712549159804,7.60299625468166
2025-06-16 00:00:00,688408.SH,中信博,工业,93.0153751956,,纳入,-2.9485714285714226,0.837320574162681
2024-12-16 00:00:00,300438.SZ,鹏辉能源,工业,155.130423552,0.563,剔除,-7.4752326628640064,-4.2391648212591
2024-12-16 00:00:00,002497.SZ,雅化集团,材料,148.10428382,0.67,剔除,1.7418844022169422,-6.161841128433543
2024-12-16 00:00:00,300769.SZ,德方纳米,材料,121.153304172,0.532,剔除,-9.954185755935018,-4.285714285714293
2024-12-16 00:00:00,600481.SH,双良节能,工业,114.8599191922,0.384,剔除,-10.755813953488369,-4.64
2024-12-16 00:00:00,688779.SH,五矿新能,材料,112.2805136154,0.285,剔除,-2.6755852842809347,-4.054054054054057
2024-12-16 00:00:00,688472.SH,阿特斯,工业,487.58233023279996,,纳入,-10.129163834126443,-7.822878228782293
2024-12-16 00:00:00,300757.SZ,罗博特科,工业,283.53416739840003,,纳入,4.371647072252016,-4.9296482412060305
2024-12-16 00:00:00,000875.SZ,吉电股份,公用事业,204.5780633064,,纳入,1.2567324955116588,-2.8880866425992857
2024-12-16 00:00:00,300776.SZ,帝尔激光,信息技术,186.245947118,,纳入,-3.5224218418446585,-7.385962434684368
2024-12-16 00:00:00,601222.SH,林洋能源,工业,146.8900608228,,纳入,-2.72851296043658,-1.392757660167132
2024-06-17 00:00:00,300776.SZ,帝尔激光,信息技术,141.7844423072,0.378,剔除,4.466800804828974,-2.594615684744439
2024-06-17 00:00:00,688006.SH,杭可科技,工业,117.1727647032,0.268,剔除,1.5698587127158659,-2.9858564693556966
2024-06-17 00:00:00,603218.SH,日月股份,工业,115.05123,0.338,剔除,-0.3571428571428559,-4.723707664884147
2024-06-17 00:00:00,002192.SZ,融捷股份,材料,85.91990667270001,0.389,剔除,2.700186219739309,-7.740041299593015
2024-06-17 00:00:00,688348.SH,昱能科技,工业,75.02879999999999,0.174,剔除,5.446245868093791,-2.918376652986787
2024-06-17 00:00:00,605117.SH,德业股份,工业,426.1154953629,,纳入,7.11366732253671,10.844239896447583
