tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-09-15 00:00:00,002714.SZ,牧原股份,日常消费,3210.469934877,5.997,剔除,5.606469002695436,-5.491831769204014
2025-09-15 00:00:00,300803.SZ,指南针,信息技术,902.9209716303,1.416,剔除,8.19062887123807,5.154921853578287
2025-09-15 00:00:00,601168.SH,西部矿业,材料,476.8383,1.208,剔除,5.761099365750533,-6.157635467980294
2025-09-15 00:00:00,000426.SZ,兴业银锡,材料,454.7403127579,0.499,剔除,10.05586592178771,-1.9646365422396839
2025-09-15 00:00:00,300724.SZ,捷佳伟创,工业,334.500469732,1.073,剔除,-2.9263370332996863,-4.535217035217043
2025-09-15 00:00:00,600873.SH,梅花生物,日常消费,308.4665815,0.482,剔除,-1.6100178890876449,-3.0797101449275277
2025-09-15 00:00:00,300073.SZ,当升科技,材料,298.7627943652,0.306,剔除,-0.018214936247729074,-0.7058823529411895
2025-09-15 00:00:00,002056.SZ,横店东磁,工业,298.33899437160005,0.51,剔除,-2.6539278131634814,-1.2002182214947976
2025-09-15 00:00:00,002120.SZ,韵达股份,工业,235.12474393929998,0.501,剔除,1.7565872020075313,-0.5095541401273773
2025-09-15 00:00:00,002249.SZ,大洋电机,工业,229.587666308,0.422,剔除,12.171837708830546,4.094827586206895
2025-09-15 00:00:00,600312.SH,平高电气,工业,207.3375760152,0.351,剔除,-2.4265644955300147,0.3223726627981982
2025-09-15 00:00:00,601811.SH,新华文轩,通讯服务,185.6930705,0.293,剔除,-9.500901984365594,-2.1710526315789513
2025-09-15 00:00:00,000902.SZ,新洋丰,材料,180.3051788025,0.319,剔除,-2.1783526208305037,-4.941660947151682
2025-09-15 00:00:00,688612.SH,威迈斯,可选消费,170.10878108219998,0.264,剔除,-0.1482579688658392,-0.40353089533415876
2025-09-15 00:00:00,600420.SH,国药现代,医疗保健,149.13840335039998,0.264,剔除,-4.055220017256255,-1.540443700313665
2025-09-15 00:00:00,600710.SH,苏美达,工业,128.9761691358,1.582,剔除,-3.140333660451422,-1.6080402010050232
2025-09-15 00:00:00,600866.SH,星湖科技,日常消费,125.7734770312,0.354,剔除,-2.9487179487179382,-2.099737532808399
2025-09-15 00:00:00,605599.SH,菜百股份,可选消费,110.91111428,0.161,剔除,-2.1947873799725848,-3.8329911019849283
2025-09-15 00:00:00,601101.SH,昊华能源,能源,104.97584880539999,0.297,剔除,0.4132231404958775,2.7624309392265234
2025-09-15 00:00:00,603227.SH,雪峰科技,材料,100.41760495929998,0.148,剔除,-0.7415254237288171,2.7339642481598148
2025-09-15 00:00:00,920599.BJ,同力股份,工业,95.2126075,0.185,剔除,-7.197480881691409,-0.09779951100243878
2025-09-15 00:00:00,000700.SZ,模塑科技,可选消费,94.0965773725,0.186,剔除,4.378818737270884,12.109375
2025-09-15 00:00:00,603929.SH,亚翔集成,工业,89.419176,0.455,剔除,1.8469015795868904,-3.8218053927315254
2025-09-15 00:00:00,002803.SZ,吉宏股份,可选消费,75.46163730960001,0.104,剔除,-1.6519174041297768,7.14285714285714
2025-09-15 00:00:00,600987.SH,航民股份,可选消费,74.62185961629999,0.176,剔除,-2.1419009370816644,-3.0955585464333635
2025-09-15 00:00:00,000755.SZ,山西高速,工业,71.60473756479999,0.181,剔除,-0.8130081300813052,0.2044989775051409
