tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,300492.SZ,华图山鼎,工业,126.54459271720002,0.687,剔除,1.847308915877366,-4.097116843702587
2025-06-16 00:00:00,000065.SZ,北方国际,工业,109.17422056059999,1.007,剔除,-2.207293666026877,-1.8886679920477212
2025-06-16 00:00:00,600133.SH,东湖高新,工业,97.027828625,1.808,剔除,-4.512067156348365,-2.6344676180021898
2025-06-16 00:00:00,605598.SH,上海港湾,工业,51.60977661,0.372,剔除,-3.6255162918770067,-4.296506137865908
2025-06-16 00:00:00,603098.SH,森特股份,工业,50.6238579364,0.376,剔除,-3.8934426229508046,-2.3529411764705688
2025-06-16 00:00:00,600629.SH,华建集团,工业,82.86692147859999,,纳入,2.5210084033613356,-2.564097002678156
2025-06-16 00:00:00,001267.SZ,汇绿生态,工业,72.143150376,,纳入,3.139013452914785,6.493506493506485
2025-06-16 00:00:00,603929.SH,亚翔集成,工业,62.322456,,纳入,6.644760861628329,-2.0728853226345656
2025-06-16 00:00:00,002062.SZ,宏润建设,工业,54.439919116000006,,纳入,-4.555314533622557,-1.3953488372092981
2025-06-16 00:00:00,603357.SH,设计总院,工业,47.8733534286,,纳入,-1.157407407407407,-0.9356725146198897
2024-12-16 00:00:00,600491.SH,龙元建设,工业,65.167688883,0.691,剔除,2.650602409638547,-3.0732860520094607
2024-12-16 00:00:00,002375.SZ,亚厦股份,工业,59.8978434606,0.462,剔除,-1.106194690265494,-7.333333333333336
2024-12-16 00:00:00,002135.SZ,东南网架,工业,55.10643146580001,0.542,剔除,-0.8032128514056103,-7.028112449799195
2024-12-16 00:00:00,300982.SZ,苏文电能,工业,41.3516361708,0.26,剔除,3.3092037228541926,-4.233870967741938
2024-12-16 00:00:00,300492.SZ,华图山鼎,工业,110.633095125,,纳入,0.7033248081841359,-4.209876543209868
2024-12-16 00:00:00,002140.SZ,东华科技,工业,75.19386095639999,,纳入,-2.209944751381221,-8.122743682310475
2024-12-16 00:00:00,003013.SZ,地铁设计,工业,69.007245762,,纳入,1.8072289156626287,-4.329774614472138
2024-12-16 00:00:00,600846.SH,同济科技,工业,62.1012946904,,纳入,6.196581196581197,-3.8541666666666585
2024-06-17 00:00:00,002545.SZ,东方铁塔,材料,86.46231476850001,0.845,剔除,-4.5329670329670275,-1.2711864406779627
2024-06-17 00:00:00,002140.SZ,东华科技,工业,56.430797723400005,0.435,剔除,-2.923264311814877,-1.970443349753681
2024-06-17 00:00:00,300712.SZ,永福股份,工业,44.485919502,0.433,剔除,0.5510809665112415,-4.106180008295313
2024-06-17 00:00:00,002307.SZ,北新路桥,工业,37.668259985400006,0.471,剔除,-7.187500000000002,-3.934426229508192
2024-06-17 00:00:00,002323.SZ,雅博股份,工业,23.541492076200004,0.374,剔除,0.0,7.079646017699126
2024-06-17 00:00:00,000628.SZ,高新发展,工业,154.862288,,纳入,-0.45289855072461194,-1.7088470690028168
2024-06-17 00:00:00,600133.SH,东湖高新,工业,107.5836033875,,纳入,5.6544502617801085,12.273641851106664
2024-06-17 00:00:00,301091.SZ,深城交,工业,106.2672,,纳入,0.8468052347959887,17.117117117117118
2024-06-17 00:00:00,605598.SH,上海港湾,工业,59.08090617639999,,纳入,7.802690582959637,1.3066202090592505
2024-06-17 00:00:00,603098.SH,森特股份,工业,45.928468127799995,,纳入,0.0,-6.336405529953904
2023-12-11 00:00:00,600072.SH,中船科技,工业,260.7789111168,1.608,剔除,-6.482982171799057,11.345029239766058
2023-12-11 00:00:00,603098.SH,森特股份,工业,72.2118570564,0.615,剔除,-7.404844290657431,-3.2376747608535705
2023-12-11 00:00:00,600939.SH,重庆建工,工业,63.139367376799996,0.372,剔除,-2.92397660818714,3.963414634146356
2023-12-11 00:00:00,002062.SZ,宏润建设,工业,49.28175,0.59,剔除,-3.870967741935505,3.1674208144796268
2023-12-11 00:00:00,600720.SH,中交设计,信息技术,210.0880942139,,纳入,-3.3206831119544367,-0.5893909626719207
2023-12-11 00:00:00,603153.SH,上海建科,工业,78.2424851354,,纳入,14.654654654654674,49.6252676659529
2023-12-11 00:00:00,601133.SH,柏诚股份,工业,72.314,,纳入,-0.07220216606499408,0.22156573116691725
2023-12-11 00:00:00,002140.SZ,东华科技,工业,61.470251589600004,,纳入,-1.026225769669331,1.0600706713780772
2023-06-12 00:00:00,300355.SZ,蒙草生态,工业,57.111018083599994,0.911,剔除,-7.532467532467546,-0.557103064066844
2023-06-12 00:00:00,603959.SH,百利科技,工业,49.7163177888,0.617,剔除,-0.5882352941176228,2.487562189054726
2023-06-12 00:00:00,002307.SZ,北新路桥,工业,66.4584788968,,纳入,2.34375,0.9708737864077666
2023-06-12 00:00:00,002062.SZ,宏润建设,工业,59.7555,,纳入,2.831875299143305,1.3182699973886658
