tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-09-05 00:00:00,601989.SH,中国重工(退市),工业,1162.9038015239998,2.424,剔除,0.0,
2025-06-16 00:00:00,601088.SH,中国神华,能源,7756.670190432,1.511,剔除,-1.1645569620253204,0.45848191543556016
2025-06-16 00:00:00,000800.SZ,一汽解放,可选消费,342.52115586,0.366,剔除,-0.9957325746799417,-2.585906984936881
2025-06-16 00:00:00,002389.SZ,航天彩虹,工业,234.354732623,0.15,剔除,5.533244087460942,-6.4408777818536045
2025-06-16 00:00:00,600500.SH,中化国际,材料,133.4930776596,0.096,剔除,-4.859335038363155,-1.0781671159029727
2025-06-16 00:00:00,300747.SZ,锐科激光,信息技术,119.9116740844,0.169,剔除,1.384909264565426,-2.5262154432793227
2025-06-16 00:00:00,002643.SZ,万润股份,材料,101.18062774400002,0.229,剔除,-2.246181491464516,0.9242144177449063
2025-06-16 00:00:00,601989.SH,中国重工(退市),工业,1019.2509789828,,纳入,0.6756756756756577,-1.125552094301252
2025-06-16 00:00:00,600893.SH,航发动力,工业,952.6833806612001,,纳入,-0.5011135857460935,-3.734439834024905
2025-06-16 00:00:00,600027.SH,华电国际,公用事业,597.2895701672,,纳入,0.17152658662094034,-2.9159519725557415
2025-06-16 00:00:00,600584.SH,长电科技,信息技术,571.539013658,,纳入,-3.0946601941747365,-0.7557707073857278
2025-06-16 00:00:00,688702.SH,盛科通信-U,信息技术,241.654,,纳入,-5.605381165919288,-4.888507718696388
2025-06-16 00:00:00,600420.SH,国药现代,医疗保健,144.84665073600002,,纳入,-1.6393442622950838,-3.416435826408115
2024-12-16 00:00:00,002230.SZ,科大讯飞,信息技术,1167.425763425,3.497,剔除,-4.138192862566448,1.5303119482048322
2024-12-16 00:00:00,000066.SZ,中国长城,信息技术,501.61175818399994,0.84,剔除,-7.660332541567694,-0.8084577114427671
2024-12-16 00:00:00,000898.SZ,鞍钢股份,材料,241.15341356419998,0.084,剔除,-3.0188679245283123,-4.24710424710425
2024-12-16 00:00:00,600900.SH,长江电力,公用事业,7164.2941472448,,纳入,3.062302006335793,1.671309192200554
2024-12-16 00:00:00,000733.SZ,振华科技,信息技术,241.3407872005,,纳入,-2.0688104340004565,-4.066827874258083
2024-12-16 00:00:00,688248.SH,南网科技,工业,177.99344,,纳入,-4.426925409338978,4.6511627906976605
2024-06-17 00:00:00,000999.SZ,华润三九,医疗保健,612.51597056,0.223,剔除,-1.718944853083093,-6.5798045602605715
2024-06-17 00:00:00,600536.SH,中国软件,信息技术,257.47852551200003,0.735,剔除,1.8707482993197022,-1.7654896735509684
2024-06-17 00:00:00,002063.SZ,远光软件,信息技术,111.0670968,0.294,剔除,4.29338103756709,-3.135888501742179
2024-06-17 00:00:00,600782.SH,新钢股份,材料,110.097825215,0.236,剔除,-4.891304347826098,-2.2346368715083886
2024-06-17 00:00:00,000547.SZ,航天发展,工业,100.22396046629997,0.066,剔除,-3.0911901081916437,-4.843750000000002
2024-06-17 00:00:00,601005.SH,重庆钢铁,材料,97.21276471030001,0.237,剔除,-1.8018018018017945,-5.35714285714286
2024-06-17 00:00:00,601991.SH,大唐发电,公用事业,560.7533282712,,纳入,-4.416403785488965,-3.8834951456310662
2024-06-17 00:00:00,600765.SH,中航重机,工业,296.16100781879993,,纳入,1.9000130903729318,0.5612244897959195
2024-06-17 00:00:00,688475.SH,萤石网络,可选消费,288.69749999999993,,纳入,-10.585365853658535,-3.9556962025316555
2024-06-17 00:00:00,000032.SZ,深桑达A,信息技术,183.21143667400003,,纳入,5.228758169934644,-4.601990049751226
2024-06-17 00:00:00,600562.SH,国睿科技,工业,179.945201016,,纳入,3.9454806312769097,-1.620859760394644
2024-06-17 00:00:00,300034.SZ,钢研高纳,材料,128.98291544319997,,纳入,2.5261860751694343,-3.6092097075295593
2023-12-11 00:00:00,600893.SH,航发动力,工业,954.8158560516,0.175,剔除,-1.7014270032930767,-0.5459770114942475
2023-12-11 00:00:00,300212.SZ,易华录,信息技术,260.59540890240004,0.105,剔除,0.4180602006688794,-1.6463241555492392
2023-12-11 00:00:00,600335.SH,国机汽车,可选消费,139.4075060944,0.092,剔除,-1.3756613756613634,-4.0437158469945444
2023-12-11 00:00:00,600006.SH,东风股份,可选消费,123.4,0.138,剔除,-6.231003039513682,-0.8210180623973606
2023-12-11 00:00:00,600206.SH,有研新材,材料,108.35882649599999,0.128,剔除,-1.6141429669484841,-0.794281175536149
2023-12-11 00:00:00,600150.SH,中国船舶,工业,1249.1493521094,,纳入,-0.07155635062612298,4.458137006161644
2023-12-11 00:00:00,600100.SH,同方股份,信息技术,277.4046506364,,纳入,1.098901098901095,-3.9167686658506895
2023-12-11 00:00:00,600072.SH,中船科技,工业,260.7789111168,,纳入,-6.482982171799057,11.345029239766058
2023-12-11 00:00:00,600062.SH,华润双鹤,医疗保健,200.5658461929,,纳入,-0.05181347150259308,-0.4168837936425418
2023-12-11 00:00:00,600312.SH,平高电气,工业,163.50901773450002,,纳入,2.2052586938083207,2.3668639053254337
2023-06-12 00:00:00,600150.SH,中国船舶,工业,1241.098980345,1.947,剔除,-3.1075418994413573,3.1654676258992875
2023-06-12 00:00:00,000761.SZ,本钢板材,材料,163.09606519130003,0.018,剔除,-0.749999999999984,3.7974683544303556
2023-06-12 00:00:00,600195.SH,中牧股份,医疗保健,122.02721707,0.07,剔除,-3.395311236863374,2.0938023450586263
2023-06-12 00:00:00,300212.SZ,易华录,信息技术,246.35129433000003,,纳入,-1.2543368027755464,5.943221013531441
2023-06-12 00:00:00,600320.SH,振华重工,工业,192.8217381366,,纳入,0.826446280991755,-0.5420054200542035
2023-06-12 00:00:00,600335.SH,国机汽车,可选消费,157.20739152919995,,纳入,-0.2846299810246644,2.7079303675048294
2023-06-12 00:00:00,600782.SH,新钢股份,材料,124.360185144,,纳入,1.298701298701288,0.2577319587628857
2023-03-17 00:00:00,002013.SZ,中航机电(退市),工业,416.3510657152,0.734,剔除,0.0,
