tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,601238.SH,广汽集团,可选消费,775.99671499,1.463,剔除,-0.6527415143602999,-3.506493506493502
2025-06-16 00:00:00,600549.SH,厦门钨业,材料,333.86929920780005,1.58,剔除,2.335766423357666,-1.8286814244465988
2025-06-16 00:00:00,002756.SZ,永兴材料,材料,163.34776662,0.847,剔除,-2.3840206185566926,-1.3540290620871809
2025-06-16 00:00:00,301219.SZ,腾远钴业,材料,141.5821342328,0.442,剔除,5.212439772229516,-2.316048370567736
2025-06-16 00:00:00,002192.SZ,融捷股份,材料,73.74207765199999,0.499,剔除,-1.9337016574585641,1.7308371600141426
2025-06-16 00:00:00,000625.SZ,长安汽车,可选消费,1263.054564044,,纳入,-2.300613496932513,-4.098994586233562
2025-06-16 00:00:00,300953.SZ,震裕科技,工业,166.66005617169998,,纳入,-0.25955149501663,-8.040512608515925
2025-06-16 00:00:00,688116.SH,天奈科技,材料,162.5420648496,,纳入,0.45289855072465635,-6.347062795408521
2025-06-16 00:00:00,300618.SZ,寒锐钴业,材料,103.8438569688,,纳入,2.357370460734498,-3.276279434309737
2025-06-16 00:00:00,300035.SZ,中科电气,材料,103.08817131840001,,纳入,2.104548540393747,0.8724832214764833
2024-12-16 00:00:00,688707.SH,振华新材,材料,63.5416516045,0.301,剔除,-6.231231231231227,-3.4375000000000155
2024-12-16 00:00:00,688612.SH,威迈斯,可选消费,109.1541869206,,纳入,-7.060931899641565,-11.151339608979004
2024-06-17 00:00:00,600884.SH,杉杉股份,材料,234.17774822509998,0.92,剔除,9.73544973544973,-6.6534260178748745
2024-06-17 00:00:00,300001.SZ,特锐德,工业,231.3471889183,1.227,剔除,0.4618945939554475,-4.965517241379313
2024-06-17 00:00:00,688116.SH,天奈科技,材料,89.79303075959999,0.737,剔除,0.6955177743431351,-0.40000000000001146
2024-06-17 00:00:00,300618.SZ,寒锐钴业,材料,84.8963808241,0.501,剔除,0.1442401660556314,-1.8791451731761222
2024-06-17 00:00:00,300693.SZ,盛弘股份,工业,76.371468155,0.499,剔除,0.6147540983606481,-7.654723127035834
2024-06-17 00:00:00,603026.SH,石大胜华,材料,75.822588,0.492,剔除,4.322364751812602,-3.57044767920901
2024-06-17 00:00:00,688559.SH,海目星,工业,73.018396,0.396,剔除,6.074074074074054,-2.8651685393258353
2024-06-17 00:00:00,301325.SZ,曼恩斯特,信息技术,68.70874515,0.164,剔除,1.8992744344857204,-5.407689057879184
2024-06-17 00:00:00,300035.SZ,中科电气,材料,67.26790114500001,0.533,剔除,1.4176663031624903,-5.965292841648595
2024-06-17 00:00:00,600110.SH,诺德股份,材料,58.68147707519999,0.441,剔除,-2.3255813953488413,-8.771929824561408
2024-06-17 00:00:00,300953.SZ,震裕科技,工业,58.566189297,0.249,剔除,-0.035087719298254605,-6.837757075057127
2024-06-17 00:00:00,688392.SH,骄成超声,工业,53.62308,0.187,剔除,-1.931555742179325,-7.039347358016013
2024-06-17 00:00:00,688518.SH,联赢激光,工业,53.53471522049999,0.386,剔除,16.789940828402372,10.93535075653369
2024-06-17 00:00:00,300409.SZ,道氏技术,材料,53.04854759519999,0.352,剔除,-0.7616974972796564,-4.950495049504933
2024-06-17 00:00:00,603906.SH,龙蟠科技,材料,49.0488487804,0.245,剔除,1.639344262295106,-5.916473317865433
2024-06-17 00:00:00,688388.SH,嘉元科技,材料,46.1189566854,0.323,剔除,-1.9927536231883813,-6.296296296296311
2024-06-17 00:00:00,688275.SH,万润新能,材料,44.6711595946,0.118,剔除,-4.579741379310331,-8.16893581550432
2024-06-17 00:00:00,002759.SZ,天际股份,材料,42.889521425,0.211,剔除,2.533172496984326,-12.46943765281172
2024-06-17 00:00:00,300681.SZ,英搏尔,工业,36.082147244,0.171,剔除,8.41546626231995,3.941908713692932
2024-06-17 00:00:00,301150.SZ,中一科技,材料,34.4856672608,0.107,剔除,8.737864077669899,0.2802690582959677
2024-06-17 00:00:00,688733.SH,壹石通,材料,33.921827262,0.195,剔除,6.9943289224952965,-4.548104956268217
2024-06-17 00:00:00,002805.SZ,丰元股份,材料,31.226969642000004,0.184,剔除,3.5283194057567524,-6.106194690265488
2024-06-17 00:00:00,301349.SZ,信德新材,材料,30.8448,0.101,剔除,0.6993006993006867,-2.157788267026306
2024-06-17 00:00:00,300890.SZ,翔丰华,工业,30.552137701800003,0.209,剔除,0.7209805335256059,-5.749636098981092
2024-06-17 00:00:00,688353.SH,华盛锂电,材料,30.289049999999996,0.102,剔除,4.917127071823191,-2.393617021276584
2024-06-17 00:00:00,603032.SH,德新科技,工业,29.99451966,0.132,剔除,-0.07812500000000666,-13.27705295471987
2024-06-17 00:00:00,300484.SZ,蓝海华腾,工业,29.94772998,0.189,剔除,0.3479471120389599,-2.1067415730337213
2024-06-17 00:00:00,300648.SZ,星云股份,信息技术,27.118344916000005,0.132,剔除,4.737442922374435,-6.0556464811784005
2024-06-17 00:00:00,688499.SH,利元亨,材料,27.098890878400002,0.121,剔除,0.0,-6.620689655172418
2024-06-17 00:00:00,300745.SZ,欣锐科技,可选消费,26.1813678742,0.147,剔除,3.1023102310230977,-2.8846153846153855
2024-06-17 00:00:00,688148.SH,芳源股份,材料,23.672029659199996,0.153,剔除,4.740406320541757,-3.4482758620689613
2024-06-17 00:00:00,002227.SZ,奥特迅,工业,21.757381725999995,0.084,剔除,14.771241830065351,-8.42105263157894
2024-06-17 00:00:00,300340.SZ,科恒股份,材料,19.281112393999997,0.117,剔除,1.3081395348837344,-3.1294452347083945
2024-06-17 00:00:00,000982.SZ,中银绒业(退市),材料,11.0808803378,0.233,剔除,-40.90909090909091,-37.93103448275862
2024-06-17 00:00:00,601238.SH,广汽集团,可选消费,885.0952916072,,纳入,-1.4939080321975218,-2.9726516052318575
2024-06-17 00:00:00,301487.SZ,盟固利,材料,137.0576218116,,纳入,4.96304118268216,-7.444503926254697
2024-06-17 00:00:00,301511.SZ,德福科技,信息技术,103.057647,,纳入,9.072715143428955,-6.191369606003749
2023-12-11 00:00:00,002518.SZ,科士达,工业,144.39562712400001,0.43,剔除,-2.3809523809523725,1.1726647796198808
2023-12-11 00:00:00,688280.SH,精进电动-UW,工业,48.28013236059999,0.146,剔除,-2.270011947431294,-1.975308641975304
2023-12-11 00:00:00,688155.SH,先惠技术,工业,44.0811105864,0.13,剔除,-1.7600820232399284,-1.8965517241379293
2023-12-11 00:00:00,002196.SZ,方正电机,工业,35.782467967,0.215,剔除,-2.9689608636977005,0.42313117066290484
2023-12-11 00:00:00,301358.SZ,湖南裕能,材料,258.22329687,,纳入,6.662496090084469,0.8457276173811756
2023-12-11 00:00:00,688392.SH,骄成超声,工业,94.136,,纳入,-2.427415516420761,-0.374999999999992
2023-12-11 00:00:00,301325.SZ,曼恩斯特,信息技术,91.128,,纳入,1.1723954169997164,-5.013854070457857
2023-12-11 00:00:00,688275.SH,万润新能,材料,75.02787363869999,,纳入,0.16837851490147937,2.2595990485898776
