tradedate,tradecode,tradename,windhy,mv,weight,tradestatus,changepctbefore,changepctafter
2025-06-16 00:00:00,600595.SH,中孚实业,材料,166.7922927424,0.907,剔除,9.473684210526322,-6.074766355140215
2025-06-16 00:00:00,603132.SH,金徽股份,材料,119.316,0.111,剔除,1.9214703425229684,-3.5627530364372495
2025-06-16 00:00:00,002182.SZ,宝武镁业,材料,111.8740871784,0.705,剔除,-3.0927835051546504,1.253357206803929
2025-06-16 00:00:00,301219.SZ,腾远钴业,材料,141.5821342328,,纳入,5.212439772229516,-2.316048370567736
2025-06-16 00:00:00,301522.SZ,上大股份,材料,134.6901067874,,纳入,2.2297488004515698,-9.824561403508769
2025-06-16 00:00:00,300811.SZ,铂科新材,信息技术,124.41610865880001,,纳入,-1.213925790196957,-5.875576036866359
2024-12-16 00:00:00,002497.SZ,雅化集团,材料,148.10428382,1.234,剔除,1.7418844022169422,-6.161841128433543
2024-12-16 00:00:00,000970.SZ,中科三环,材料,131.29838348400003,0.927,剔除,-2.1739130434782483,3.878902554399244
2024-12-16 00:00:00,000762.SZ,西藏矿业,材料,116.795124774,0.886,剔除,-4.516403919897738,-1.1904761904761862
2024-12-16 00:00:00,002192.SZ,融捷股份,材料,90.5158037658,0.713,剔除,-4.832104832104833,-3.406869589500139
2024-12-16 00:00:00,000737.SZ,北方铜业,材料,152.431230362,,纳入,-2.0501138952163878,-5.365296803652986
2024-12-16 00:00:00,601137.SH,博威合金,材料,138.31688532130002,,纳入,-1.612903225806439,4.540295119182747
2024-12-16 00:00:00,600595.SH,中孚实业,材料,127.0989346138,,纳入,0.0,-3.785488958990535
2024-12-16 00:00:00,002237.SZ,恒邦股份,材料,122.1548806968,,纳入,-0.09389671361502705,-3.364485981308396
2024-12-16 00:00:00,603132.SH,金徽股份,材料,113.937,,纳入,-2.0185029436501245,-1.100762066045724
2024-09-18 00:00:00,600711.SH,盛屯矿业,工业,107.41982323200001,1.235,剔除,-1.7142857142857126,7.163323782234965
2024-06-17 00:00:00,603876.SH,鼎胜新材,材料,89.7931594646,0.378,剔除,4.559585492227969,2.8421052631579125
2024-06-17 00:00:00,600338.SH,西藏珠峰,材料,84.107335456,0.63,剔除,0.8771929824561209,-1.8318965517241437
2024-06-17 00:00:00,601702.SH,华峰铝业,材料,190.91905072,,纳入,0.31479538300105414,-1.614732094557625
2024-06-17 00:00:00,002182.SZ,宝武镁业,材料,125.65998976510001,,纳入,-3.4575865178951726,-7.07070707070706
2023-12-11 00:00:00,002056.SZ,横店东磁,工业,215.21400739020004,1.052,剔除,-0.3765060240963791,-2.50759878419452
2023-12-11 00:00:00,300390.SZ,天华新能,材料,211.31063000939997,1.351,剔除,1.692865779927466,-4.217102694260055
2023-12-11 00:00:00,600673.SH,东阳光,材料,204.03928733429996,0.958,剔除,-0.1474926253687392,1.4992503748125996
2023-12-11 00:00:00,301219.SZ,腾远钴业,材料,110.37158465900002,0.425,剔除,0.3214572729708154,-1.0790396547073033
2023-12-11 00:00:00,301071.SZ,力量钻石,材料,86.8788980794,0.511,剔除,-4.437446321213844,-2.533172496984304
2023-12-11 00:00:00,000408.SZ,藏格矿业,材料,384.04572273900004,,纳入,0.9975062344139696,-0.1247401247401192
2023-12-11 00:00:00,603979.SH,金诚信,材料,213.03536901460004,,纳入,-0.6179775280898858,2.9940119760478945
2023-12-11 00:00:00,600361.SH,创新新材,材料,209.0044947916,,纳入,-2.2312373225152005,-3.5196687370600332
2023-12-11 00:00:00,000426.SZ,兴业银锡,材料,165.5310189319,,纳入,-1.3143483023001057,-1.7738359201773801
2023-12-11 00:00:00,000657.SZ,中钨高新,材料,124.92560339159999,,纳入,-3.455723542116629,-4.687500000000011
2023-06-12 00:00:00,002978.SZ,安宁股份,材料,129.24229999999997,0.231,剔除,-0.8002462296091251,2.1766561514195537
2023-06-12 00:00:00,300618.SZ,寒锐钴业,材料,100.5636467472,0.633,剔除,-5.581395348837203,1.3518574173994047
2023-06-12 00:00:00,603876.SH,鼎胜新材,材料,166.70954303680003,,纳入,2.8322206212902046,2.6469031233456786
2023-06-12 00:00:00,002155.SZ,湖南黄金,材料,166.1218553068,,纳入,-1.1444921316165924,-0.36525459917355896
